Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/003ag3w45 -> https://ror.org/04qb0r423,https://ror.org/003ag3w45,https://ror.org/04qb0r423,GE,GE,Tbilisi,Tbilisi,Saint Andrew First-Called Georgian University of the Patriarchate of Georgia,Georgian American University,education,education
1,https://ror.org/003ag3w45 -> https://ror.org/05fd1hd85,https://ror.org/003ag3w45,https://ror.org/05fd1hd85,GE,GE,Tbilisi,Tbilisi,Saint Andrew First-Called Georgian University of the Patriarchate of Georgia,Tbilisi State University,education,education
2,https://ror.org/0094xtm76 -> https://ror.org/04w893s72,https://ror.org/0094xtm76,https://ror.org/04w893s72,GE,GE,Tbilisi,Tbilisi,"Ministry of Labour, Health and Social Affairs",David Tvildiani Medical University,government,education
4,https://ror.org/009erme80 -> https://ror.org/009erme80,https://ror.org/009erme80,https://ror.org/009erme80,GE,GE,Tbilisi,Tbilisi,Tbilisi State Academy of Arts,Tbilisi State Academy of Arts,education,education
1,https://ror.org/009erme80 -> https://ror.org/05fd1hd85,https://ror.org/009erme80,https://ror.org/05fd1hd85,GE,GE,Tbilisi,Tbilisi,Tbilisi State Academy of Arts,Tbilisi State University,education,education
1,https://ror.org/00aamz256 -> https://ror.org/009erme80,https://ror.org/00aamz256,https://ror.org/009erme80,GE,GE,Tbilisi,Tbilisi,Georgian Technical University,Tbilisi State Academy of Arts,education,education
46,https://ror.org/00aamz256 -> https://ror.org/00aamz256,https://ror.org/00aamz256,https://ror.org/00aamz256,GE,GE,Tbilisi,Tbilisi,Georgian Technical University,Georgian Technical University,education,education
1,https://ror.org/00aamz256 -> https://ror.org/00ggmmz77,https://ror.org/00aamz256,https://ror.org/00ggmmz77,GE,GE,Tbilisi,Telavi,Georgian Technical University,Iakob Gogebashvili Telavi State University,education,education
3,https://ror.org/00aamz256 -> https://ror.org/0212gyx73,https://ror.org/00aamz256,https://ror.org/0212gyx73,GE,GE,Tbilisi,Batumi,Georgian Technical University,Batumi Shota Rustaveli State University,education,education
2,https://ror.org/00aamz256 -> https://ror.org/02bjhwk41,https://ror.org/00aamz256,https://ror.org/02bjhwk41,GE,GE,Tbilisi,Tbilisi,Georgian Technical University,University of Georgia,education,education
1,https://ror.org/00aamz256 -> https://ror.org/03bqf3w07,https://ror.org/00aamz256,https://ror.org/03bqf3w07,GE,GE,Tbilisi,Batumi,Georgian Technical University,Batumi State Maritime Academy,education,education
4,https://ror.org/00aamz256 -> https://ror.org/03hd23385,https://ror.org/00aamz256,https://ror.org/03hd23385,GE,GE,Tbilisi,Sokhumi,Georgian Technical University,Sokhumi State University,education,education
4,https://ror.org/00aamz256 -> https://ror.org/051qn8h41,https://ror.org/00aamz256,https://ror.org/051qn8h41,GE,GE,Tbilisi,Tbilisi,Georgian Technical University,Ilia State University,education,education
2,https://ror.org/00aamz256 -> https://ror.org/05fd1hd85,https://ror.org/00aamz256,https://ror.org/05fd1hd85,GE,GE,Tbilisi,Tbilisi,Georgian Technical University,Tbilisi State University,education,education
5,https://ror.org/00atp1s12 -> https://ror.org/00atp1s12,https://ror.org/00atp1s12,https://ror.org/00atp1s12,GE,GE,Tbilisi,Tbilisi,Caucasus International University,Caucasus International University,education,education
1,https://ror.org/00atp1s12 -> https://ror.org/01mdqeh78,https://ror.org/00atp1s12,https://ror.org/01mdqeh78,GE,GE,Tbilisi,Tbilisi,Caucasus International University,Agricultural University of Georgia,education,education
1,https://ror.org/00atp1s12 -> https://ror.org/05fd1hd85,https://ror.org/00atp1s12,https://ror.org/05fd1hd85,GE,GE,Tbilisi,Tbilisi,Caucasus International University,Tbilisi State University,education,education
1,https://ror.org/00ebk5277 -> https://ror.org/01mdqeh78,https://ror.org/00ebk5277,https://ror.org/01mdqeh78,GE,GE,Tbilisi,Tbilisi,Tbilisi Humanitarian Teaching University,Agricultural University of Georgia,education,education
1,https://ror.org/00ggmmz77 -> https://ror.org/00aamz256,https://ror.org/00ggmmz77,https://ror.org/00aamz256,GE,GE,Telavi,Tbilisi,Iakob Gogebashvili Telavi State University,Georgian Technical University,education,education
1,https://ror.org/00ggmmz77 -> https://ror.org/00ggmmz77,https://ror.org/00ggmmz77,https://ror.org/00ggmmz77,GE,GE,Telavi,Telavi,Iakob Gogebashvili Telavi State University,Iakob Gogebashvili Telavi State University,education,education
1,https://ror.org/00ggmmz77 -> https://ror.org/05fd1hd85,https://ror.org/00ggmmz77,https://ror.org/05fd1hd85,GE,GE,Telavi,Tbilisi,Iakob Gogebashvili Telavi State University,Tbilisi State University,education,education
1,https://ror.org/00n6web48 -> https://ror.org/05986n320,https://ror.org/00n6web48,https://ror.org/05986n320,GE,GE,Kutaisi,Kutaisi,Georgian State University of Subtropical Agriculture,Akaki Tsereteli State University,education,education
1,https://ror.org/01mdqeh78 -> https://ror.org/000nnmz85,https://ror.org/01mdqeh78,https://ror.org/000nnmz85,GE,GE,Tbilisi,Tbilisi,Agricultural University of Georgia,Ministry of Environment Protection and Agriculture of Georgia,education,government
4,https://ror.org/01mdqeh78 -> https://ror.org/00aamz256,https://ror.org/01mdqeh78,https://ror.org/00aamz256,GE,GE,Tbilisi,Tbilisi,Agricultural University of Georgia,Georgian Technical University,education,education
8,https://ror.org/01mdqeh78 -> https://ror.org/01mdqeh78,https://ror.org/01mdqeh78,https://ror.org/01mdqeh78,GE,GE,Tbilisi,Tbilisi,Agricultural University of Georgia,Agricultural University of Georgia,education,education
1,https://ror.org/01pnsd879 -> https://ror.org/051qn8h41,https://ror.org/01pnsd879,https://ror.org/051qn8h41,GE,GE,Tbilisi,Tbilisi,Sulkhan-Saba Orbeliani University,Ilia State University,education,education
2,https://ror.org/01pnsd879 -> https://ror.org/05fd1hd85,https://ror.org/01pnsd879,https://ror.org/05fd1hd85,GE,GE,Tbilisi,Tbilisi,Sulkhan-Saba Orbeliani University,Tbilisi State University,education,education
1,https://ror.org/020jbrt22 -> https://ror.org/0094xtm76,https://ror.org/020jbrt22,https://ror.org/0094xtm76,GE,GE,Tbilisi,Tbilisi,Tbilisi State Medical University,"Ministry of Labour, Health and Social Affairs",education,government
3,https://ror.org/020jbrt22 -> https://ror.org/00d9pfn36,https://ror.org/020jbrt22,https://ror.org/00d9pfn36,GE,GE,Tbilisi,Tbilisi,Tbilisi State Medical University,"George Eliava Institute of Bacteriophage, Microbiology and Virology",education,facility
1,https://ror.org/020jbrt22 -> https://ror.org/01yxrjg25,https://ror.org/020jbrt22,https://ror.org/01yxrjg25,GE,GE,Tbilisi,Tbilisi,Tbilisi State Medical University,National Center for Disease Control and Public Health,education,healthcare
21,https://ror.org/020jbrt22 -> https://ror.org/020jbrt22,https://ror.org/020jbrt22,https://ror.org/020jbrt22,GE,GE,Tbilisi,Tbilisi,Tbilisi State Medical University,Tbilisi State Medical University,education,education
1,https://ror.org/020jbrt22 -> https://ror.org/0212gyx73,https://ror.org/020jbrt22,https://ror.org/0212gyx73,GE,GE,Tbilisi,Batumi,Tbilisi State Medical University,Batumi Shota Rustaveli State University,education,education
4,https://ror.org/020jbrt22 -> https://ror.org/02bjhwk41,https://ror.org/020jbrt22,https://ror.org/02bjhwk41,GE,GE,Tbilisi,Tbilisi,Tbilisi State Medical University,University of Georgia,education,education
2,https://ror.org/020jbrt22 -> https://ror.org/02j33yq05,https://ror.org/020jbrt22,https://ror.org/02j33yq05,GE,GE,Tbilisi,Tbilisi,Tbilisi State Medical University,AIDS and Clinical Immunology Research Center,education,government
1,https://ror.org/020jbrt22 -> https://ror.org/032pgwm02,https://ror.org/020jbrt22,https://ror.org/032pgwm02,GE,GE,Tbilisi,Tbilisi,Tbilisi State Medical University,Petre Shotadze Tbilisi Medical Academy,education,education
1,https://ror.org/020jbrt22 -> https://ror.org/03hd23385,https://ror.org/020jbrt22,https://ror.org/03hd23385,GE,GE,Tbilisi,Sokhumi,Tbilisi State Medical University,Sokhumi State University,education,education
