Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
11,https://ror.org/00br9cf93 -> https://ror.org/00br9cf93,https://ror.org/00br9cf93,https://ror.org/00br9cf93,GH,GH,Tarkwa,Tarkwa,University of Mines and Technology,University of Mines and Technology,education,education
3,https://ror.org/00br9cf93 -> https://ror.org/00cb23x68,https://ror.org/00br9cf93,https://ror.org/00cb23x68,GH,GH,Tarkwa,Kumasi,University of Mines and Technology,Kwame Nkrumah University of Science and Technology,education,education
1,https://ror.org/00br9cf93 -> https://ror.org/052nhnq73,https://ror.org/00br9cf93,https://ror.org/052nhnq73,GH,GH,Tarkwa,Tamale,University of Mines and Technology,University for Development Studies,education,education
5,https://ror.org/00cb23x68 -> https://ror.org/00br9cf93,https://ror.org/00cb23x68,https://ror.org/00br9cf93,GH,GH,Kumasi,Tarkwa,Kwame Nkrumah University of Science and Technology,University of Mines and Technology,education,education
304,https://ror.org/00cb23x68 -> https://ror.org/00cb23x68,https://ror.org/00cb23x68,https://ror.org/00cb23x68,GH,GH,Kumasi,Kumasi,Kwame Nkrumah University of Science and Technology,Kwame Nkrumah University of Science and Technology,education,education
4,https://ror.org/00cb23x68 -> https://ror.org/00qgpp207,https://ror.org/00cb23x68,https://ror.org/00qgpp207,GH,GH,Kumasi,Kumasi,Kwame Nkrumah University of Science and Technology,Kumasi Technical University,education,education
21,https://ror.org/00cb23x68 -> https://ror.org/00y1ekh28,https://ror.org/00cb23x68,https://ror.org/00y1ekh28,GH,GH,Kumasi,Winneba,Kwame Nkrumah University of Science and Technology,"University of Education, Winneba",education,education
2,https://ror.org/00cb23x68 -> https://ror.org/016j6rk60,https://ror.org/00cb23x68,https://ror.org/016j6rk60,GH,GH,Kumasi,Accra,Kwame Nkrumah University of Science and Technology,Accra Technical University,education,education
2,https://ror.org/00cb23x68 -> https://ror.org/01d0few86,https://ror.org/00cb23x68,https://ror.org/01d0few86,GH,GH,Kumasi,Tema,Kwame Nkrumah University of Science and Technology,Ghana Education Service,education,government
35,https://ror.org/00cb23x68 -> https://ror.org/01r22mr83,https://ror.org/00cb23x68,https://ror.org/01r22mr83,GH,GH,Kumasi,Accra,Kwame Nkrumah University of Science and Technology,University of Ghana,education,education
1,https://ror.org/00cb23x68 -> https://ror.org/0231kk931,https://ror.org/00cb23x68,https://ror.org/0231kk931,GH,GH,Kumasi,Accra,Kwame Nkrumah University of Science and Technology,African Institute for Mathematical Sciences Ghana,education,nonprofit
