OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
2.542910739303903,https://ror.org/01nx9mw61,GR,Athens,Space Hellas (Greece),company
2.2011066743107457,https://ror.org/029hept94,GR,Athens,Alexandra Hospital,healthcare
1.7217347967420942,https://ror.org/00mjaaf25,GR,Athens,National School of Public Health,education
1.7124800635822328,https://ror.org/01pbz7c04,GR,Chaniá,Mediterranean Agronomic Institute of Chania,education
1.5433881140950123,https://ror.org/03cx6bg69,GR,Athens,National Technical University of Athens,education
1.4331829696418292,https://ror.org/0064e3s97,GR,Athens,ALBA Graduate Business School,education
1.3593371360449202,https://ror.org/03s262162,GR,Athens,Athens University of Economics and Business,education
1.3187231840748572,https://ror.org/04zkctn64,GR,Alexandroupoli,University Hospital of Alexandroupolis,healthcare
1.2042489568097865,https://ror.org/056ddyv20,GR,Athens,Panteion University,education
1.2036815740578126,https://ror.org/03vkake80,GR,Athens,The American College of Greece,nonprofit
1.2015856970107897,https://ror.org/04gnjpq42,GR,Athens,National and Kapodistrian University of Athens,education
1.1179965461852088,https://ror.org/03xawq568,GR,Athens,Agricultural University of Athens,education
1.0938857102782737,https://ror.org/028mx4j81,GR,Athens,Ministry of Finance,government
1.090367311562602,https://ror.org/05eqt7s39,GR,Athens,Athens Information Technology,nonprofit
1.0750546564281689,https://ror.org/057j7ch92,GR,Athens,National Bank of Greece (Greece),company
1.0709949302781423,https://ror.org/05fg6gr82,GR,Thessaloniki,University of Macedonia,education
1.0421170822914139,https://ror.org/03zsp3p94,GR,Mytilene,University of the Aegean,education
1.0402499773182983,https://ror.org/02j61yw88,GR,Thessaloniki,Aristotle University of Thessaloniki,education
1.0070551447195553,https://ror.org/017wvtq80,GR,Pátra,University of Patras,education
0.9866509191175961,https://ror.org/00dr28g20,GR,Rethymno,University of Crete,education
0.9796140355361208,https://ror.org/02qs84g94,GR,Piraeus,University of Piraeus,education
0.9489880980212555,https://ror.org/02kq26x23,GR,Pátra,Hellenic Open University,education
0.9371380528152811,https://ror.org/03f8bz564,GR,Chaniá,Technical University of Crete,education
0.9196426004491107,https://ror.org/052arry73,GR,Athens,Panagiotis & Aglaia Kyriakou Children's Hospital,healthcare
0.8933495313768302,https://ror.org/03bfqnx40,GR,Komotiní,Democritus University of Thrace,education
0.8788309980321729,https://ror.org/02k5gp281,GR,Athens,Harokopio University of Athens,education
0.7809430000296822,https://ror.org/01qg3j183,GR,Ioannina,University of Ioannina,education
0.6960874468447041,https://ror.org/04d4d3c02,GR,Trípoli,University of Peloponnese,education
0.6924206010636531,https://ror.org/04v3r9z94,GR,Maroúsi,School of Pedagogical and Technological Education,education
0.6646048690992875,https://ror.org/01xm4n520,GR,Corfu,Ionian University,education
0.6381648313448282,https://ror.org/04v4g9h31,GR,Volos,University of Thessaly,education
0.6318237551321012,https://ror.org/05qej6276,GR,Acharnés,Hellenic Police Academy,education
0.5704912783224818,https://ror.org/01esc8r67,GR,Voúla,Hellenic Military Academy,education
0.5638275703604748,https://ror.org/038jp4m40,GR,Athens,"National Centre of Scientific Research ""Demokritos""",facility
0.5432722143026797,https://ror.org/04zc3wd06,GR,Athens,Public Power Corporation (Greece),company
0.5431549282754047,https://ror.org/02w5w7488,GR,Piraeus,Hellenic Statistical Authority,other
0.5431549282754047,https://ror.org/04cdzwd37,GR,Ýdra,Merchant Marine Academy,education
0.542915194097382,https://ror.org/0094fh067,GR,Athens,Manpower Employment Organisation,company
0.542915194097382,https://ror.org/00z24kr14,GR,Maroúsi,Institute for Language and Speech Processing,nonprofit
0.542915194097382,https://ror.org/0195q0f30,GR,Volos,Materials Industrial Research and Technology Development Centre (Greece),company
0.542915194097382,https://ror.org/01qd5ms12,GR,Athens,Titan Cement (Greece),company
0.542915194097382,https://ror.org/02d439m40,GR,Athens,University Mental Health Research Institute,education
0.542915194097382,https://ror.org/02g13cw94,GR,Athens,Hellenic Ministry of Culture and Sports,government
0.542915194097382,https://ror.org/036d9xe15,GR,Chalkída,Ceramics and Refractories Technological Development Company (Greece),company
0.542915194097382,https://ror.org/046cpbt38,GR,Maroúsi,Epsilon International (Greece),company
0.542915194097382,https://ror.org/0570bna54,GR,Chalkída,Synelixis (Greece),company
0.542915194097382,https://ror.org/05tcasm11,GR,Athens,National Infrastructures for Research and Technology -  GRNET S.A,company
0.5418622826485712,https://ror.org/02y84bs66,GR,Piraeus,Hellenic Naval Academy,education
0.5332899848531932,https://ror.org/00708jp83,GR,Thessaloniki,International Hellenic University,education
0.5323838182291514,https://ror.org/00gban551,GR,Athens,Biomedical Research Foundation of the Academy of Athens,nonprofit
0.5000000016169981,https://ror.org/01c5cqy87,GR,Sérres,General Hospital of Serres,healthcare
0.5000000016169981,https://ror.org/055bcma36,GR,Thessaloníki,Hospital Venereal and Skin Diseases Thessaloniki,healthcare
0.48138640717036324,https://ror.org/00a5pe906,GR,Kozani,University of Western Macedonia,education
0.43868608929993197,https://ror.org/0483fn738,GR,Zografos,Institute of Communication and Computer Systems,nonprofit
0.42237644774570193,https://ror.org/02jf59571,GR,Athens,Benaki Phytopathological Institute,facility
0.3722540013081511,https://ror.org/01rk3xf02,GR,Athens,Athens School of Fine Arts,education
0.3722540013081511,https://ror.org/04d84av86,GR,Athens,Ministry of National Defence,government
0.3722540013081511,https://ror.org/04npy5k94,GR,Paianía,Intracom Telecom (Greece),company
0.35887716023582145,https://ror.org/04ca4p790,GR,Athens,Lambrakis Research Foundation,nonprofit
0.35887716023582145,https://ror.org/057pnws69,GR,Athens,Centre for Planning and Economic Research,facility
0.33982157922996375,https://ror.org/035cy3r13,GR,Athens,Pasteur Hellenic Institute,nonprofit
0.32991314798242377,https://ror.org/03ed9w591,GR,Lamía,Technological Educational Institute of Central Greece,education
0.3265538195750301,https://ror.org/05dvp4993,GR,Athens,Ubitech (Greece),company
0.32395112032998913,https://ror.org/052rphn09,GR,Heraklion,Foundation for Research and Technology Hellas,facility
0.31919876077299036,https://ror.org/00r2r5k05,GR,Athens,University of West Attica,education
0.31536538731527036,https://ror.org/04c691616,GR,Kalamata,Technological Educational Institute of Peloponnese,education
0.31267314655015094,https://ror.org/039ce0m20,GR,Irákleion,Hellenic Mediterranean University,education
0.2869207038793194,https://ror.org/0373f6s78,GR,Athens,Innovative Technologies Center (Greece),company
0.2758810358428054,https://ror.org/02arv0f08,GR,Argostólion,Technological Educational Institute of the Ionian Islands,education
0.2716142333179242,https://ror.org/033m02g29,GR,Athens,National Hellenic Research Foundation,nonprofit
0.24060328673832887,https://ror.org/03dtebk39,GR,Athens,National Observatory of Athens,facility
0.23717823724239936,https://ror.org/00ks0ea23,GR,Aigáleo,Technological Educational Institute of Piraeus,education
0.2345657863776319,https://ror.org/044xk2674,GR,Athens,Hellenic Air Force,government
0.23424919042632475,https://ror.org/038kffh84,GR,Anavyssos,Hellenic Centre for Marine Research,facility
0.2280617445297455,https://ror.org/035hs9g56,GR,Athens,National Centre for Social research,facility
0.22456446055614585,https://ror.org/0576by029,GR,Marousi,Athena Research and Innovation Center In Information Communication & Knowledge Technologies,facility
0.22265875054525713,https://ror.org/02ev1p206,GR,Pikérmi,Center for Renewable Energy Sources and Saving,government
0.20409633472893435,https://ror.org/036j3t423,GR,Athens,Piraeus Bank,other
0.2015397391940702,https://ror.org/01nn35n25,GR,Athens,Institute of Accelerating Systems and Applications,education
0.20149341028629947,https://ror.org/05q4veh78,GR,Athens,Evangelismos Hospital,healthcare
0.20143139713974648,https://ror.org/005m9ez36,GR,Athens,Aegean College,education
0.20143139713974648,https://ror.org/02gan0k07,GR,Athens,Onassis Cardiac Surgery Center,healthcare
0.20135307434089733,https://ror.org/03078rq26,GR,Athens,Athens Medical Center,healthcare
0.20135307434089733,https://ror.org/04ne34794,GR,Athens,Ministry of Health,government
0.20135307434089733,https://ror.org/05a3efx98,GR,Athens,Metropolitan Hospital,healthcare
0.20111112910422196,https://ror.org/00fyk9n62,GR,Athens,Foundation of the Hellenic World,nonprofit
0.20111112910422196,https://ror.org/014fxzd16,GR,Athens,European Public Law Center,other
0.20111112910422196,https://ror.org/0169n7f49,GR,Athens,Hellenic Airforce General Hospital,healthcare
0.20111112910422196,https://ror.org/0192jdh06,GR,Khalándrion,Satways (Greece),company
0.20111112910422196,https://ror.org/02ck2yw57,GR,Acharnés,Institute of Geology and Mineral Exploration,facility
0.20111112910422196,https://ror.org/03qv5tx95,GR,Athens,Hygeia Hospital,healthcare
0.20111112910422196,https://ror.org/03rvrbb45,GR,Kifisiá,Higher Ecclesiastical Academy of Athens,education
0.20111112910422196,https://ror.org/03tkfgy13,GR,Athens,Simanogleio-Amalia Fleming General Hospital,healthcare
0.20111112910422196,https://ror.org/0461fey84,GR,Athens,Pammakaristos Hospital,healthcare
0.20111112910422196,https://ror.org/04ghtpd15,GR,Athens,Institute of Child Health,healthcare
0.20111112910422196,https://ror.org/05kwk4552,GR,Athens,American School of Classical Studies at Athens,education
0.20111112910422196,https://ror.org/05n7t4h40,GR,Athens,Henry Dunant Hospital,healthcare
0.20111112910422196,https://ror.org/05q8m5985,GR,Athens,Center for Security Studies,education
0.19502301499587152,https://ror.org/04zvb9t44,GR,Athens,Ministry of Education and Religious Affairs,government
0.18059925264004997,https://ror.org/013x0ky90,GR,Athens,Alexander Fleming Biomedical Sciences Research Center,facility
0.16866138349032753,https://ror.org/044m46d61,GR,Athens,Technological Educational Institute of Athens,education
0.15955825277825553,https://ror.org/01zy69h55,GR,Athens,401 General Military Hospital of Athens,healthcare
0.11383929294662291,https://ror.org/05yk4sz92,GR,Kozani,Western Macedonia University Of Applied Science,education
0.10703324342261084,https://ror.org/00qsdn986,GR,Athens,Academy of Athens,education
0.08872089718458222,https://ror.org/023z3dm33,GR,Athens,State Scholarships Foundation,other
0.07873141860367915,https://ror.org/01wrh2n21,GR,Athens,Hellenic Foundation for European and Foreign Policy,nonprofit
0.07051964916451514,https://ror.org/04a6sax19,GR,Thessaloníki,American Farm School,education
0.0629521517312635,https://ror.org/03bndpq63,GR,Thessaloníki,Centre for Research and Technology Hellas,facility
0.06059281516821538,https://ror.org/04h31f025,GR,Athens,Hellenic Ministry of Rural Development and Food,government
0.05814157699586752,https://ror.org/0312m2266,GR,Irákleion,University Hospital of Heraklion,healthcare
0.04188441489589349,https://ror.org/0334dng85,GR,Athens,Agroknow (Greece),company
0.04013457058925901,https://ror.org/01mw24p94,GR,Sérres,Technological Educational Institute of Central Macedonia,education
0.04013457058925901,https://ror.org/02dqans26,GR,Thessaloníki,Institute of Engineering Seismology and Earthquake Engineering,facility
0.04009577969182941,https://ror.org/0069akp70,GR,Thessaloníki,Information Technologies Institute,nonprofit
0.040017480966279065,https://ror.org/02kpyrm37,GR,Thessaloníki,Ippokrateio General Hospital of Thessaloniki,healthcare
