Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/0009xxz90 -> https://ror.org/0009xxz90,https://ror.org/0009xxz90,https://ror.org/0009xxz90,GR,GR,Kavala,Kavala,Technological Educational Institute of Eastern Macedonia and Thrace,Technological Educational Institute of Eastern Macedonia and Thrace,education,education
1,https://ror.org/0064e3s97 -> https://ror.org/0064e3s97,https://ror.org/0064e3s97,https://ror.org/0064e3s97,GR,GR,Athens,Athens,ALBA Graduate Business School,ALBA Graduate Business School,education,education
1,https://ror.org/0064e3s97 -> https://ror.org/017wvtq80,https://ror.org/0064e3s97,https://ror.org/017wvtq80,GR,GR,Athens,Pátra,ALBA Graduate Business School,University of Patras,education,education
1,https://ror.org/0064e3s97 -> https://ror.org/01mymm084,https://ror.org/0064e3s97,https://ror.org/01mymm084,GR,GR,Athens,Pátra,ALBA Graduate Business School,Technological Educational Institute of Western Greece,education,education
1,https://ror.org/0064e3s97 -> https://ror.org/03vkake80,https://ror.org/0064e3s97,https://ror.org/03vkake80,GR,GR,Athens,Athens,ALBA Graduate Business School,The American College of Greece,education,nonprofit
1,https://ror.org/0064e3s97 -> https://ror.org/04gnjpq42,https://ror.org/0064e3s97,https://ror.org/04gnjpq42,GR,GR,Athens,Athens,ALBA Graduate Business School,National and Kapodistrian University of Athens,education,education
1,https://ror.org/0064e3s97 -> https://ror.org/056ddyv20,https://ror.org/0064e3s97,https://ror.org/056ddyv20,GR,GR,Athens,Athens,ALBA Graduate Business School,Panteion University,education,education
5,https://ror.org/00708jp83 -> https://ror.org/00708jp83,https://ror.org/00708jp83,https://ror.org/00708jp83,GR,GR,Thessaloniki,Thessaloniki,International Hellenic University,International Hellenic University,education,education
1,https://ror.org/00708jp83 -> https://ror.org/00dr28g20,https://ror.org/00708jp83,https://ror.org/00dr28g20,GR,GR,Thessaloniki,Rethymno,International Hellenic University,University of Crete,education,education
2,https://ror.org/00708jp83 -> https://ror.org/01qg3j183,https://ror.org/00708jp83,https://ror.org/01qg3j183,GR,GR,Thessaloniki,Ioannina,International Hellenic University,University of Ioannina,education,education
6,https://ror.org/00708jp83 -> https://ror.org/02j61yw88,https://ror.org/00708jp83,https://ror.org/02j61yw88,GR,GR,Thessaloniki,Thessaloniki,International Hellenic University,Aristotle University of Thessaloniki,education,education
3,https://ror.org/00708jp83 -> https://ror.org/02kq26x23,https://ror.org/00708jp83,https://ror.org/02kq26x23,GR,GR,Thessaloniki,Pátra,International Hellenic University,Hellenic Open University,education,education
2,https://ror.org/00708jp83 -> https://ror.org/03bfqnx40,https://ror.org/00708jp83,https://ror.org/03bfqnx40,GR,GR,Thessaloniki,Komotiní,International Hellenic University,Democritus University of Thrace,education,education
1,https://ror.org/00708jp83 -> https://ror.org/03s262162,https://ror.org/00708jp83,https://ror.org/03s262162,GR,GR,Thessaloniki,Athens,International Hellenic University,Athens University of Economics and Business,education,education
1,https://ror.org/00708jp83 -> https://ror.org/03zsp3p94,https://ror.org/00708jp83,https://ror.org/03zsp3p94,GR,GR,Thessaloniki,Mytilene,International Hellenic University,University of the Aegean,education,education
1,https://ror.org/00708jp83 -> https://ror.org/05fg6gr82,https://ror.org/00708jp83,https://ror.org/05fg6gr82,GR,GR,Thessaloniki,Thessaloniki,International Hellenic University,University of Macedonia,education,education
2,https://ror.org/00a5pe906 -> https://ror.org/00708jp83,https://ror.org/00a5pe906,https://ror.org/00708jp83,GR,GR,Kozani,Thessaloniki,University of Western Macedonia,International Hellenic University,education,education
20,https://ror.org/00a5pe906 -> https://ror.org/00a5pe906,https://ror.org/00a5pe906,https://ror.org/00a5pe906,GR,GR,Kozani,Kozani,University of Western Macedonia,University of Western Macedonia,education,education
