Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
16,https://ror.org/000t0f062 -> https://ror.org/000t0f062,https://ror.org/000t0f062,https://ror.org/000t0f062,HK,HK,Tai Po,Tai Po,Education University of Hong Kong,Education University of Hong Kong,education,education
3,https://ror.org/000t0f062 -> https://ror.org/0030zas98,https://ror.org/000t0f062,https://ror.org/0030zas98,HK,HK,Tai Po,Hong Kong,Education University of Hong Kong,Hong Kong Polytechnic University,education,education
1,https://ror.org/000t0f062 -> https://ror.org/02zhqgq86,https://ror.org/000t0f062,https://ror.org/02zhqgq86,HK,HK,Tai Po,Hong Kong,Education University of Hong Kong,University of Hong Kong,education,education
3,https://ror.org/000t0f062 -> https://ror.org/0563pg902,https://ror.org/000t0f062,https://ror.org/0563pg902,HK,HK,Tai Po,Tuen Mun,Education University of Hong Kong,Lingnan University,education,education
4,https://ror.org/0030zas98 -> https://ror.org/000t0f062,https://ror.org/0030zas98,https://ror.org/000t0f062,HK,HK,Hong Kong,Tai Po,Hong Kong Polytechnic University,Education University of Hong Kong,education,education
347,https://ror.org/0030zas98 -> https://ror.org/0030zas98,https://ror.org/0030zas98,https://ror.org/0030zas98,HK,HK,Hong Kong,Hong Kong,Hong Kong Polytechnic University,Hong Kong Polytechnic University,education,education
5,https://ror.org/0030zas98 -> https://ror.org/01wcz2f33,https://ror.org/0030zas98,https://ror.org/01wcz2f33,HK,HK,Hong Kong,Hong Kong,Hong Kong Polytechnic University,Saint Francis University,education,education
26,https://ror.org/0030zas98 -> https://ror.org/02zhqgq86,https://ror.org/0030zas98,https://ror.org/02zhqgq86,HK,HK,Hong Kong,Hong Kong,Hong Kong Polytechnic University,University of Hong Kong,education,education
17,https://ror.org/0030zas98 -> https://ror.org/03q8dnn23,https://ror.org/0030zas98,https://ror.org/03q8dnn23,HK,HK,Hong Kong,Hong Kong,Hong Kong Polytechnic University,City University of Hong Kong,education,education
1,https://ror.org/0030zas98 -> https://ror.org/0563pg902,https://ror.org/0030zas98,https://ror.org/0563pg902,HK,HK,Hong Kong,Tuen Mun,Hong Kong Polytechnic University,Lingnan University,education,education
