OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.1837456274396019,https://ror.org/0507etz14,HR,Zagreb,"Ministry of Science, Education and Sports",government
1.0338568109312525,https://ror.org/03rmwy138,HR,Zagreb,Children's Hospital Zagreb,healthcare
0.9919077279549603,https://ror.org/024a8dx81,HR,Zagreb,Sisters of Charity Hospital,healthcare
0.9911257031176004,https://ror.org/00mv6sv71,HR,Zagreb,University of Zagreb,education
0.7731825409845285,https://ror.org/02zhyrb63,HR,Zagreb,Institute of Immunology,facility
0.45024027425081936,https://ror.org/05sw4wc49,HR,Osijek,University of Osijek,education
0.3355806977386713,https://ror.org/00t89vb53,HR,Zadar,University of Zadar,education
0.2769411363578151,https://ror.org/022991v89,HR,Zagreb,Catholic University of Croatia,education
0.18351102763834296,https://ror.org/00m31ft63,HR,Split,University of Split,education
0.11340389504967377,https://ror.org/05r8dqr10,HR,Rijeka,University of Rijeka,education
0.033778584279921205,https://ror.org/02mw21745,HR,Zagreb,Rudjer Boskovic Institute,facility
0.0002856092252506146,https://ror.org/006ks2460,HR,Pula,Juraj Dobrila University of Pula,education
0.0,https://ror.org/00tvt5664,HR,Zagreb,Croatian Institute of Transfusion Medicine,nonprofit
0.0,https://ror.org/00xr8z771,HR,Osijek,Institute of Public Health Osijek-Baranja County,education
0.0,https://ror.org/03jbhek14,HR,Centar,Tehničko Veleučilište u Zagrebu,education
0.0,https://ror.org/03vtpmc73,HR,Centar,Institute of Archaeology,facility
0.0,https://ror.org/0487vq079,HR,Slavonski Brod,College of Slavonski Brod,education
-0.00835448443094801,https://ror.org/040896072,HR,Zagreb,"University Hospital for Infectious Diseases ""Dr Fran Mihaljevic""",healthcare
-0.00862690837562538,https://ror.org/00mff5m03,HR,Zagreb,Vern University of Applied Sciences,education
-0.00862690837562538,https://ror.org/019m6wk21,HR,Zagreb,Algebra University College,education
-0.00862690837562538,https://ror.org/019yxat94,HR,Centar,University of Applied Health Sciences,education
-0.00862690837562538,https://ror.org/03c59nw07,HR,Centar,Institute of Physics,facility
-0.00862690837562538,https://ror.org/03dkej307,HR,Centar,Xellia (Croatia),company
-0.00862690837562538,https://ror.org/03egy0233,HR,Zagreb,Institute for Social Research,education
-0.00862690837562538,https://ror.org/03jgxzm03,HR,Dubrovnik,Rochester Institute of Technology Croatia,education
-0.00862690837562538,https://ror.org/042v5ej15,HR,Zagreb,Agency for Medicinal Products and Medical Devices of Croatia,other
-0.00862690837562538,https://ror.org/0570n2773,HR,Centar,Institute for Tourism,facility
-0.00862690837562538,https://ror.org/05yq3xa52,HR,Zagreb,Inetec (Croatia),company
-0.008705393225459448,https://ror.org/0229a6d71,HR,Zagreb,Institute of Public Finance,facility
-0.008705393225459448,https://ror.org/03azy6w67,HR,Centar,Energy Institute Hrvoje Požar,nonprofit
-0.008705393225459448,https://ror.org/03d04qg82,HR,Donji grad,Croatian Academy of Sciences and Arts,government
-0.008705393225459448,https://ror.org/03q7j5x89,HR,Zagreb,Institut Društvenih Znanosti Ivo Pilar,facility
-0.008705393225459448,https://ror.org/04y50an90,HR,Karlovac,Karlovac University of Applied Sciences,education
-0.008780936709215294,https://ror.org/01svwyw14,HR,Zagreb,Croatian Veterinary Institute,facility
-0.008780936709215294,https://ror.org/02hmaq742,HR,Zagreb,Croatian Geological Survey,nonprofit
-0.008780936709215294,https://ror.org/03av1g763,HR,Osijek,Genos (Croatia),company
-0.008813033275560357,https://ror.org/00r9vb833,HR,Zagreb,University Hospital Centre Zagreb,healthcare
-0.15166132838217852,https://ror.org/016xdy456,HR,Zagreb,Croatian Institute of History,nonprofit
-0.27799769382242523,https://ror.org/05yptqp13,HR,Dubrovnik,University of Dubrovnik,education
-0.30137262486552135,https://ror.org/01afbkc02,HR,Koprivnica,University North,education
-0.33653192157300105,https://ror.org/001xj8m36,HR,Zagreb,Institute for Anthropological Research,facility
-0.5041876471808672,https://ror.org/05a73mk94,HR,Poreč,Institute of Agriculture and Tourism,facility
-0.5494945167552008,https://ror.org/02qdg4b08,HR,Osijek,Agricultural Institute Osijek,facility
-0.8163458904349252,https://ror.org/04ma0p518,HR,Split,Institute of Oceanography and Fisheries,facility
-0.8863124942213805,https://ror.org/00t8kk495,HR,Zagreb,"Klinička bolnica ""Sveti Duh""",healthcare
-0.8863124942213805,https://ror.org/01k6gm036,HR,Zaprešić,Baltazar Zaprešić University of Applied Sciences,education
-0.8863124942213805,https://ror.org/024gf7f83,HR,Čakovec,Polytechnic of Međimurje in Čakovec,education
-0.8863124942213805,https://ror.org/04z58j690,HR,Pula,Polytechnic Pula,education
-0.8865438348655522,https://ror.org/027wyhf03,HR,Rijeka,Klinički Bolnički Centar Rijeka,healthcare
