Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
4,https://ror.org/006ks2460 -> https://ror.org/006ks2460,https://ror.org/006ks2460,https://ror.org/006ks2460,HR,HR,Pula,Pula,Juraj Dobrila University of Pula,Juraj Dobrila University of Pula,education,education
1,https://ror.org/006ks2460 -> https://ror.org/00mv6sv71,https://ror.org/006ks2460,https://ror.org/00mv6sv71,HR,HR,Pula,Zagreb,Juraj Dobrila University of Pula,University of Zagreb,education,education
1,https://ror.org/006ks2460 -> https://ror.org/05a73mk94,https://ror.org/006ks2460,https://ror.org/05a73mk94,HR,HR,Pula,Poreč,Juraj Dobrila University of Pula,Institute of Agriculture and Tourism,education,facility
27,https://ror.org/00m31ft63 -> https://ror.org/00m31ft63,https://ror.org/00m31ft63,https://ror.org/00m31ft63,HR,HR,Split,Split,University of Split,University of Split,education,education
1,https://ror.org/00m31ft63 -> https://ror.org/00mv6sv71,https://ror.org/00m31ft63,https://ror.org/00mv6sv71,HR,HR,Split,Zagreb,University of Split,University of Zagreb,education,education
1,https://ror.org/00m31ft63 -> https://ror.org/04ma0p518,https://ror.org/00m31ft63,https://ror.org/04ma0p518,HR,HR,Split,Split,University of Split,Institute of Oceanography and Fisheries,education,facility
4,https://ror.org/00m31ft63 -> https://ror.org/05r8dqr10,https://ror.org/00m31ft63,https://ror.org/05r8dqr10,HR,HR,Split,Rijeka,University of Split,University of Rijeka,education,education
1,https://ror.org/00m31ft63 -> https://ror.org/05yptqp13,https://ror.org/00m31ft63,https://ror.org/05yptqp13,HR,HR,Split,Dubrovnik,University of Split,University of Dubrovnik,education,education
1,https://ror.org/00mv6sv71 -> https://ror.org/001xj8m36,https://ror.org/00mv6sv71,https://ror.org/001xj8m36,HR,HR,Zagreb,Zagreb,University of Zagreb,Institute for Anthropological Research,education,facility
4,https://ror.org/00mv6sv71 -> https://ror.org/006ks2460,https://ror.org/00mv6sv71,https://ror.org/006ks2460,HR,HR,Zagreb,Pula,University of Zagreb,Juraj Dobrila University of Pula,education,education
16,https://ror.org/00mv6sv71 -> https://ror.org/00m31ft63,https://ror.org/00mv6sv71,https://ror.org/00m31ft63,HR,HR,Zagreb,Split,University of Zagreb,University of Split,education,education
1,https://ror.org/00mv6sv71 -> https://ror.org/00mff5m03,https://ror.org/00mv6sv71,https://ror.org/00mff5m03,HR,HR,Zagreb,Zagreb,University of Zagreb,Vern University of Applied Sciences,education,education
386,https://ror.org/00mv6sv71 -> https://ror.org/00mv6sv71,https://ror.org/00mv6sv71,https://ror.org/00mv6sv71,HR,HR,Zagreb,Zagreb,University of Zagreb,University of Zagreb,education,education
4,https://ror.org/00mv6sv71 -> https://ror.org/00r9vb833,https://ror.org/00mv6sv71,https://ror.org/00r9vb833,HR,HR,Zagreb,Zagreb,University of Zagreb,University Hospital Centre Zagreb,education,healthcare
6,https://ror.org/00mv6sv71 -> https://ror.org/00t89vb53,https://ror.org/00mv6sv71,https://ror.org/00t89vb53,HR,HR,Zagreb,Zadar,University of Zagreb,University of Zadar,education,education
4,https://ror.org/00mv6sv71 -> https://ror.org/016xdy456,https://ror.org/00mv6sv71,https://ror.org/016xdy456,HR,HR,Zagreb,Zagreb,University of Zagreb,Croatian Institute of History,education,nonprofit
1,https://ror.org/00mv6sv71 -> https://ror.org/019m6wk21,https://ror.org/00mv6sv71,https://ror.org/019m6wk21,HR,HR,Zagreb,Zagreb,University of Zagreb,Algebra University College,education,education
1,https://ror.org/00mv6sv71 -> https://ror.org/019yxat94,https://ror.org/00mv6sv71,https://ror.org/019yxat94,HR,HR,Zagreb,Centar,University of Zagreb,University of Applied Health Sciences,education,education
2,https://ror.org/00mv6sv71 -> https://ror.org/01afbkc02,https://ror.org/00mv6sv71,https://ror.org/01afbkc02,HR,HR,Zagreb,Koprivnica,University of Zagreb,University North,education,education
3,https://ror.org/00mv6sv71 -> https://ror.org/01svwyw14,https://ror.org/00mv6sv71,https://ror.org/01svwyw14,HR,HR,Zagreb,Zagreb,University of Zagreb,Croatian Veterinary Institute,education,facility
2,https://ror.org/00mv6sv71 -> https://ror.org/022991v89,https://ror.org/00mv6sv71,https://ror.org/022991v89,HR,HR,Zagreb,Zagreb,University of Zagreb,Catholic University of Croatia,education,education
2,https://ror.org/00mv6sv71 -> https://ror.org/0229a6d71,https://ror.org/00mv6sv71,https://ror.org/0229a6d71,HR,HR,Zagreb,Zagreb,University of Zagreb,Institute of Public Finance,education,facility
3,https://ror.org/00mv6sv71 -> https://ror.org/02hmaq742,https://ror.org/00mv6sv71,https://ror.org/02hmaq742,HR,HR,Zagreb,Zagreb,University of Zagreb,Croatian Geological Survey,education,nonprofit
40,https://ror.org/00mv6sv71 -> https://ror.org/02mw21745,https://ror.org/00mv6sv71,https://ror.org/02mw21745,HR,HR,Zagreb,Zagreb,University of Zagreb,Rudjer Boskovic Institute,education,facility
1,https://ror.org/00mv6sv71 -> https://ror.org/02zhyrb63,https://ror.org/00mv6sv71,https://ror.org/02zhyrb63,HR,HR,Zagreb,Zagreb,University of Zagreb,Institute of Immunology,education,facility
3,https://ror.org/00mv6sv71 -> https://ror.org/03av1g763,https://ror.org/00mv6sv71,https://ror.org/03av1g763,HR,HR,Zagreb,Osijek,University of Zagreb,Genos (Croatia),education,company
2,https://ror.org/00mv6sv71 -> https://ror.org/03azy6w67,https://ror.org/00mv6sv71,https://ror.org/03azy6w67,HR,HR,Zagreb,Centar,University of Zagreb,Energy Institute Hrvoje Požar,education,nonprofit
1,https://ror.org/00mv6sv71 -> https://ror.org/03c59nw07,https://ror.org/00mv6sv71,https://ror.org/03c59nw07,HR,HR,Zagreb,Centar,University of Zagreb,Institute of Physics,education,facility
2,https://ror.org/00mv6sv71 -> https://ror.org/03d04qg82,https://ror.org/00mv6sv71,https://ror.org/03d04qg82,HR,HR,Zagreb,Donji grad,University of Zagreb,Croatian Academy of Sciences and Arts,education,government
1,https://ror.org/00mv6sv71 -> https://ror.org/03dkej307,https://ror.org/00mv6sv71,https://ror.org/03dkej307,HR,HR,Zagreb,Centar,University of Zagreb,Xellia (Croatia),education,company
