OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.5000000001892859,https://ror.org/00cta1n89,HU,Budapest,Moholy-Nagy University of Art and Design,education
2.4240227964617095e-05,https://ror.org/002ez5845,HU,Budapest,University of Theatre and Film Arts,education
0.0,https://ror.org/01zh80k81,HU,Budapest,University of Physical Education,education
-0.5000000001892859,https://ror.org/03hhhyk81,HU,Budapest,Hungarian University of Fine Arts,education
-0.9987476379032016,https://ror.org/01jsq2704,HU,Budapest,Eötvös Loránd University,education
-1.0749967753238614,https://ror.org/01pnej532,HU,Szeged,University of Szeged,education
-1.0942996594124013,https://ror.org/02ff27430,HU,Kaposvár,University of Kapsovar,education
-1.1960223954013705,https://ror.org/00vrhtt42,HU,Budapest,Wessling (Hungary),company
-1.1960448957225096,https://ror.org/02w42ss30,HU,Budapest,Budapest University of Technology and Economics,education
-1.2265575616050954,https://ror.org/037b5pv06,HU,Pécs,University of Pecs,education
-1.2337815745217444,https://ror.org/01vxfm326,HU,Budapest,Corvinus University of Budapest,education
-1.2547061477572865,https://ror.org/03y5egs41,HU,Veszprém,University of Pannonia,education
-1.2736508603408125,https://ror.org/02xf66n48,HU,Debrecen,University of Debrecen,education
-1.3387008427012468,https://ror.org/038g7dk46,HU,Miskolc,University of Miskolc,education
-1.3649660799828547,https://ror.org/01394d192,HU,Gödöllő,Magyar Agrár- és Élettudományi Egyetem,education
-1.4038511033379442,https://ror.org/00qtxnd58,HU,Budapest,Hungarian National Blood Transfusion Service,other
-1.4083144056279961,https://ror.org/01tek4f86,HU,Kecskemét,Bács-Kiskun Megyei Kórház,healthcare
-1.469067980217552,https://ror.org/03vayv672,HU,Budapest,University of Veterinary Medicine,education
-1.4888605443959804,https://ror.org/03efbq855,HU,Budapest,Károli Gáspár University of the Reformed Church in Hungary,education
-1.5011668689460884,https://ror.org/02kjgsq44,HU,Budapest,National Institute of Oncology,healthcare
-1.5011860911783874,https://ror.org/01g9ty582,HU,Budapest,Semmelweis University,education
-1.5050859096867442,https://ror.org/02gxnzq82,HU,Budapest,Unified Szent István and Szent László Hospital,healthcare
-1.5448721993620036,https://ror.org/05v9kya57,HU,Budapest,Pázmány Péter Catholic University,education
-1.7432115177171925,https://ror.org/01hnk0667,HU,Budapest,Zrínyi Miklós National Defence University,education
-1.7560202854269122,https://ror.org/05nj7my03,HU,Sopron,University of Sopron,education
-1.79733559903906,https://ror.org/04091f946,HU,Győr,Széchenyi István University,education
-1.8182486780918337,https://ror.org/02ks8qq67,HU,Budapest,Hungarian Academy of Sciences,government
-1.9219083331890785,https://ror.org/040yeqy86,HU,Budapest,University of Public Service,education
-1.9559171025184923,https://ror.org/00ax71d21,HU,Budapest,Óbuda University,education
-1.998699391340526,https://ror.org/01v8tze95,HU,Baja,Eötvös József Főiskola,education
-1.998699391340526,https://ror.org/03nwvqf55,HU,Rákóczifalva,Reformed Theological Academy of Sárospatak,education
-1.998699391340526,https://ror.org/03yme6x53,HU,Budapest,International Business School,education
-1.998699391340526,https://ror.org/05sex0295,HU,Budapest,Hungarian Dance Academy,education
-1.998699391340526,https://ror.org/05wyqp450,HU,Vác,Apor Vilmos Katolikus Főiskola,education
-1.9987271056227403,https://ror.org/01ztv7560,HU,Budapest,Sapientia College of Theology of Religious Orders,education
-1.9987271056227403,https://ror.org/05c9vr219,HU,Sopron,HUN-REN Institute of Earth Physics and Space Science,facility
-2.049565853629334,https://ror.org/005cqsz63,HU,Budapest,Hungarian Research Centre for Linguistics,facility
-2.074945059088487,https://ror.org/00vtz6t93,HU,Pécs,Enviroinvest Environmental and Biotechnological Corp,company
-2.074945059088487,https://ror.org/036mae937,HU,Szeged,Cereal Research (Hungary),company
-2.074945059088487,https://ror.org/04980c792,HU,Budapest,MOL Group (Hungary),company
-2.1162417101501836,https://ror.org/01x1yxa13,HU,Budapest,Hungarian Central Statistical Office,company
-2.1354975951554223,https://ror.org/00p5h5h82,HU,Szeged,ELI-HU Research and Development Non-Profit,facility
-2.1959945347822787,https://ror.org/00qzn0672,HU,Budapest,Egis Pharmaceuticals (Hungary),company
-2.196037046892893,https://ror.org/00z908q62,HU,Budapest,Institute for Transport Sciences,nonprofit
-2.1993562130563884,https://ror.org/00r3jwh90,HU,Budapest,Budapest Business School,education
-2.209210062415692,https://ror.org/04w6pnc49,HU,Budapest,Hungarian Research Network,other
-2.2265083541765036,https://ror.org/00takby20,HU,Szeged,Gál Ferenc Főiskola,education
-2.2265359994534646,https://ror.org/015mptv94,HU,Kaposvár,Somogy Megyei Kaposi Mór Oktató Kórház,healthcare
-2.2265359994534646,https://ror.org/0403byw97,HU,Budapest,Hungarian Demographic Research Institute,facility
-2.2337646383168432,https://ror.org/04ehqrw09,HU,Budapest,Institute for Foreign Affairs and Trade,government
-2.2573952208027417,https://ror.org/04q1p4j28,HU,Szeged,Solvo Biotechnology (Hungary),company
-2.2682932315777085,https://ror.org/03m7pt185,HU,Budapest,Bay Zoltán Foundation for Applied Research,nonprofit
-2.2736015809039976,https://ror.org/00m3bfx83,HU,Budapest,Pozitron-Diagnosztika Kft,healthcare
-2.2736015809039976,https://ror.org/01cegwx30,HU,Budapest,HÉTFA Research Institute,government
-2.2736015809039976,https://ror.org/02awmn551,HU,Budapest,Hungarian National Bank,other
