Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/002ez5845 -> https://ror.org/01jsq2704,https://ror.org/002ez5845,https://ror.org/01jsq2704,HU,HU,Budapest,Budapest,University of Theatre and Film Arts,Eötvös Loránd University,education,education
1,https://ror.org/004gfgx38 -> https://ror.org/004gfgx38,https://ror.org/004gfgx38,https://ror.org/004gfgx38,HU,HU,Eger,Eger,Eszterházy Károly College,Eszterházy Károly College,education,education
24,https://ror.org/00ax71d21 -> https://ror.org/00ax71d21,https://ror.org/00ax71d21,https://ror.org/00ax71d21,HU,HU,Budapest,Budapest,Óbuda University,Óbuda University,education,education
1,https://ror.org/00ax71d21 -> https://ror.org/01hnk0667,https://ror.org/00ax71d21,https://ror.org/01hnk0667,HU,HU,Budapest,Budapest,Óbuda University,Zrínyi Miklós National Defence University,education,education
1,https://ror.org/00ax71d21 -> https://ror.org/01pnej532,https://ror.org/00ax71d21,https://ror.org/01pnej532,HU,HU,Budapest,Szeged,Óbuda University,University of Szeged,education,education
2,https://ror.org/00ax71d21 -> https://ror.org/01vxfm326,https://ror.org/00ax71d21,https://ror.org/01vxfm326,HU,HU,Budapest,Budapest,Óbuda University,Corvinus University of Budapest,education,education
1,https://ror.org/00ax71d21 -> https://ror.org/02ks8qq67,https://ror.org/00ax71d21,https://ror.org/02ks8qq67,HU,HU,Budapest,Budapest,Óbuda University,Hungarian Academy of Sciences,education,government
1,https://ror.org/00ax71d21 -> https://ror.org/040yeqy86,https://ror.org/00ax71d21,https://ror.org/040yeqy86,HU,HU,Budapest,Budapest,Óbuda University,University of Public Service,education,education
1,https://ror.org/00cta1n89 -> https://ror.org/00cta1n89,https://ror.org/00cta1n89,https://ror.org/00cta1n89,HU,HU,Budapest,Budapest,Moholy-Nagy University of Art and Design,Moholy-Nagy University of Art and Design,education,education
2,https://ror.org/00cta1n89 -> https://ror.org/03hhhyk81,https://ror.org/00cta1n89,https://ror.org/03hhhyk81,HU,HU,Budapest,Budapest,Moholy-Nagy University of Art and Design,Hungarian University of Fine Arts,education,education
1,https://ror.org/00qtxnd58 -> https://ror.org/01g9ty582,https://ror.org/00qtxnd58,https://ror.org/01g9ty582,HU,HU,Budapest,Budapest,Hungarian National Blood Transfusion Service,Semmelweis University,other,education
1,https://ror.org/00qtxnd58 -> https://ror.org/04w6pnc49,https://ror.org/00qtxnd58,https://ror.org/04w6pnc49,HU,HU,Budapest,Budapest,Hungarian National Blood Transfusion Service,Hungarian Research Network,other,other
1,https://ror.org/00r3jwh90 -> https://ror.org/00r3jwh90,https://ror.org/00r3jwh90,https://ror.org/00r3jwh90,HU,HU,Budapest,Budapest,Budapest Business School,Budapest Business School,education,education
1,https://ror.org/00vrhtt42 -> https://ror.org/02w42ss30,https://ror.org/00vrhtt42,https://ror.org/02w42ss30,HU,HU,Budapest,Budapest,Wessling (Hungary),Budapest University of Technology and Economics,company,education
2,https://ror.org/01394d192 -> https://ror.org/007ekx298,https://ror.org/01394d192,https://ror.org/007ekx298,HU,HU,Gödöllő,Budapest,Magyar Agrár- és Élettudományi Egyetem,Government of Hungary,education,government
2,https://ror.org/01394d192 -> https://ror.org/00j39nx61,https://ror.org/01394d192,https://ror.org/00j39nx61,HU,HU,Gödöllő,Budapest,Magyar Agrár- és Élettudományi Egyetem,Collegium Budapest,education,other
43,https://ror.org/01394d192 -> https://ror.org/01394d192,https://ror.org/01394d192,https://ror.org/01394d192,HU,HU,Gödöllő,Gödöllő,Magyar Agrár- és Élettudományi Egyetem,Magyar Agrár- és Élettudományi Egyetem,education,education
1,https://ror.org/01394d192 -> https://ror.org/01hnk0667,https://ror.org/01394d192,https://ror.org/01hnk0667,HU,HU,Gödöllő,Budapest,Magyar Agrár- és Élettudományi Egyetem,Zrínyi Miklós National Defence University,education,education
5,https://ror.org/01394d192 -> https://ror.org/01vxfm326,https://ror.org/01394d192,https://ror.org/01vxfm326,HU,HU,Gödöllő,Budapest,Magyar Agrár- és Élettudományi Egyetem,Corvinus University of Budapest,education,education
2,https://ror.org/01394d192 -> https://ror.org/01w885875,https://ror.org/01394d192,https://ror.org/01w885875,HU,HU,Gödöllő,Gödöllő,Magyar Agrár- és Élettudományi Egyetem,National Agricultural Research and Innovation Centre,education,facility
2,https://ror.org/01394d192 -> https://ror.org/02jkgvx03,https://ror.org/01394d192,https://ror.org/02jkgvx03,HU,HU,Gödöllő,Budapest,Magyar Agrár- és Élettudományi Egyetem,Edutus University,education,education
4,https://ror.org/01394d192 -> https://ror.org/02ks8qq67,https://ror.org/01394d192,https://ror.org/02ks8qq67,HU,HU,Gödöllő,Budapest,Magyar Agrár- és Élettudományi Egyetem,Hungarian Academy of Sciences,education,government
