Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
27,https://ror.org/0004wsx81 -> https://ror.org/0004wsx81,https://ror.org/0004wsx81,https://ror.org/0004wsx81,ID,ID,Bandung,Bandung,Telkom University,Telkom University,education,education
1,https://ror.org/0004wsx81 -> https://ror.org/00apj8t60,https://ror.org/0004wsx81,https://ror.org/00apj8t60,ID,ID,Bandung,Bandung,Telkom University,Bandung Institute of Technology,education,education
1,https://ror.org/0004wsx81 -> https://ror.org/0116zj450,https://ror.org/0004wsx81,https://ror.org/0116zj450,ID,ID,Bandung,Depok,Telkom University,University of Indonesia,education,education
1,https://ror.org/0004wsx81 -> https://ror.org/01kknrc90,https://ror.org/0004wsx81,https://ror.org/01kknrc90,ID,ID,Bandung,Medan,Telkom University,University of North Sumatra,education,education
2,https://ror.org/0004wsx81 -> https://ror.org/03ke6d638,https://ror.org/0004wsx81,https://ror.org/03ke6d638,ID,ID,Bandung,Yogyakarta,Telkom University,Universitas Gadjah Mada,education,education
1,https://ror.org/0004wsx81 -> https://ror.org/04tp6pr14,https://ror.org/0004wsx81,https://ror.org/04tp6pr14,ID,ID,Bandung,Bandung,Telkom University,Bandung Islamic University,education,education
1,https://ror.org/0004wsx81 -> https://ror.org/05v27w196,https://ror.org/0004wsx81,https://ror.org/05v27w196,ID,ID,Bandung,Bandung,Telkom University,Universitas Widyatama,education,education
1,https://ror.org/000pmrk50 -> https://ror.org/0004wsx81,https://ror.org/000pmrk50,https://ror.org/0004wsx81,ID,ID,Yogyakarta,Bandung,Islamic University of Indonesia,Telkom University,education,education
11,https://ror.org/000pmrk50 -> https://ror.org/000pmrk50,https://ror.org/000pmrk50,https://ror.org/000pmrk50,ID,ID,Yogyakarta,Yogyakarta,Islamic University of Indonesia,Islamic University of Indonesia,education,education
1,https://ror.org/000pmrk50 -> https://ror.org/007j5qg12,https://ror.org/000pmrk50,https://ror.org/007j5qg12,ID,ID,Yogyakarta,Palangkaraya,Islamic University of Indonesia,Universitas Muhammadiyah Palangkaraya,education,education
1,https://ror.org/000pmrk50 -> https://ror.org/00nmvbd84,https://ror.org/000pmrk50,https://ror.org/00nmvbd84,ID,ID,Yogyakarta,Yogyakarta,Islamic University of Indonesia,Sunan Kalijaga State Islamic University Yogyakarta,education,education
1,https://ror.org/000pmrk50 -> https://ror.org/01j1wt659,https://ror.org/000pmrk50,https://ror.org/01j1wt659,ID,ID,Yogyakarta,Malang,Islamic University of Indonesia,Universitas Muhammadiyah Malang,education,education
1,https://ror.org/000pmrk50 -> https://ror.org/01khn0w07,https://ror.org/000pmrk50,https://ror.org/01khn0w07,ID,ID,Yogyakarta,Banjarmasin,Islamic University of Indonesia,Lambung Mangkurat University,education,education
1,https://ror.org/000pmrk50 -> https://ror.org/021hq5q33,https://ror.org/000pmrk50,https://ror.org/021hq5q33,ID,ID,Yogyakarta,Surakarta,Islamic University of Indonesia,Sebelas Maret University,education,education
1,https://ror.org/000pmrk50 -> https://ror.org/02c0s8023,https://ror.org/000pmrk50,https://ror.org/02c0s8023,ID,ID,Yogyakarta,Makassar,Islamic University of Indonesia,Universitas Muslim Indonesia,education,education
1,https://ror.org/000pmrk50 -> https://ror.org/02xrm8562,https://ror.org/000pmrk50,https://ror.org/02xrm8562,ID,ID,Yogyakarta,Surabaya,Islamic University of Indonesia,Universitas 17 Agustus 1945 Surabaya,education,education
1,https://ror.org/000pmrk50 -> https://ror.org/03ke6d638,https://ror.org/000pmrk50,https://ror.org/03ke6d638,ID,ID,Yogyakarta,Yogyakarta,Islamic University of Indonesia,Universitas Gadjah Mada,education,education
3,https://ror.org/000pmrk50 -> https://ror.org/04gp0de23,https://ror.org/000pmrk50,https://ror.org/04gp0de23,ID,ID,Yogyakarta,Palangkaraya,Islamic University of Indonesia,IAIN Palangka Raya,education,education
1,https://ror.org/000pmrk50 -> https://ror.org/05efq3455,https://ror.org/000pmrk50,https://ror.org/05efq3455,ID,ID,Yogyakarta,Tasikmalaya,Islamic University of Indonesia,Siliwangi University,education,education
1,https://ror.org/000pmrk50 -> https://ror.org/05fryw881,https://ror.org/000pmrk50,https://ror.org/05fryw881,ID,ID,Yogyakarta,Yogyakarta,Islamic University of Indonesia,Yogyakarta State University,education,education
1,https://ror.org/000pmrk50 -> https://ror.org/05smgpd89,https://ror.org/000pmrk50,https://ror.org/05smgpd89,ID,ID,Yogyakarta,Bogor,Islamic University of Indonesia,IPB University,education,education
1,https://ror.org/0016by010 -> https://ror.org/021hq5q33,https://ror.org/0016by010,https://ror.org/021hq5q33,ID,ID,Bandar Lampung,Surakarta,Universitas Teknokrat Indonesia,Sebelas Maret University,education,education
1,https://ror.org/0020kf976 -> https://ror.org/0020kf976,https://ror.org/0020kf976,https://ror.org/0020kf976,ID,ID,Manado,Manado,Mount Klabat College,Mount Klabat College,education,education
26,https://ror.org/0028q1g19 -> https://ror.org/0028q1g19,https://ror.org/0028q1g19,https://ror.org/0028q1g19,ID,ID,Depok,Depok,Gunadarma University,Gunadarma University,education,education
1,https://ror.org/0028q1g19 -> https://ror.org/00fn3pa80,https://ror.org/0028q1g19,https://ror.org/00fn3pa80,ID,ID,Depok,Jakarta,Gunadarma University,Nasional University,education,education
3,https://ror.org/0028q1g19 -> https://ror.org/0116zj450,https://ror.org/0028q1g19,https://ror.org/0116zj450,ID,ID,Depok,Depok,Gunadarma University,University of Indonesia,education,education
1,https://ror.org/0028q1g19 -> https://ror.org/02105t278,https://ror.org/0028q1g19,https://ror.org/02105t278,ID,ID,Depok,Yogyakarta,Gunadarma University,Sanata Dharma University,education,education
1,https://ror.org/002hgm057 -> https://ror.org/002hgm057,https://ror.org/002hgm057,https://ror.org/002hgm057,ID,ID,Jakarta,Jakarta,Pertamina (Indonesia),Pertamina (Indonesia),company,company
1,https://ror.org/002hgm057 -> https://ror.org/00xqf8t64,https://ror.org/002hgm057,https://ror.org/00xqf8t64,ID,ID,Jakarta,Bandung,Pertamina (Indonesia),Padjadjaran University,company,education
1,https://ror.org/002jegx53 -> https://ror.org/00ypgyy34,https://ror.org/002jegx53,https://ror.org/00ypgyy34,ID,ID,Kediri,Malang,Universitas Nusantara PGRI Kediri,State University of Malang,education,education
1,https://ror.org/005z3e143 -> https://ror.org/05smgpd89,https://ror.org/005z3e143,https://ror.org/05smgpd89,ID,ID,Banda Aceh,Bogor,Universitas Abulyatama,IPB University,education,education
1,https://ror.org/0062tve42 -> https://ror.org/0116zj450,https://ror.org/0062tve42,https://ror.org/0116zj450,ID,ID,Jakarta,Depok,Pancasila University,University of Indonesia,education,education
1,https://ror.org/0062tve42 -> https://ror.org/01kknrc90,https://ror.org/0062tve42,https://ror.org/01kknrc90,ID,ID,Jakarta,Medan,Pancasila University,University of North Sumatra,education,education
1,https://ror.org/0062tve42 -> https://ror.org/03g5gja16,https://ror.org/0062tve42,https://ror.org/03g5gja16,ID,ID,Jakarta,Jakarta,Pancasila University,Universitas Jayabaya,education,education
1,https://ror.org/0067q8j88 -> https://ror.org/0067q8j88,https://ror.org/0067q8j88,https://ror.org/0067q8j88,ID,ID,Surabaya,Surabaya,Rumah Sakit Dokter Soetomo,Rumah Sakit Dokter Soetomo,healthcare,healthcare
1,https://ror.org/0067q8j88 -> https://ror.org/04ctejd88,https://ror.org/0067q8j88,https://ror.org/04ctejd88,ID,ID,Surabaya,Surabaya,Rumah Sakit Dokter Soetomo,Airlangga University,healthcare,education
1,https://ror.org/00791c793 -> https://ror.org/00791c793,https://ror.org/00791c793,https://ror.org/00791c793,ID,ID,Jakarta,Jakarta,Universitas Persada Indonesia Yayasan Administrasi Indonesia,Universitas Persada Indonesia Yayasan Administrasi Indonesia,education,education
1,https://ror.org/00791c793 -> https://ror.org/00nzccc08,https://ror.org/00791c793,https://ror.org/00nzccc08,ID,ID,Jakarta,Medan,Universitas Persada Indonesia Yayasan Administrasi Indonesia,Universitas Prima Indonesia,education,education
1,https://ror.org/00791c793 -> https://ror.org/00qjgk605,https://ror.org/00791c793,https://ror.org/00qjgk605,ID,ID,Jakarta,Jakarta,Universitas Persada Indonesia Yayasan Administrasi Indonesia,Mercu Buana University,education,education
1,https://ror.org/00791c793 -> https://ror.org/0116zj450,https://ror.org/00791c793,https://ror.org/0116zj450,ID,ID,Jakarta,Depok,Universitas Persada Indonesia Yayasan Administrasi Indonesia,University of Indonesia,education,education
1,https://ror.org/00791c793 -> https://ror.org/03ke6d638,https://ror.org/00791c793,https://ror.org/03ke6d638,ID,ID,Jakarta,Yogyakarta,Universitas Persada Indonesia Yayasan Administrasi Indonesia,Universitas Gadjah Mada,education,education
2,https://ror.org/0090dta57 -> https://ror.org/0090dta57,https://ror.org/0090dta57,https://ror.org/0090dta57,ID,ID,Bandung,Bandung,Universitas Islam Nusantara,Universitas Islam Nusantara,education,education
1,https://ror.org/0090dta57 -> https://ror.org/029tp8j70,https://ror.org/0090dta57,https://ror.org/029tp8j70,ID,ID,Bandung,Ponorogo,Universitas Islam Nusantara,University of Darussalam Gontor,education,education
1,https://ror.org/0090dta57 -> https://ror.org/044b0xj37,https://ror.org/0090dta57,https://ror.org/044b0xj37,ID,ID,Bandung,Bandung,Universitas Islam Nusantara,Indonesia University of Education,education,education
4,https://ror.org/0091hm651 -> https://ror.org/0091hm651,https://ror.org/0091hm651,https://ror.org/0091hm651,ID,ID,Ambon City,Ambon City,University of Pattimura,University of Pattimura,education,education
5,https://ror.org/009cc1d57 -> https://ror.org/009cc1d57,https://ror.org/009cc1d57,https://ror.org/009cc1d57,ID,ID,Surabaya,Surabaya,UIN Sunan Ampel Surabaya,UIN Sunan Ampel Surabaya,education,education
1,https://ror.org/009cc1d57 -> https://ror.org/017hvgd88,https://ror.org/009cc1d57,https://ror.org/017hvgd88,ID,ID,Surabaya,Sidoarjo,UIN Sunan Ampel Surabaya,Universitas Muhammadiyah Sidoarjo,education,education
2,https://ror.org/009gpfg16 -> https://ror.org/009gpfg16,https://ror.org/009gpfg16,https://ror.org/009gpfg16,ID,ID,Padang,Padang,Universitas Bung Hatta,Universitas Bung Hatta,education,education
4,https://ror.org/009nnre75 -> https://ror.org/009nnre75,https://ror.org/009nnre75,https://ror.org/009nnre75,ID,ID,Salatiga,Salatiga,Satya Wacana Christian University,Satya Wacana Christian University,education,education
1,https://ror.org/009nnre75 -> https://ror.org/00vb9c215,https://ror.org/009nnre75,https://ror.org/00vb9c215,ID,ID,Salatiga,Jakarta,Satya Wacana Christian University,University of Bunda Mulia,education,education
1,https://ror.org/009nnre75 -> https://ror.org/00vc1fz20,https://ror.org/009nnre75,https://ror.org/00vc1fz20,ID,ID,Salatiga,Karawang,Satya Wacana Christian University,University of Singaperbangsa Karawang,education,education
1,https://ror.org/009nnre75 -> https://ror.org/019fnr381,https://ror.org/009nnre75,https://ror.org/019fnr381,ID,ID,Salatiga,Jakarta,Satya Wacana Christian University,Universitas Trisakti,education,education
1,https://ror.org/009nnre75 -> https://ror.org/02hd2zk59,https://ror.org/009nnre75,https://ror.org/02hd2zk59,ID,ID,Salatiga,Jakarta,Satya Wacana Christian University,Atma Jaya Catholic University of Indonesia,education,education
1,https://ror.org/009nnre75 -> https://ror.org/039t4sn90,https://ror.org/009nnre75,https://ror.org/039t4sn90,ID,ID,Salatiga,Semarang,Satya Wacana Christian University,Soegijapranata Catholic University,education,education
1,https://ror.org/009nnre75 -> https://ror.org/03gn53446,https://ror.org/009nnre75,https://ror.org/03gn53446,ID,ID,Salatiga,Surakarta,Satya Wacana Christian University,Universitas Setia Budi,education,education
1,https://ror.org/009nnre75 -> https://ror.org/03ke6d638,https://ror.org/009nnre75,https://ror.org/03ke6d638,ID,ID,Salatiga,Yogyakarta,Satya Wacana Christian University,Universitas Gadjah Mada,education,education
2,https://ror.org/009nnre75 -> https://ror.org/056bjta22,https://ror.org/009nnre75,https://ror.org/056bjta22,ID,ID,Salatiga,Semarang,Satya Wacana Christian University,Diponegoro University,education,education
27,https://ror.org/00apj8t60 -> https://ror.org/0004wsx81,https://ror.org/00apj8t60,https://ror.org/0004wsx81,ID,ID,Bandung,Bandung,Bandung Institute of Technology,Telkom University,education,education
3,https://ror.org/00apj8t60 -> https://ror.org/000pmrk50,https://ror.org/00apj8t60,https://ror.org/000pmrk50,ID,ID,Bandung,Yogyakarta,Bandung Institute of Technology,Islamic University of Indonesia,education,education
1,https://ror.org/00apj8t60 -> https://ror.org/002hgm057,https://ror.org/00apj8t60,https://ror.org/002hgm057,ID,ID,Bandung,Jakarta,Bandung Institute of Technology,Pertamina (Indonesia),education,company
1,https://ror.org/00apj8t60 -> https://ror.org/0090dta57,https://ror.org/00apj8t60,https://ror.org/0090dta57,ID,ID,Bandung,Bandung,Bandung Institute of Technology,Universitas Islam Nusantara,education,education
1,https://ror.org/00apj8t60 -> https://ror.org/009gpfg16,https://ror.org/00apj8t60,https://ror.org/009gpfg16,ID,ID,Bandung,Padang,Bandung Institute of Technology,Universitas Bung Hatta,education,education
370,https://ror.org/00apj8t60 -> https://ror.org/00apj8t60,https://ror.org/00apj8t60,https://ror.org/00apj8t60,ID,ID,Bandung,Bandung,Bandung Institute of Technology,Bandung Institute of Technology,education,education
1,https://ror.org/00apj8t60 -> https://ror.org/00c7fav87,https://ror.org/00apj8t60,https://ror.org/00c7fav87,ID,ID,Bandung,Ciputat,Bandung Institute of Technology,Syarif Hidayatullah State Islamic University Jakarta,education,education
2,https://ror.org/00apj8t60 -> https://ror.org/00cf3sf89,https://ror.org/00apj8t60,https://ror.org/00cf3sf89,ID,ID,Bandung,Surabaya,Bandung Institute of Technology,Politeknik Elektronika Negeri Surabaya,education,education
11,https://ror.org/00apj8t60 -> https://ror.org/00da1gf19,https://ror.org/00apj8t60,https://ror.org/00da1gf19,ID,ID,Bandung,Makassar,Bandung Institute of Technology,Hasanuddin University,education,education
1,https://ror.org/00apj8t60 -> https://ror.org/00dr09x15,https://ror.org/00apj8t60,https://ror.org/00dr09x15,ID,ID,Bandung,Pekanbaru,Bandung Institute of Technology,Caltex Riau Polytechnic,education,education
2,https://ror.org/00apj8t60 -> https://ror.org/00fq07k50,https://ror.org/00apj8t60,https://ror.org/00fq07k50,ID,ID,Bandung,Mataram,Bandung Institute of Technology,University of Mataram,education,education
1,https://ror.org/00apj8t60 -> https://ror.org/00k729t32,https://ror.org/00apj8t60,https://ror.org/00k729t32,ID,ID,Bandung,Tomohon,Bandung Institute of Technology,Institut Teknologi Minaesa,education,education
4,https://ror.org/00apj8t60 -> https://ror.org/00nk7p507,https://ror.org/00apj8t60,https://ror.org/00nk7p507,ID,ID,Bandung,Pekanbaru,Bandung Institute of Technology,Riau University,education,education
1,https://ror.org/00apj8t60 -> https://ror.org/00qjgk605,https://ror.org/00apj8t60,https://ror.org/00qjgk605,ID,ID,Bandung,Jakarta,Bandung Institute of Technology,Mercu Buana University,education,education
2,https://ror.org/00apj8t60 -> https://ror.org/00vc1fz20,https://ror.org/00apj8t60,https://ror.org/00vc1fz20,ID,ID,Bandung,Karawang,Bandung Institute of Technology,University of Singaperbangsa Karawang,education,education
1,https://ror.org/00apj8t60 -> https://ror.org/00vp4y570,https://ror.org/00apj8t60,https://ror.org/00vp4y570,ID,ID,Bandung,Jakarta,Bandung Institute of Technology,Universitas 17 Agustus 1945 Jakarta,education,education
49,https://ror.org/00apj8t60 -> https://ror.org/00xqf8t64,https://ror.org/00apj8t60,https://ror.org/00xqf8t64,ID,ID,Bandung,Bandung,Bandung Institute of Technology,Padjadjaran University,education,education
10,https://ror.org/00apj8t60 -> https://ror.org/00ypgyy34,https://ror.org/00apj8t60,https://ror.org/00ypgyy34,ID,ID,Bandung,Malang,Bandung Institute of Technology,State University of Malang,education,education
18,https://ror.org/00apj8t60 -> https://ror.org/0116zj450,https://ror.org/00apj8t60,https://ror.org/0116zj450,ID,ID,Bandung,Depok,Bandung Institute of Technology,University of Indonesia,education,education
1,https://ror.org/00apj8t60 -> https://ror.org/01949tn21,https://ror.org/00apj8t60,https://ror.org/01949tn21,ID,ID,Bandung,Makassar,Bandung Institute of Technology,Universitas Veteran Republik Indonesia Makassar,education,education
4,https://ror.org/00apj8t60 -> https://ror.org/019fnr381,https://ror.org/00apj8t60,https://ror.org/019fnr381,ID,ID,Bandung,Jakarta,Bandung Institute of Technology,Universitas Trisakti,education,education
1,https://ror.org/00apj8t60 -> https://ror.org/01b15w051,https://ror.org/00apj8t60,https://ror.org/01b15w051,ID,ID,Bandung,Bandung,Bandung Institute of Technology,Telkom Institute of Management,education,education
2,https://ror.org/00apj8t60 -> https://ror.org/01bdmvf66,https://ror.org/00apj8t60,https://ror.org/01bdmvf66,ID,ID,Bandung,Malang,Bandung Institute of Technology,Institut Teknologi Nasional Malang,education,education
1,https://ror.org/00apj8t60 -> https://ror.org/01cn6ph21,https://ror.org/00apj8t60,https://ror.org/01cn6ph21,ID,ID,Bandung,Manado,Bandung Institute of Technology,Sam Ratulangi University,education,education
1,https://ror.org/00apj8t60 -> https://ror.org/01gk55t56,https://ror.org/00apj8t60,https://ror.org/01gk55t56,ID,ID,Bandung,Pekanbaru,Bandung Institute of Technology,Islamic University of Riau,education,education
1,https://ror.org/00apj8t60 -> https://ror.org/01gmyr425,https://ror.org/00apj8t60,https://ror.org/01gmyr425,ID,ID,Bandung,Yogyakarta,Bandung Institute of Technology,Atma Jaya University Yogyakarta,education,education
3,https://ror.org/00apj8t60 -> https://ror.org/01hgg7b81,https://ror.org/00apj8t60,https://ror.org/01hgg7b81,ID,ID,Bandung,Jakarta,Bandung Institute of Technology,State University of Jakarta,education,education
3,https://ror.org/00apj8t60 -> https://ror.org/01j1wt659,https://ror.org/00apj8t60,https://ror.org/01j1wt659,ID,ID,Bandung,Malang,Bandung Institute of Technology,Universitas Muhammadiyah Malang,education,education
4,https://ror.org/00apj8t60 -> https://ror.org/01j33fx63,https://ror.org/00apj8t60,https://ror.org/01j33fx63,ID,ID,Bandung,Bandung,Bandung Institute of Technology,Sunan Gunung Djati State Islamic University Bandung,education,education
1,https://ror.org/00apj8t60 -> https://ror.org/01jf74q70,https://ror.org/00apj8t60,https://ror.org/01jf74q70,ID,ID,Bandung,Surabaya,Bandung Institute of Technology,Universitas Negeri Surabaya,education,education
