Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/0040bha74 -> https://ror.org/02tyrky19,https://ror.org/0040bha74,https://ror.org/02tyrky19,IE,IE,Dublin,Dublin,Milltown Institute of Theology and Philosophy,Trinity College Dublin,education,education
18,https://ror.org/009q3yg92 -> https://ror.org/009q3yg92,https://ror.org/009q3yg92,https://ror.org/009q3yg92,IE,IE,Limerick,Limerick,Mary Immaculate College,Mary Immaculate College,education,education
6,https://ror.org/009q3yg92 -> https://ror.org/00a0n9e72,https://ror.org/009q3yg92,https://ror.org/00a0n9e72,IE,IE,Limerick,Limerick,Mary Immaculate College,University of Limerick,education,education
2,https://ror.org/009q3yg92 -> https://ror.org/00shsf120,https://ror.org/009q3yg92,https://ror.org/00shsf120,IE,IE,Limerick,Dublin,Mary Immaculate College,National University of Ireland,education,education
1,https://ror.org/009q3yg92 -> https://ror.org/02tyrky19,https://ror.org/009q3yg92,https://ror.org/02tyrky19,IE,IE,Limerick,Dublin,Mary Immaculate College,Trinity College Dublin,education,education
1,https://ror.org/009q3yg92 -> https://ror.org/04a1a1e81,https://ror.org/009q3yg92,https://ror.org/04a1a1e81,IE,IE,Limerick,Dublin,Mary Immaculate College,Dublin City University,education,education
1,https://ror.org/00a0n9e72 -> https://ror.org/003hb2249,https://ror.org/00a0n9e72,https://ror.org/003hb2249,IE,IE,Limerick,Dublin,University of Limerick,Health Research Board,education,government
6,https://ror.org/00a0n9e72 -> https://ror.org/009q3yg92,https://ror.org/00a0n9e72,https://ror.org/009q3yg92,IE,IE,Limerick,Limerick,University of Limerick,Mary Immaculate College,education,education
219,https://ror.org/00a0n9e72 -> https://ror.org/00a0n9e72,https://ror.org/00a0n9e72,https://ror.org/00a0n9e72,IE,IE,Limerick,Limerick,University of Limerick,University of Limerick,education,education
1,https://ror.org/00a0n9e72 -> https://ror.org/00rt8gn18,https://ror.org/00a0n9e72,https://ror.org/00rt8gn18,IE,IE,Limerick,Tralee,University of Limerick,Institute of Technology Tralee,education,education
55,https://ror.org/00a0n9e72 -> https://ror.org/00shsf120,https://ror.org/00a0n9e72,https://ror.org/00shsf120,IE,IE,Limerick,Dublin,University of Limerick,National University of Ireland,education,education
1,https://ror.org/00a0n9e72 -> https://ror.org/011hy5f81,https://ror.org/00a0n9e72,https://ror.org/011hy5f81,IE,IE,Limerick,Dublin,University of Limerick,Irish Management Institute,education,education
1,https://ror.org/00a0n9e72 -> https://ror.org/012qxnm65,https://ror.org/00a0n9e72,https://ror.org/012qxnm65,IE,IE,Limerick,Cork,University of Limerick,Cork Institute of Technology,education,facility
6,https://ror.org/00a0n9e72 -> https://ror.org/013xpqh61,https://ror.org/00a0n9e72,https://ror.org/013xpqh61,IE,IE,Limerick,Cork,University of Limerick,Munster Technological University,education,facility
6,https://ror.org/00a0n9e72 -> https://ror.org/01800zd49,https://ror.org/00a0n9e72,https://ror.org/01800zd49,IE,IE,Limerick,Dundalk,University of Limerick,Dundalk Institute of Technology,education,education
1,https://ror.org/00a0n9e72 -> https://ror.org/01hxy9878,https://ror.org/00a0n9e72,https://ror.org/01hxy9878,IE,IE,Limerick,Dublin,University of Limerick,Royal College of Surgeons in Ireland,education,education
2,https://ror.org/00a0n9e72 -> https://ror.org/024j9sx72,https://ror.org/00a0n9e72,https://ror.org/024j9sx72,IE,IE,Limerick,Galway,University of Limerick,Galway-Mayo Institute of Technology,education,education
1,https://ror.org/00a0n9e72 -> https://ror.org/0265sk121,https://ror.org/00a0n9e72,https://ror.org/0265sk121,IE,IE,Limerick,Dublin,University of Limerick,Royal College of Physicians of Ireland,education,education
15,https://ror.org/00a0n9e72 -> https://ror.org/0269ncv24,https://ror.org/00a0n9e72,https://ror.org/0269ncv24,IE,IE,Limerick,Limerick,University of Limerick,Limerick Institute of Technology,education,education
1,https://ror.org/00a0n9e72 -> https://ror.org/0271asj38,https://ror.org/00a0n9e72,https://ror.org/0271asj38,IE,IE,Limerick,Dublin,University of Limerick,Science Foundation Ireland,education,nonprofit
2,https://ror.org/00a0n9e72 -> https://ror.org/029nmgq20,https://ror.org/00a0n9e72,https://ror.org/029nmgq20,IE,IE,Limerick,Dublin,University of Limerick,Dublin Institute of Technology,education,education
5,https://ror.org/00a0n9e72 -> https://ror.org/02dyxwz31,https://ror.org/00a0n9e72,https://ror.org/02dyxwz31,IE,IE,Limerick,Athlone,University of Limerick,Athlone Institute of Technology,education,education
1,https://ror.org/00a0n9e72 -> https://ror.org/02frwys47,https://ror.org/00a0n9e72,https://ror.org/02frwys47,IE,IE,Limerick,Carlow,University of Limerick,Institute of Technology Carlow,education,government
4,https://ror.org/00a0n9e72 -> https://ror.org/02qzs9336,https://ror.org/00a0n9e72,https://ror.org/02qzs9336,IE,IE,Limerick,Dublin,University of Limerick,National College of Ireland,education,education
18,https://ror.org/00a0n9e72 -> https://ror.org/02tyrky19,https://ror.org/00a0n9e72,https://ror.org/02tyrky19,IE,IE,Limerick,Dublin,University of Limerick,Trinity College Dublin,education,education
1,https://ror.org/00a0n9e72 -> https://ror.org/037qxb619,https://ror.org/00a0n9e72,https://ror.org/037qxb619,IE,IE,Limerick,Dublin,University of Limerick,Institute of Technology Tallaght,education,education
4,https://ror.org/00a0n9e72 -> https://ror.org/038dhnb42,https://ror.org/00a0n9e72,https://ror.org/038dhnb42,IE,IE,Limerick,Limerick,University of Limerick,Lero,education,other
1,https://ror.org/00a0n9e72 -> https://ror.org/03cbzve16,https://ror.org/00a0n9e72,https://ror.org/03cbzve16,IE,IE,Limerick,Dublin,University of Limerick,Department of Education and Skills,education,government
1,https://ror.org/00a0n9e72 -> https://ror.org/03sx84n71,https://ror.org/00a0n9e72,https://ror.org/03sx84n71,IE,IE,Limerick,Carlow,University of Limerick,Teagasc - The Irish Agriculture and Food Development Authority,education,facility
7,https://ror.org/00a0n9e72 -> https://ror.org/03ypxwh20,https://ror.org/00a0n9e72,https://ror.org/03ypxwh20,IE,IE,Limerick,Waterford,University of Limerick,Waterford Institute of Technology,education,nonprofit
1,https://ror.org/00a0n9e72 -> https://ror.org/0458dap48,https://ror.org/00a0n9e72,https://ror.org/0458dap48,IE,IE,Limerick,Ireland,University of Limerick,Atlantic Technological University,education,education
1,https://ror.org/00a0n9e72 -> https://ror.org/04724nx69,https://ror.org/00a0n9e72,https://ror.org/04724nx69,IE,IE,Limerick,Castlebar,University of Limerick,Mayo County Council,education,government
1,https://ror.org/00a0n9e72 -> https://ror.org/049r2ed34,https://ror.org/00a0n9e72,https://ror.org/049r2ed34,IE,IE,Limerick,Blanchardstown,University of Limerick,Swim Ireland,education,government
14,https://ror.org/00a0n9e72 -> https://ror.org/04a1a1e81,https://ror.org/00a0n9e72,https://ror.org/04a1a1e81,IE,IE,Limerick,Dublin,University of Limerick,Dublin City University,education,education
1,https://ror.org/00a0n9e72 -> https://ror.org/04c6bry31,https://ror.org/00a0n9e72,https://ror.org/04c6bry31,IE,IE,Limerick,Dublin,University of Limerick,St. James's Hospital,education,healthcare
1,https://ror.org/00a0n9e72 -> https://ror.org/04efm0253,https://ror.org/00a0n9e72,https://ror.org/04efm0253,IE,IE,Limerick,Athlone,University of Limerick,Technological University of the Shannon: Midlands Midwest,education,education
1,https://ror.org/00a0n9e72 -> https://ror.org/04q0a4f84,https://ror.org/00a0n9e72,https://ror.org/04q0a4f84,IE,IE,Limerick,Dublin,University of Limerick,Economic and Social Research Institute,education,nonprofit
4,https://ror.org/00a0n9e72 -> https://ror.org/04t0qbt32,https://ror.org/00a0n9e72,https://ror.org/04t0qbt32,IE,IE,Limerick,Dublin,University of Limerick,Technological University Dublin,education,education
1,https://ror.org/00a0n9e72 -> https://ror.org/051dggm19,https://ror.org/00a0n9e72,https://ror.org/051dggm19,IE,IE,Limerick,Dublin,University of Limerick,Dublin Business School,education,education
1,https://ror.org/00a0n9e72 -> https://ror.org/051xex213,https://ror.org/00a0n9e72,https://ror.org/051xex213,IE,IE,Limerick,Dublin,University of Limerick,Irish Research Council,education,government
1,https://ror.org/00j9g7s25 -> https://ror.org/00j9g7s25,https://ror.org/00j9g7s25,https://ror.org/00j9g7s25,IE,IE,Dublin,Dublin,Kimmage Development Studies Centre,Kimmage Development Studies Centre,other,other
1,https://ror.org/00j9g7s25 -> https://ror.org/02tyrky19,https://ror.org/00j9g7s25,https://ror.org/02tyrky19,IE,IE,Dublin,Dublin,Kimmage Development Studies Centre,Trinity College Dublin,other,education
2,https://ror.org/00rt8gn18 -> https://ror.org/03ypxwh20,https://ror.org/00rt8gn18,https://ror.org/03ypxwh20,IE,IE,Tralee,Waterford,Institute of Technology Tralee,Waterford Institute of Technology,education,nonprofit
2,https://ror.org/00rve9x39 -> https://ror.org/0269ncv24,https://ror.org/00rve9x39,https://ror.org/0269ncv24,IE,IE,Tralee,Limerick,Shannon Applied Biotechnology Centre,Limerick Institute of Technology,facility,education
2,https://ror.org/00shsf120 -> https://ror.org/003hb2249,https://ror.org/00shsf120,https://ror.org/003hb2249,IE,IE,Dublin,Dublin,National University of Ireland,Health Research Board,education,government
1,https://ror.org/00shsf120 -> https://ror.org/0040bha74,https://ror.org/00shsf120,https://ror.org/0040bha74,IE,IE,Dublin,Dublin,National University of Ireland,Milltown Institute of Theology and Philosophy,education,education
4,https://ror.org/00shsf120 -> https://ror.org/009q3yg92,https://ror.org/00shsf120,https://ror.org/009q3yg92,IE,IE,Dublin,Limerick,National University of Ireland,Mary Immaculate College,education,education
59,https://ror.org/00shsf120 -> https://ror.org/00a0n9e72,https://ror.org/00shsf120,https://ror.org/00a0n9e72,IE,IE,Dublin,Limerick,National University of Ireland,University of Limerick,education,education
1,https://ror.org/00shsf120 -> https://ror.org/00j0ctk30,https://ror.org/00shsf120,https://ror.org/00j0ctk30,IE,IE,Dublin,Dublin,National University of Ireland,Central Bank of Ireland,education,other
1,https://ror.org/00shsf120 -> https://ror.org/00men8398,https://ror.org/00shsf120,https://ror.org/00men8398,IE,IE,Dublin,Cork,National University of Ireland,Infant,education,facility
5,https://ror.org/00shsf120 -> https://ror.org/00rt8gn18,https://ror.org/00shsf120,https://ror.org/00rt8gn18,IE,IE,Dublin,Tralee,National University of Ireland,Institute of Technology Tralee,education,education
1538,https://ror.org/00shsf120 -> https://ror.org/00shsf120,https://ror.org/00shsf120,https://ror.org/00shsf120,IE,IE,Dublin,Dublin,National University of Ireland,National University of Ireland,education,education
1,https://ror.org/00shsf120 -> https://ror.org/00vhgwv19,https://ror.org/00shsf120,https://ror.org/00vhgwv19,IE,IE,Dublin,Dublin,National University of Ireland,Met Éireann,education,other
1,https://ror.org/00shsf120 -> https://ror.org/011hy5f81,https://ror.org/00shsf120,https://ror.org/011hy5f81,IE,IE,Dublin,Dublin,National University of Ireland,Irish Management Institute,education,education
21,https://ror.org/00shsf120 -> https://ror.org/012qxnm65,https://ror.org/00shsf120,https://ror.org/012qxnm65,IE,IE,Dublin,Cork,National University of Ireland,Cork Institute of Technology,education,facility
