OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.485849629200316,https://ror.org/0316ej306,IL,Rehovot,Weizmann Institute of Science,education
0.1469231863227002,https://ror.org/04mhzgx49,IL,Tel Aviv,Tel Aviv University,education
0.11831088667611711,https://ror.org/03qxff017,IL,Jerusalem,Hebrew University of Jerusalem,education
0.00011165475812640773,https://ror.org/002bpzx43,IL,Haifa,Taro Pharmaceuticals (Israel),company
0.0,https://ror.org/050cwv729,IL,Tel Aviv,Magen David Adom,other
0.0,https://ror.org/05rvdw046,IL,Haifa,Ministry of Energy,government
-0.021349006287495243,https://ror.org/03kgsv495,IL,Ramat Gan,Bar-Ilan University,education
-0.05926781315462257,https://ror.org/03qryx823,IL,Haifa,Technion – Israel Institute of Technology,education
-0.15852515526686706,https://ror.org/04cg6c004,IL,Tel Aviv,Academic College of Tel Aviv-Yafo,education
-0.1687945499697885,https://ror.org/02f009v59,IL,Haifa,University of Haifa,education
-0.27130625995183577,https://ror.org/05tkyf982,IL,Beersheba,Ben-Gurion University of the Negev,education
-0.3201358620954246,https://ror.org/02td5wn81,IL,Tel Aviv,Ono Academic College,education
-0.47588374278491985,https://ror.org/01px5cv07,IL,Herzliya,Reichman University,education
-0.5140356468396531,https://ror.org/002hk8a14,IL,Haifa,Samuel Neaman Institute for National Policy Research,nonprofit
-0.570796485782977,https://ror.org/01539v588,IL,Haifa,Oranim Academic College of Education,education
-0.5868214132367725,https://ror.org/01fm87m50,IL,Haifa,Rambam Health Care Campus,healthcare
-0.6777548831784592,https://ror.org/03wmj4s33,IL,Rishon LeZiyyon,College of Management Academic Studies,education
-0.681861281401742,https://ror.org/01bh2qr63,IL,Tel Aviv,Israel Atomic Energy Commission,government
-0.6833195389035153,https://ror.org/01z3j3n30,IL,Petaẖ Tiqwa,Schneider Children's Medical Center,healthcare
-0.6884337783328393,https://ror.org/05hbrxp80,IL,Rishon LeẔiyyon,Agricultural Research Organization,government
-0.6977787339528954,https://ror.org/017vd4789,IL,Tel Aviv,Compugen (Israel),company
-0.7229103617004728,https://ror.org/027z64205,IL,Raanana,Open University of Israel,education
-0.7305526338474253,https://ror.org/003s3dn82,IL,Ramat Gan,Shenkar College of Engineering and Design,education
-0.7632839388663791,https://ror.org/0361c8163,IL,Hadera,Ruppin Academic Center,education
-0.7676084517739422,https://ror.org/037fbyh64,IL,Jerusalem,Israel Antiquities Authority,government
-0.7729697845050119,https://ror.org/02prqh017,IL,H̱olon,Holon Institute of Technology,education
-0.7926933011299926,https://ror.org/04nd58p63,IL,Tel Aviv,Tel Aviv Sourasky Medical Center,healthcare
-0.824810495709154,https://ror.org/020rzx487,IL,Ramat Gan,Sheba Medical Center,healthcare
-0.8327265695890661,https://ror.org/036vgbd10,IL,Jerusalem,David Yellin College of Education,education
-0.838273610177721,https://ror.org/03nz8qe97,IL,Ariel,Ariel University,education
-0.8528518942668248,https://ror.org/01a6tsm75,IL,Hadera,Hillel Yaffe Medical Center,healthcare
-0.8528518942668248,https://ror.org/05w1yqq10,IL,Haifa,Israel Defense Forces Medical Corps,government
-0.8529353856486975,https://ror.org/04aaeds92,IL,Lod,Israel Aerospace Industries (Israel),company
-0.855426811295153,https://ror.org/009st3569,IL,Qiryat Shemona,Tel Hai Academic College,education
-0.8672415056237597,https://ror.org/00hmeez77,IL,Ashkelon,Barzilai Medical Center,healthcare
-0.8672415056237597,https://ror.org/01are4896,IL,Jerusalem,Van Leer Jerusalem Institute,education
-0.8735301506117082,https://ror.org/01cqmqj90,IL,Jerusalem,Hadassah Medical Center,healthcare
-0.8814552553235142,https://ror.org/00tqqep04,IL,Jerusalem,Jewish Agency for Israel,nonprofit
-0.8814552553235142,https://ror.org/01140r423,IL,Jerusalem,Israel Institute for Advanced Studies,facility
-0.8816190998612987,https://ror.org/05atez085,IL,Ness Ziona,Israel Institute for Biological Research,facility
-0.8869272731012687,https://ror.org/00syjsq54,IL,Jerusalem,Bezalel Academy of Arts and Design,education
-0.8887565778971279,https://ror.org/00hpjtd88,IL,Kfar Saba,Beit Berl College,education
-0.8925864440657532,https://ror.org/016n0q862,IL,Jerusalem,Israel Ministry of Health,government
-0.8925864440657532,https://ror.org/04d0szq68,IL,Jerusalem,Shaare Zedek Medical Center,healthcare
-0.9228307982035525,https://ror.org/058nry849,IL,Jerusalem,Geological Survey of Israel,government
-0.9281486288267754,https://ror.org/04f18cg29,IL,West Jerusalem,Israel Democracy Institute,facility
-0.9370285133164166,https://ror.org/04zjvnp94,IL,Tel Aviv,Clalit Health Services,healthcare
-0.9468805036116977,https://ror.org/03bdv1r55,IL,Jerusalem,Hadassah Academic College,education
-0.9513773434198689,https://ror.org/05ktm1f40,IL,Jerusalem,Shalem College,education
-0.9557337144923688,https://ror.org/00sfwx025,IL,Ashkelon,Ashkelon Academic College,education
-0.9677598395583475,https://ror.org/044356j33,IL,Tel Aviv,The Mofet Institute,education
-0.9752545887534664,https://ror.org/01wfv3m53,IL,Petaẖ Tiqwa,Teva Pharmaceuticals (Israel),company
-0.9896456007186988,https://ror.org/04kaqnt29,IL,Qiryat Shemona,Migal - Galilee Technology Center,facility
-0.9923927449433769,https://ror.org/03d7p8g51,IL,Netanya,Netanya Academic College,education
-1.0210649264142568,https://ror.org/020gwz349,IL,Jerusalem,Herzog Hospital,healthcare
-1.0210649264142568,https://ror.org/02722hp10,IL,Tel Aviv,Assaf Harofeh Medical Center,healthcare
-1.0210649264142568,https://ror.org/02p6rwd19,IL,Jerusalem,Shalom Hartman Institute,company
-1.0210649264142568,https://ror.org/04j1zjr14,IL,Jerusalem,Lander Institute,education
-1.0210649264142568,https://ror.org/04k1f6611,IL,Tel Aviv,Maccabi Health Care Services,healthcare
-1.0210649264142568,https://ror.org/04m2r0735,IL,Jerusalem,Schechter Institute of Jewish Studies,education
-1.023850506261742,https://ror.org/00e9cav63,IL,Bāqa el Gharbīya,Al-Qasemi Academic College of Education,education
-1.0238977071279578,https://ror.org/00ajd9b21,IL,Acre,Western Galilee College,education
-1.0335422805985461,https://ror.org/00nydej67,IL,Tel Aviv,Levinsky College of Education,education
-1.0416724750744548,https://ror.org/0349v4t59,IL,Tel Aviv,"Kibbutzim College of Education, Technology and the Arts",education
-1.0424056306210172,https://ror.org/04am5ns61,IL,Haifa,The Arab Academic College for Education in Israel,education
-1.0436466258346633,https://ror.org/05rpsf244,IL,Haifa,Israel Oceanographic and Limnological Research,facility
-1.0475425419173083,https://ror.org/05tg57g61,IL,Jerusalem,Azrieli College of Engineering Jerusalem,education
-1.0476898060628947,https://ror.org/05qz2dz14,IL,Afula,Max Stern Academic College of Emek Yezreel,education
-1.0580681760533268,https://ror.org/002kenh51,IL,Jerusalem,Jerusalem College of Technology,education
-1.0589852099784631,https://ror.org/016mey390,IL,Haifa,Rafael Advanced Defense Systems (Israel),company
-1.0589852099784631,https://ror.org/02c684e48,IL,Haifa,Elbit Systems (Israel),company
-1.074934324751235,https://ror.org/004af2v94,IL,Karmi’el,ORT Braude College,education
-1.0875745326675557,https://ror.org/024hcay96,IL,Ashkelon,Achva Academic College,education
-1.0903850250535516,https://ror.org/05402ng93,IL,Galilee,Kinneret College on the Sea of Galilee,education
-1.097632043564803,https://ror.org/04qkymg17,IL,Tel Aviv,Assuta Medical Center,healthcare
-1.1136121370882974,https://ror.org/01zepqe17,IL,Jerusalem,The Jerusalem Academy of Music and Dance,education
-1.114561271538175,https://ror.org/03syp5w68,IL,Safed,Zefat Academic College,education
-1.1203112809491864,https://ror.org/04wymav61,IL,Ramat Gan,College of Law and Business,nonprofit
-1.1305461418317295,https://ror.org/04hwjfc40,IL,Sederot,Sapir College,education
-1.1491297782722438,https://ror.org/0133h2564,IL,Jerusalem,Dead Sea and Arava Science Center,nonprofit
-1.1684701346972775,https://ror.org/000be6g31,IL,Netanya,Academic College at Wingate,education
-1.1783353259947136,https://ror.org/05dhprc49,IL,Tel Aviv,Afeka College of Engineering,education
-1.2007439720105229,https://ror.org/011aa4g29,IL,Ashdod,Sami Shamoon College of Engineering,education
-1.270932421410636,https://ror.org/024psbf52,IL,Jerusalem,W. F. Albright Institute of Archaeological Research,facility
-1.270932421410636,https://ror.org/02cy9a842,IL,Haifa,Carmel Medical Center,healthcare
-1.270932421410636,https://ror.org/041jx2z70,IL,Kafr Qari‘,Triangle Research and Development Center,facility
-1.270932421410636,https://ror.org/04ayype77,IL,H̱olon,Wolfson Medical Center,healthcare
-1.270932421410636,https://ror.org/04pc7j325,IL,Kfar Saba,Meir Medical Center,healthcare
-1.2711630458245384,https://ror.org/01p8dnv11,IL,Haifa,Israel Electric (Israel),company
-1.2878511026124484,https://ror.org/05cjxt577,IL,Jerusalem,Herzog College,education
-1.2986730759099931,https://ror.org/03xagjf37,IL,Beersheba,Kaye Academic College of Education,education
-1.3195889042327291,https://ror.org/05xwpxc69,IL,Jerusalem,Jerusalem University College,education
-1.4602012452403401,https://ror.org/00ge2jh15,IL,Tel Aviv,Peres Academic Center,education
-1.587549266998234,https://ror.org/05mw4gk09,IL,Safed,Rebecca Sieff Hospital,healthcare
