Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/002bpzx43 -> https://ror.org/01wfv3m53,https://ror.org/002bpzx43,https://ror.org/01wfv3m53,IL,IL,Haifa,Petaẖ Tiqwa,Taro Pharmaceuticals (Israel),Teva Pharmaceuticals (Israel),company,company
2,https://ror.org/003s3dn82 -> https://ror.org/003s3dn82,https://ror.org/003s3dn82,https://ror.org/003s3dn82,IL,IL,Ramat Gan,Ramat Gan,Shenkar College of Engineering and Design,Shenkar College of Engineering and Design,education,education
1,https://ror.org/003s3dn82 -> https://ror.org/05tg57g61,https://ror.org/003s3dn82,https://ror.org/05tg57g61,IL,IL,Ramat Gan,Jerusalem,Shenkar College of Engineering and Design,Azrieli College of Engineering Jerusalem,education,education
4,https://ror.org/009st3569 -> https://ror.org/009st3569,https://ror.org/009st3569,https://ror.org/009st3569,IL,IL,Qiryat Shemona,Qiryat Shemona,Tel Hai Academic College,Tel Hai Academic College,education,education
2,https://ror.org/009st3569 -> https://ror.org/03qryx823,https://ror.org/009st3569,https://ror.org/03qryx823,IL,IL,Qiryat Shemona,Haifa,Tel Hai Academic College,Technion – Israel Institute of Technology,education,education
1,https://ror.org/009st3569 -> https://ror.org/03syp5w68,https://ror.org/009st3569,https://ror.org/03syp5w68,IL,IL,Qiryat Shemona,Safed,Tel Hai Academic College,Zefat Academic College,education,education
1,https://ror.org/00hpjtd88 -> https://ror.org/03nz8qe97,https://ror.org/00hpjtd88,https://ror.org/03nz8qe97,IL,IL,Kfar Saba,Ariel,Beit Berl College,Ariel University,education,education
1,https://ror.org/00sfwx025 -> https://ror.org/03nz8qe97,https://ror.org/00sfwx025,https://ror.org/03nz8qe97,IL,IL,Ashkelon,Ariel,Ashkelon Academic College,Ariel University,education,education
1,https://ror.org/00syjsq54 -> https://ror.org/02prqh017,https://ror.org/00syjsq54,https://ror.org/02prqh017,IL,IL,Jerusalem,H̱olon,Bezalel Academy of Arts and Design,Holon Institute of Technology,education,education
2,https://ror.org/01539v588 -> https://ror.org/02f009v59,https://ror.org/01539v588,https://ror.org/02f009v59,IL,IL,Haifa,Haifa,Oranim Academic College of Education,University of Haifa,education,education
1,https://ror.org/01bh2qr63 -> https://ror.org/05tkyf982,https://ror.org/01bh2qr63,https://ror.org/05tkyf982,IL,IL,Tel Aviv,Beersheba,Israel Atomic Energy Commission,Ben-Gurion University of the Negev,government,education
3,https://ror.org/01fm87m50 -> https://ror.org/01fm87m50,https://ror.org/01fm87m50,https://ror.org/01fm87m50,IL,IL,Haifa,Haifa,Rambam Health Care Campus,Rambam Health Care Campus,healthcare,healthcare
1,https://ror.org/01fm87m50 -> https://ror.org/02f009v59,https://ror.org/01fm87m50,https://ror.org/02f009v59,IL,IL,Haifa,Haifa,Rambam Health Care Campus,University of Haifa,healthcare,education
