OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.8083374088790762,https://ror.org/01nvd0q76,IN,Chennai,Chettinad Health City,healthcare
1.757653429014821,https://ror.org/03755pe12,IN,Kolkata,Satyajit Ray Film and Television Institute,education
1.746849160199748,https://ror.org/02gnt4v62,IN,New Delhi,Indian Institute of Ecology and Environment,education
1.7452072740603228,https://ror.org/0160rhq33,IN,Sundargarh,Dalmia Institute of Scientific & Industrial Research,facility
1.6763820758477168,https://ror.org/00d9qf519,IN,Mumbai,Topiwala National Medical College & BYL Nair Charitable Hospital,education
1.6422634782680288,https://ror.org/02xay1410,IN,Bengaluru,Mathrusri Ramabai Ambedkar Dental College & Hospital,education
1.606828174789895,https://ror.org/000ezn412,IN,Jaipur,Sawai Man Singh Hospital,healthcare
1.604847494763919,https://ror.org/02dy9y553,IN,Bengaluru,Amrith Educational and Cultural Society,education
1.5759296082496304,https://ror.org/00y61sp67,IN,Mumbai,JSW Group (India),company
1.5648219382678707,https://ror.org/02r3nf527,IN,Mumbai,IITB-Monash Research Academy,education
1.5189140066938318,https://ror.org/00edfym28,IN,Bengaluru,Bharat Electronics (India),company
1.510440083754713,https://ror.org/02wjedj15,IN,Kozhikode,Kerala School of Mathematics,education
1.4902447802129117,https://ror.org/00bchtj94,IN,Pune,B. J. Medical College & Sassoon Hospital,education
1.4705155825509846,https://ror.org/00nw2x646,IN,Gurgaon,LG (India),company
1.4594144935932305,https://ror.org/05k8rth88,IN,Delhi,ESIC Hospital,healthcare
1.4454394718181591,https://ror.org/05tbkpd69,IN,New Delhi,All India Management Association,other
1.4346026312270113,https://ror.org/009qffz28,IN,Ranchi,Central Institute of Psychiatry,healthcare
1.4034257871954454,https://ror.org/02pxsrh16,IN,Jhunjhunūn,Singhania University,education
1.400105857956976,https://ror.org/05rz49z56,IN,Ahmedabad,Smt. N.H.L. Municipal Medical College,education
1.3822231966639078,https://ror.org/000yesh06,IN,Rāichūr,Navodaya Dental College and Hospital,education
1.379651342487146,https://ror.org/03sz2k744,IN,New Delhi,"National Law University, Delhi",education
1.3728948944796666,https://ror.org/02v8a2f42,IN,Pune,Automotive Research Association of India,facility
1.3658229588116604,https://ror.org/04twsya26,IN,Ahmedabad,B. V. Patel Pharmaceutical Education and Research Development Centre,facility
1.3534732976062847,https://ror.org/04se5tt51,IN,Bīkaner,Bikaner Technical University,education
1.3528913850084117,https://ror.org/04e5d6174,IN,New Delhi,Indian Army,government
1.3471292524686251,https://ror.org/05av4b478,IN,Hubli,Sri Dharmasthala Manjunatheshwara College of Dental Sciences & Hospital,education
1.3449491314593267,https://ror.org/00ahnj653,IN,Bengaluru,Hindustan Aeronautics Limited (India),company
1.3362001836833248,https://ror.org/02q0t9634,IN,Raipur,Chhattisgarh Kamdhenu Vishwavidyalaya,education
1.3218633395509323,https://ror.org/03n7xzj51,IN,Pilāni,Shridhar University,education
1.3120404974563362,https://ror.org/01nkqk925,IN,Lādnūn,Jain Vishva Bharati University,education
1.3120404974563362,https://ror.org/05bvvtk87,IN,Allahābād,Nehru Gram Bharti University,education
1.3017949304536367,https://ror.org/01yennm80,IN,Chennai,King Institute of Preventive Medicine and Research,facility
1.294279982972242,https://ror.org/018zase94,IN,Mumbai,All India Institute of Physical Medicine and Rehabilitation,government
1.2797765683761526,https://ror.org/053rcsq61,IN,Ghaziabad,Academy of Scientific and Innovative Research,education
1.2780987801014723,https://ror.org/00jsbh426,IN,Kolkata,South Eastern Railway,government
1.2703382521318998,https://ror.org/02bdf7k74,IN,Bijapur,BLDE University,education
1.266862336419245,https://ror.org/050b05p79,IN,Cuttack,Sriram Chandra Bhanja Medical College Hospital,education
1.2660517038544963,https://ror.org/04bj0y344,IN,Bengaluru,Dr. S.R. Chandrasekhar Institute of Speech and Hearing,nonprofit
