Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
31,https://ror.org/0003ewr82 -> https://ror.org/0003ewr82,https://ror.org/0003ewr82,https://ror.org/0003ewr82,IN,IN,Jhānsi,Jhānsi,Bundelkhand University,Bundelkhand University,education,education
2,https://ror.org/0003ewr82 -> https://ror.org/004wf8x96,https://ror.org/0003ewr82,https://ror.org/004wf8x96,IN,IN,Jhānsi,Gorakhpur,Bundelkhand University,Deen Dayal Upadhyaya Gorakhpur University,education,education
1,https://ror.org/0003ewr82 -> https://ror.org/00h4spn88,https://ror.org/0003ewr82,https://ror.org/00h4spn88,IN,IN,Jhānsi,Kottayam,Bundelkhand University,Mahatma Gandhi University,education,education
1,https://ror.org/0003ewr82 -> https://ror.org/00mvp1q86,https://ror.org/0003ewr82,https://ror.org/00mvp1q86,IN,IN,Jhānsi,Srīnagar,Bundelkhand University,Hemwati Nandan Bahuguna Garhwal University,education,education
1,https://ror.org/0003ewr82 -> https://ror.org/01hzdv945,https://ror.org/0003ewr82,https://ror.org/01hzdv945,IN,IN,Jhānsi,Meerut,Bundelkhand University,Chaudhary Charan Singh University,education,education
1,https://ror.org/0003ewr82 -> https://ror.org/01v5k4d73,https://ror.org/0003ewr82,https://ror.org/01v5k4d73,IN,IN,Jhānsi,Dehra Dūn,Bundelkhand University,Dehradun Institute of Technology University,education,education
1,https://ror.org/0003ewr82 -> https://ror.org/020n82m84,https://ror.org/0003ewr82,https://ror.org/020n82m84,IN,IN,Jhānsi,Bhopal,Bundelkhand University,AISECT University,education,education
1,https://ror.org/0003ewr82 -> https://ror.org/02v6vej93,https://ror.org/0003ewr82,https://ror.org/02v6vej93,IN,IN,Jhānsi,New Delhi,Bundelkhand University,Institute of Liver and Biliary Sciences,education,healthcare
1,https://ror.org/0003ewr82 -> https://ror.org/02w8ba206,https://ror.org/0003ewr82,https://ror.org/02w8ba206,IN,IN,Jhānsi,Greater Noida,Bundelkhand University,Galgotias University,education,education
1,https://ror.org/0003ewr82 -> https://ror.org/038dhfq97,https://ror.org/0003ewr82,https://ror.org/038dhfq97,IN,IN,Jhānsi,Noida,Bundelkhand University,Jaipuria Institute of Management,education,education
