OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.5000000071655802,https://ror.org/047ypwv36,IQ,Baghdad,Baghdad Medical City,healthcare
0.19862232200737698,https://ror.org/00sw6rd76,IQ,Baqubah,Bilad Alrafidain University College,education
0.1572442162125531,https://ror.org/024kjbt21,IQ,Dihok,Duhok Polytechnic University,education
0.02319890659988339,https://ror.org/03k9q0e81,IQ,Soran,Soran University,education
0.005195613813546394,https://ror.org/022patd17,IQ,Basra,Basrah University College of Science and Technology,education
1.1687629926140172e-05,https://ror.org/00268wk31,IQ,Erbil,University of Kurdistan Hewler,education
0.0,https://ror.org/02azpgf48,IQ,As Sulaymānīyah,American University of Iraq Sulaimani,education
-0.16984826224575428,https://ror.org/01h3hm524,IQ,Karbala,University of Ahl al-Bayt,education
-0.2361937863830044,https://ror.org/04rc8af74,IQ,Kalar District,University of Garmian,education
-0.32706064870746865,https://ror.org/01w1ehb86,IQ,Baghdad,University of Technology - Iraq,education
-0.35744269268890466,https://ror.org/02a6g3h39,IQ,Erbil,Hawler Medical University,education
-0.45510424417496986,https://ror.org/01wfhkb67,IQ,Baghdad,Iraqi University,education
-0.4675854496358409,https://ror.org/05v2p9075,IQ,Baghdad,Nahrain University,education
-0.4840294061500567,https://ror.org/05sd1pz50,IQ,Zakho,University of Zakho,education
-0.5000000071655802,https://ror.org/05m9np560,IQ,Baqubah,Al Yarmouk University College,education
-0.5131202072091078,https://ror.org/007f1da21,IQ,Baghdad,University of Baghdad,education
-0.570762647417737,https://ror.org/03m5ehy13,IQ,Baghdad,Ministry of Higher Education and Scientific Research,government
-0.6298681399442553,https://ror.org/05v9vy052,IQ,As Sulaymānīyah,Sulaimani Polytechnic University,education
-0.7418385667099802,https://ror.org/02ypa8k59,IQ,Nasiriyah,Thi Qar University,education
-0.7744881950175205,https://ror.org/02fvkg758,IQ,Baghdad,Middle Technical University,education
-0.801444831961166,https://ror.org/05s04wy35,IQ,Baghdad,Mustansiriyah University,education
-0.8037702353099572,https://ror.org/030t96b35,IQ,Erbil,Lebanese French University,education
-0.8428232148936912,https://ror.org/02124dd11,IQ,Erbil,Salahaddin University-Erbil,education
-0.8591312961857906,https://ror.org/0170edc15,IQ,Al Ḩillah,University of Babylon,education
-0.9425205993269571,https://ror.org/028h0pd91,IQ,Baghdad,University of Information Technology and Communications,education
-0.9900353548842499,https://ror.org/0449bkp65,IQ,Karbala,University of Karbala,education
-1.0584554279753178,https://ror.org/02ee2t316,IQ,Al Kūt,University of Wasit,education
-1.1305455566203455,https://ror.org/00840ea57,IQ,Basra,University of Basrah,education
-1.164285238296192,https://ror.org/01zfzax10,IQ,Tikrit,University of Tikrit,education
-1.1699157404298803,https://ror.org/039cf4q47,IQ,Mosul,University of Mosul,education
-1.1825203434212477,https://ror.org/055a6gk50,IQ,Ramadi,University of Anbar,education
-1.2362923821298162,https://ror.org/00fs9wb06,IQ,Ṟaniye,University of Raparin,education
-1.254539057097987,https://ror.org/02dwrdh81,IQ,Najaf,University of Kufa,education
-1.314713101797646,https://ror.org/01eb5yv70,IQ,Baqubah,University of Diyala,education
-1.3269928234228572,https://ror.org/05azws991,IQ,As Sulaymānīyah,Komar University of Science and Technology,education
-1.3573735864519314,https://ror.org/0257v3m41,IQ,Erbil,Catholic University in Erbil,education
-1.393414036795885,https://ror.org/03sax3264,IQ,Basrah,Southern Technical University,education
-1.4069551803048204,https://ror.org/02ewzwr87,IQ,Ad Dīwānīyah,University of Al-Qadisiyah,education
-1.4122254287358869,https://ror.org/03ytenv10,IQ,Mosul,Northern Technical University,education
-1.42281180085349,https://ror.org/03pbhyy22,IQ,Erbil,Tishk International University,education
-1.4551843350658826,https://ror.org/02pk0yz95,IQ,Baghdad,Al Mansour University College,education
-1.4597124864352815,https://ror.org/00saanr69,IQ,As Sulaymānīyah,University of Sulaymaniyah,education
-1.4675176883170846,https://ror.org/05c2btq38,IQ,Karbala,Al-Zahraa University for Women,education
-1.484040972959814,https://ror.org/02g07ds81,IQ,Dihok,University of Duhok,education
-1.4979194392743633,https://ror.org/04d2spn76,IQ,Baghdad,Al-Bayan University,education
-1.509992251135939,https://ror.org/0204z0d18,IQ,Baghdad,Alrafidain University College,education
-1.5130528446752416,https://ror.org/026dp8058,IQ,Baghdad,Baghdad College of Economic Sciences University,education
-1.5130528446752416,https://ror.org/02jz38b76,IQ,Sulaymaniyah,University of Human Development,education
-1.5130528446752416,https://ror.org/03vndx142,IQ,Baghdad,Dijlah University College,education
-1.5130528446752416,https://ror.org/05scxf493,IQ,Ramadi,Al Maaref University College,education
-1.549449745863964,https://ror.org/03hevjm30,IQ,Erbil,Cihan University-Erbil,education
-1.5527187826055227,https://ror.org/03877wr45,IQ,As Samawah,Al-Muthanna University,education
-1.6274423572798078,https://ror.org/02t6wt791,IQ,Nasiriyah,Al-Ayen University,education
-1.628440048837491,https://ror.org/04hsvhf62,IQ,Najaf,Al-Furat Al-Awsat Technical University,education
-1.629939549309297,https://ror.org/017pq0w72,IQ,Erbil,Koya University,education
-1.6437697380064895,https://ror.org/022kamm22,IQ,Baghdad,Al Mamon University College,education
-1.6572487552303568,https://ror.org/0047hkh43,IQ,Baghdad,Alsalam University College,education
-1.6572742158871083,https://ror.org/01fhw6296,IQ,Baghdad,University Of Fallujah,education
-1.8013776263163825,https://ror.org/04ch0eh11,IQ,Baghdad,Al Rasheed University College,education
-1.8386839611199968,https://ror.org/032b60f45,IQ,Samarra,University of Samarra,education
-1.8837957728019323,https://ror.org/05qxq4371,IQ,Najaf,University of Alkafeel,education
