Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
8,https://ror.org/00268wk31 -> https://ror.org/00268wk31,https://ror.org/00268wk31,https://ror.org/00268wk31,IQ,IQ,Erbil,Erbil,University of Kurdistan Hewler,University of Kurdistan Hewler,education,education
1,https://ror.org/00268wk31 -> https://ror.org/007f1da21,https://ror.org/00268wk31,https://ror.org/007f1da21,IQ,IQ,Erbil,Baghdad,University of Kurdistan Hewler,University of Baghdad,education,education
5,https://ror.org/00268wk31 -> https://ror.org/02124dd11,https://ror.org/00268wk31,https://ror.org/02124dd11,IQ,IQ,Erbil,Erbil,University of Kurdistan Hewler,Salahaddin University-Erbil,education,education
3,https://ror.org/00268wk31 -> https://ror.org/03pbhyy22,https://ror.org/00268wk31,https://ror.org/03pbhyy22,IQ,IQ,Erbil,Erbil,University of Kurdistan Hewler,Tishk International University,education,education
1,https://ror.org/007f1da21 -> https://ror.org/0047hkh43,https://ror.org/007f1da21,https://ror.org/0047hkh43,IQ,IQ,Baghdad,Baghdad,University of Baghdad,Alsalam University College,education,education
241,https://ror.org/007f1da21 -> https://ror.org/007f1da21,https://ror.org/007f1da21,https://ror.org/007f1da21,IQ,IQ,Baghdad,Baghdad,University of Baghdad,University of Baghdad,education,education
5,https://ror.org/007f1da21 -> https://ror.org/00840ea57,https://ror.org/007f1da21,https://ror.org/00840ea57,IQ,IQ,Baghdad,Basra,University of Baghdad,University of Basrah,education,education
2,https://ror.org/007f1da21 -> https://ror.org/00saanr69,https://ror.org/007f1da21,https://ror.org/00saanr69,IQ,IQ,Baghdad,As Sulaymānīyah,University of Baghdad,University of Sulaymaniyah,education,education
6,https://ror.org/007f1da21 -> https://ror.org/0170edc15,https://ror.org/007f1da21,https://ror.org/0170edc15,IQ,IQ,Baghdad,Al Ḩillah,University of Baghdad,University of Babylon,education,education
3,https://ror.org/007f1da21 -> https://ror.org/017pq0w72,https://ror.org/007f1da21,https://ror.org/017pq0w72,IQ,IQ,Baghdad,Erbil,University of Baghdad,Koya University,education,education
1,https://ror.org/007f1da21 -> https://ror.org/01eb5yv70,https://ror.org/007f1da21,https://ror.org/01eb5yv70,IQ,IQ,Baghdad,Baqubah,University of Baghdad,University of Diyala,education,education
4,https://ror.org/007f1da21 -> https://ror.org/01fhw6296,https://ror.org/007f1da21,https://ror.org/01fhw6296,IQ,IQ,Baghdad,Baghdad,University of Baghdad,University Of Fallujah,education,education
1,https://ror.org/007f1da21 -> https://ror.org/01pk8rb11,https://ror.org/007f1da21,https://ror.org/01pk8rb11,IQ,IQ,Baghdad,Kirkuk,University of Baghdad,University of Kirkuk,education,education
4,https://ror.org/007f1da21 -> https://ror.org/01w1ehb86,https://ror.org/007f1da21,https://ror.org/01w1ehb86,IQ,IQ,Baghdad,Baghdad,University of Baghdad,University of Technology - Iraq,education,education
11,https://ror.org/007f1da21 -> https://ror.org/01zfzax10,https://ror.org/007f1da21,https://ror.org/01zfzax10,IQ,IQ,Baghdad,Tikrit,University of Baghdad,University of Tikrit,education,education
6,https://ror.org/007f1da21 -> https://ror.org/0204z0d18,https://ror.org/007f1da21,https://ror.org/0204z0d18,IQ,IQ,Baghdad,Baghdad,University of Baghdad,Alrafidain University College,education,education
2,https://ror.org/007f1da21 -> https://ror.org/02124dd11,https://ror.org/007f1da21,https://ror.org/02124dd11,IQ,IQ,Baghdad,Erbil,University of Baghdad,Salahaddin University-Erbil,education,education
1,https://ror.org/007f1da21 -> https://ror.org/022kamm22,https://ror.org/007f1da21,https://ror.org/022kamm22,IQ,IQ,Baghdad,Baghdad,University of Baghdad,Al Mamon University College,education,education
1,https://ror.org/007f1da21 -> https://ror.org/026dp8058,https://ror.org/007f1da21,https://ror.org/026dp8058,IQ,IQ,Baghdad,Baghdad,University of Baghdad,Baghdad College of Economic Sciences University,education,education
1,https://ror.org/007f1da21 -> https://ror.org/028h0pd91,https://ror.org/007f1da21,https://ror.org/028h0pd91,IQ,IQ,Baghdad,Baghdad,University of Baghdad,University of Information Technology and Communications,education,education
8,https://ror.org/007f1da21 -> https://ror.org/02dwrdh81,https://ror.org/007f1da21,https://ror.org/02dwrdh81,IQ,IQ,Baghdad,Najaf,University of Baghdad,University of Kufa,education,education
3,https://ror.org/007f1da21 -> https://ror.org/02ee2t316,https://ror.org/007f1da21,https://ror.org/02ee2t316,IQ,IQ,Baghdad,Al Kūt,University of Baghdad,University of Wasit,education,education
4,https://ror.org/007f1da21 -> https://ror.org/02ewzwr87,https://ror.org/007f1da21,https://ror.org/02ewzwr87,IQ,IQ,Baghdad,Ad Dīwānīyah,University of Baghdad,University of Al-Qadisiyah,education,education
2,https://ror.org/007f1da21 -> https://ror.org/02fvkg758,https://ror.org/007f1da21,https://ror.org/02fvkg758,IQ,IQ,Baghdad,Baghdad,University of Baghdad,Middle Technical University,education,education
2,https://ror.org/007f1da21 -> https://ror.org/02g07ds81,https://ror.org/007f1da21,https://ror.org/02g07ds81,IQ,IQ,Baghdad,Dihok,University of Baghdad,University of Duhok,education,education
1,https://ror.org/007f1da21 -> https://ror.org/02jz38b76,https://ror.org/007f1da21,https://ror.org/02jz38b76,IQ,IQ,Baghdad,Sulaymaniyah,University of Baghdad,University of Human Development,education,education
2,https://ror.org/007f1da21 -> https://ror.org/02pk0yz95,https://ror.org/007f1da21,https://ror.org/02pk0yz95,IQ,IQ,Baghdad,Baghdad,University of Baghdad,Al Mansour University College,education,education
1,https://ror.org/007f1da21 -> https://ror.org/02t6wt791,https://ror.org/007f1da21,https://ror.org/02t6wt791,IQ,IQ,Baghdad,Nasiriyah,University of Baghdad,Al-Ayen University,education,education
2,https://ror.org/007f1da21 -> https://ror.org/032b60f45,https://ror.org/007f1da21,https://ror.org/032b60f45,IQ,IQ,Baghdad,Samarra,University of Baghdad,University of Samarra,education,education
2,https://ror.org/007f1da21 -> https://ror.org/03877wr45,https://ror.org/007f1da21,https://ror.org/03877wr45,IQ,IQ,Baghdad,As Samawah,University of Baghdad,Al-Muthanna University,education,education
9,https://ror.org/007f1da21 -> https://ror.org/039cf4q47,https://ror.org/007f1da21,https://ror.org/039cf4q47,IQ,IQ,Baghdad,Mosul,University of Baghdad,University of Mosul,education,education
2,https://ror.org/007f1da21 -> https://ror.org/03hevjm30,https://ror.org/007f1da21,https://ror.org/03hevjm30,IQ,IQ,Baghdad,Erbil,University of Baghdad,Cihan University-Erbil,education,education
1,https://ror.org/007f1da21 -> https://ror.org/03m5ehy13,https://ror.org/007f1da21,https://ror.org/03m5ehy13,IQ,IQ,Baghdad,Baghdad,University of Baghdad,Ministry of Higher Education and Scientific Research,education,government
2,https://ror.org/007f1da21 -> https://ror.org/03pbhyy22,https://ror.org/007f1da21,https://ror.org/03pbhyy22,IQ,IQ,Baghdad,Erbil,University of Baghdad,Tishk International University,education,education
1,https://ror.org/007f1da21 -> https://ror.org/03sax3264,https://ror.org/007f1da21,https://ror.org/03sax3264,IQ,IQ,Baghdad,Basrah,University of Baghdad,Southern Technical University,education,education
1,https://ror.org/007f1da21 -> https://ror.org/03vndx142,https://ror.org/007f1da21,https://ror.org/03vndx142,IQ,IQ,Baghdad,Baghdad,University of Baghdad,Dijlah University College,education,education
1,https://ror.org/007f1da21 -> https://ror.org/03ytenv10,https://ror.org/007f1da21,https://ror.org/03ytenv10,IQ,IQ,Baghdad,Mosul,University of Baghdad,Northern Technical University,education,education
4,https://ror.org/007f1da21 -> https://ror.org/0449bkp65,https://ror.org/007f1da21,https://ror.org/0449bkp65,IQ,IQ,Baghdad,Karbala,University of Baghdad,University of Karbala,education,education
2,https://ror.org/007f1da21 -> https://ror.org/04d2spn76,https://ror.org/007f1da21,https://ror.org/04d2spn76,IQ,IQ,Baghdad,Baghdad,University of Baghdad,Al-Bayan University,education,education
3,https://ror.org/007f1da21 -> https://ror.org/04hsvhf62,https://ror.org/007f1da21,https://ror.org/04hsvhf62,IQ,IQ,Baghdad,Najaf,University of Baghdad,Al-Furat Al-Awsat Technical University,education,education
12,https://ror.org/007f1da21 -> https://ror.org/055a6gk50,https://ror.org/007f1da21,https://ror.org/055a6gk50,IQ,IQ,Baghdad,Ramadi,University of Baghdad,University of Anbar,education,education
1,https://ror.org/007f1da21 -> https://ror.org/05qxq4371,https://ror.org/007f1da21,https://ror.org/05qxq4371,IQ,IQ,Baghdad,Najaf,University of Baghdad,University of Alkafeel,education,education
34,https://ror.org/007f1da21 -> https://ror.org/05s04wy35,https://ror.org/007f1da21,https://ror.org/05s04wy35,IQ,IQ,Baghdad,Baghdad,University of Baghdad,Mustansiriyah University,education,education
1,https://ror.org/007f1da21 -> https://ror.org/05scxf493,https://ror.org/007f1da21,https://ror.org/05scxf493,IQ,IQ,Baghdad,Ramadi,University of Baghdad,Al Maaref University College,education,education
