OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.875186265398088,https://ror.org/00hvbx079,IR,Tehran,School of International Relations,education
0.45246217301588865,https://ror.org/03mwgfy56,IR,Tehran,Tarbiat Modares University,education
0.42022442087338296,https://ror.org/03eykm948,IR,Bū’īn Zahrā,"Islamic Azad University, Buin-Zahra",education
0.322521809104533,https://ror.org/01a79sw46,IR,Tehran,Iran Polymer and Petrochemical Institute,education
0.29909996428497176,https://ror.org/024c2fq17,IR,Tehran,Sharif University of Technology,education
0.264665039096309,https://ror.org/03ckh6215,IR,Tehran,National Institute of Genetic Engineering and Biotechnology,facility
0.2294215602326121,https://ror.org/047yd9004,IR,Tehran,Institute for Color Science and Technology,facility
0.21146835599378339,https://ror.org/02yerkk86,IR,Orūmīyeh,Afagh Higher Education Institute,education
0.17972159708927027,https://ror.org/0108cpj15,IR,Tehran,High Institute for Education and Research in Transfusion Medicine,education
0.1270118233298954,https://ror.org/03rk5jj58,IR,Tehran,International Institute of Earthquake Engineering and Seismology,facility
0.12437353021563516,https://ror.org/05jme6y84,IR,Tehran,University of Social Welfare and Rehabilitation Sciences,education
0.12279172480031181,https://ror.org/02p3y5t84,IR,Tehran,Materials and Energy Research Center,facility
0.11998077543102457,https://ror.org/05vf56z40,IR,Tehran,University of Tehran,education
0.06219107647587227,https://ror.org/01c4pz451,IR,Tehran,Tehran University of Medical Sciences,education
0.02921768818643879,https://ror.org/04gzbav43,IR,Tehran,Amirkabir University of Technology,education
0.023944674024911898,https://ror.org/016tr2g85,IR,Tehran,Khatam University,education
0.022829959881944403,https://ror.org/020sjp894,IR,Tehran,Chemistry and Chemical Engineering Research Center of Iran,facility
0.0007361068073109877,https://ror.org/000m4se28,IR,Tehran,Aerospace Research Institute,facility
0.0,https://ror.org/011jgwj89,IR,Tehran,Iranian Academy of Medical Sciences,education
-0.009122000445367252,https://ror.org/0378cd528,IR,Tehran,Institute for Cognitive Science Studies,facility
-0.014763670195532158,https://ror.org/00bzsst90,IR,Zanjān,Institute for Advanced Studies in Basic Sciences,education
-0.022741060422928106,https://ror.org/02hyahm52,IR,Tehran,University of Judicial Sciences and Administrative Services,education
-0.027271616592916666,https://ror.org/01jw2p796,IR,Tehran,Iran University of Science and Technology,education
-0.05158820803134028,https://ror.org/02cc4gc68,IR,Tehran,Allameh Tabataba'i University,education
-0.1004133188036931,https://ror.org/0433abe34,IR,Tehran,K.N.Toosi University of Technology,education
-0.10717425330520025,https://ror.org/00wqczk30,IR,Tehran,Pasteur Institute of Iran,facility
-0.1492958188856488,https://ror.org/03w04rv71,IR,Tehran,Iran University of Medical Sciences,education
-0.1554862029241385,https://ror.org/044tdw637,IR,Qom,Mofid University,education
-0.16645993022989086,https://ror.org/0091vmj44,IR,Tehran,Shahid Beheshti University,education
-0.17140731873214268,https://ror.org/03aqgee13,IR,Isfahan,Isfahan University of Art,education
-0.21177252480235143,https://ror.org/0043ezw98,IR,Tehran,Malek Ashtar University of Technology,education
-0.21470681651560672,https://ror.org/00kj4zk54,IR,Tabriz,Tabriz Islamic Arts University,education
-0.2286648793962016,https://ror.org/04sfka033,IR,Mashhad,Mashhad University of Medical Sciences,education
-0.27339088808849843,https://ror.org/01ysgtb61,IR,Tehran,Baqiyatallah University of Medical Sciences,education
-0.2741629654424383,https://ror.org/034m2b326,IR,Tehran,Shahid Beheshti University of Medical Sciences,education
-0.2911498881482477,https://ror.org/04esb6v42,IR,Tehran,Imam Hossein University,education
-0.31576816867692414,https://ror.org/02ggnbj54,IR,Tehran,Tehran University of Art,education
-0.32850152652727554,https://ror.org/017zx9g19,IR,Tehran,Iranian Research Organization for Science and Technology,facility
