Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/000m4se28 -> https://ror.org/00af3sa43,https://ror.org/000m4se28,https://ror.org/00af3sa43,IR,IR,Tehran,Isfahan,Aerospace Research Institute,Isfahan University of Technology,facility,education
1,https://ror.org/000m4se28 -> https://ror.org/01kzn7k21,https://ror.org/000m4se28,https://ror.org/01kzn7k21,IR,IR,Tehran,Tehran,Aerospace Research Institute,"Islamic Azad University, Tehran",facility,education
2,https://ror.org/0037djy87 -> https://ror.org/0037djy87,https://ror.org/0037djy87,https://ror.org/0037djy87,IR,IR,Marāgheh,Marāgheh,University of Maragheh,University of Maragheh,education,education
4,https://ror.org/0037djy87 -> https://ror.org/01kzn7k21,https://ror.org/0037djy87,https://ror.org/01kzn7k21,IR,IR,Marāgheh,Tehran,University of Maragheh,"Islamic Azad University, Tehran",education,education
2,https://ror.org/0037djy87 -> https://ror.org/01papkj44,https://ror.org/0037djy87,https://ror.org/01papkj44,IR,IR,Marāgheh,Tabriz,University of Maragheh,University of Tabriz,education,education
1,https://ror.org/0037djy87 -> https://ror.org/031699d98,https://ror.org/0037djy87,https://ror.org/031699d98,IR,IR,Marāgheh,Tehran,University of Maragheh,Payame Noor University,education,education
1,https://ror.org/0037djy87 -> https://ror.org/032fk0x53,https://ror.org/0037djy87,https://ror.org/032fk0x53,IR,IR,Marāgheh,Orūmīyeh,University of Maragheh,Urmia University,education,education
1,https://ror.org/0037djy87 -> https://ror.org/04k89yk85,https://ror.org/0037djy87,https://ror.org/04k89yk85,IR,IR,Marāgheh,Sanandij,University of Maragheh,University of Kurdistan,education,education
7,https://ror.org/003jjq839 -> https://ror.org/003jjq839,https://ror.org/003jjq839,https://ror.org/003jjq839,IR,IR,Bandar Abbas,Bandar Abbas,Hormozgan University,Hormozgan University,education,education
1,https://ror.org/003jjq839 -> https://ror.org/00g6ka752,https://ror.org/003jjq839,https://ror.org/00g6ka752,IR,IR,Bandar Abbas,Mashhad,Hormozgan University,Ferdowsi University of Mashhad,education,education
1,https://ror.org/003jjq839 -> https://ror.org/01bdr6121,https://ror.org/003jjq839,https://ror.org/01bdr6121,IR,IR,Bandar Abbas,Rasht,Hormozgan University,University of Guilan,education,education
1,https://ror.org/003jjq839 -> https://ror.org/01jw2p796,https://ror.org/003jjq839,https://ror.org/01jw2p796,IR,IR,Bandar Abbas,Tehran,Hormozgan University,Iran University of Science and Technology,education,education
1,https://ror.org/003jjq839 -> https://ror.org/01kzn7k21,https://ror.org/003jjq839,https://ror.org/01kzn7k21,IR,IR,Bandar Abbas,Tehran,Hormozgan University,"Islamic Azad University, Tehran",education,education
1,https://ror.org/003jjq839 -> https://ror.org/02ynb0474,https://ror.org/003jjq839,https://ror.org/02ynb0474,IR,IR,Bandar Abbas,Kermanshah,Hormozgan University,Razi University,education,education
1,https://ror.org/003jjq839 -> https://ror.org/031699d98,https://ror.org/003jjq839,https://ror.org/031699d98,IR,IR,Bandar Abbas,Tehran,Hormozgan University,Payame Noor University,education,education
1,https://ror.org/003jjq839 -> https://ror.org/035t7rn63,https://ror.org/003jjq839,https://ror.org/035t7rn63,IR,IR,Bandar Abbas,Khorramabad,Hormozgan University,Lorestan University of Medical Sciences,education,education
1,https://ror.org/003jjq839 -> https://ror.org/03d9mz263,https://ror.org/003jjq839,https://ror.org/03d9mz263,IR,IR,Bandar Abbas,Zabol,Hormozgan University,Zabol University,education,education
1,https://ror.org/003jjq839 -> https://ror.org/048wxdk46,https://ror.org/003jjq839,https://ror.org/048wxdk46,IR,IR,Bandar Abbas,Khorramshahr,Hormozgan University,Khorramshahr University of Marine Science and Technology,education,education
1,https://ror.org/003jjq839 -> https://ror.org/04bz0e642,https://ror.org/003jjq839,https://ror.org/04bz0e642,IR,IR,Bandar Abbas,Isfahan,Hormozgan University,Sheikh Bahaei University,education,education
1,https://ror.org/003jjq839 -> https://ror.org/04zn42r77,https://ror.org/003jjq839,https://ror.org/04zn42r77,IR,IR,Bandar Abbas,Kerman,Hormozgan University,Shahid Bahonar University of Kerman,education,education
1,https://ror.org/003jjq839 -> https://ror.org/05fp9g671,https://ror.org/003jjq839,https://ror.org/05fp9g671,IR,IR,Bandar Abbas,Bābolsar,Hormozgan University,University of Mazandaran,education,education
1,https://ror.org/0043ezw98 -> https://ror.org/0043ezw98,https://ror.org/0043ezw98,https://ror.org/0043ezw98,IR,IR,Tehran,Tehran,Malek Ashtar University of Technology,Malek Ashtar University of Technology,education,education
1,https://ror.org/0043ezw98 -> https://ror.org/0091vmj44,https://ror.org/0043ezw98,https://ror.org/0091vmj44,IR,IR,Tehran,Tehran,Malek Ashtar University of Technology,Shahid Beheshti University,education,education
2,https://ror.org/0043ezw98 -> https://ror.org/00af3sa43,https://ror.org/0043ezw98,https://ror.org/00af3sa43,IR,IR,Tehran,Isfahan,Malek Ashtar University of Technology,Isfahan University of Technology,education,education
1,https://ror.org/0043ezw98 -> https://ror.org/00g6ka752,https://ror.org/0043ezw98,https://ror.org/00g6ka752,IR,IR,Tehran,Mashhad,Malek Ashtar University of Technology,Ferdowsi University of Mashhad,education,education
