OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
2.1562231131990427e-10,https://ror.org/0042wf948,IS,Hólar,Hólar University College,education
-1.0000000021011934,https://ror.org/01db6h964,IS,Reykjavik,University of Iceland,education
-1.2078431393720828,https://ror.org/05d2kyx68,IS,Reykjavik,Reykjavík University,education
-1.5454545475999617,https://ror.org/00xpsqk75,IS,Reykjavík,Iceland University of the Arts,education
-1.6431372570149525,https://ror.org/01gnd8r41,IS,Akureyri,University of Akureyri,education
-2.0000000021778606,https://ror.org/01v6k8e31,IS,Reykjavík,Matís (Iceland),company
-2.0000000021778606,https://ror.org/02c8sqt04,IS,Reykjavík,Marine and Freshwater Research Institute,facility
-2.0000000021778606,https://ror.org/035s3f323,IS,Borgarnes,Agricultural University of Iceland,education
-2.0000000021778606,https://ror.org/051snsd81,IS,Kopavogur,Icelandic Heart Association,nonprofit
-2.0000000021778606,https://ror.org/0575pmh72,IS,Reykjavik,Reykjavík Energy (Iceland),company
-2.0000000022555375,https://ror.org/0028r9r35,IS,Akureyri,Akureyri Hospital,healthcare
-2.0000000022555375,https://ror.org/008gn7430,IS,Reykjavík,Environment Agency of Iceland,other
-2.0000000022555375,https://ror.org/02hj34779,IS,Reykjavík,Icelandic Meteorological Office,other
-2.0000000022555375,https://ror.org/04dzdm737,IS,Reykjavík,deCODE Genetics (Iceland),company
-2.160784315874745,https://ror.org/049m34h22,IS,Borgarnes,Bifröst University,education
-2.2727272749262766,https://ror.org/011k7k191,IS,Reykjavik,National University Hospital of Iceland,healthcare
