Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/0042wf948 -> https://ror.org/01db6h964,https://ror.org/0042wf948,https://ror.org/01db6h964,IS,IS,Hólar,Reykjavik,Hólar University College,University of Iceland,education,education
1,https://ror.org/00xpsqk75 -> https://ror.org/00xpsqk75,https://ror.org/00xpsqk75,https://ror.org/00xpsqk75,IS,IS,Reykjavík,Reykjavík,Iceland University of the Arts,Iceland University of the Arts,education,education
1,https://ror.org/00xpsqk75 -> https://ror.org/011k7k191,https://ror.org/00xpsqk75,https://ror.org/011k7k191,IS,IS,Reykjavík,Reykjavik,Iceland University of the Arts,National University Hospital of Iceland,education,healthcare
1,https://ror.org/00xpsqk75 -> https://ror.org/01db6h964,https://ror.org/00xpsqk75,https://ror.org/01db6h964,IS,IS,Reykjavík,Reykjavik,Iceland University of the Arts,University of Iceland,education,education
1,https://ror.org/01db6h964 -> https://ror.org/0028r9r35,https://ror.org/01db6h964,https://ror.org/0028r9r35,IS,IS,Reykjavik,Akureyri,University of Iceland,Akureyri Hospital,education,healthcare
1,https://ror.org/01db6h964 -> https://ror.org/008gn7430,https://ror.org/01db6h964,https://ror.org/008gn7430,IS,IS,Reykjavik,Reykjavík,University of Iceland,Environment Agency of Iceland,education,other
4,https://ror.org/01db6h964 -> https://ror.org/00xpsqk75,https://ror.org/01db6h964,https://ror.org/00xpsqk75,IS,IS,Reykjavik,Reykjavík,University of Iceland,Iceland University of the Arts,education,education
1,https://ror.org/01db6h964 -> https://ror.org/011k7k191,https://ror.org/01db6h964,https://ror.org/011k7k191,IS,IS,Reykjavik,Reykjavik,University of Iceland,National University Hospital of Iceland,education,healthcare
222,https://ror.org/01db6h964 -> https://ror.org/01db6h964,https://ror.org/01db6h964,https://ror.org/01db6h964,IS,IS,Reykjavik,Reykjavik,University of Iceland,University of Iceland,education,education
13,https://ror.org/01db6h964 -> https://ror.org/01gnd8r41,https://ror.org/01db6h964,https://ror.org/01gnd8r41,IS,IS,Reykjavik,Akureyri,University of Iceland,University of Akureyri,education,education
