Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
14,https://ror.org/0001fmy77 -> https://ror.org/0001fmy77,https://ror.org/0001fmy77,https://ror.org/0001fmy77,IT,IT,Macerata,Macerata,University of Macerata,University of Macerata,education,education
2,https://ror.org/0001fmy77 -> https://ror.org/01111rn36,https://ror.org/0001fmy77,https://ror.org/01111rn36,IT,IT,Macerata,Bologna,University of Macerata,University of Bologna,education,education
1,https://ror.org/0001fmy77 -> https://ror.org/01tevnk56,https://ror.org/0001fmy77,https://ror.org/01tevnk56,IT,IT,Macerata,Siena,University of Macerata,University of Siena,education,education
2,https://ror.org/0001fmy77 -> https://ror.org/01yetye73,https://ror.org/0001fmy77,https://ror.org/01yetye73,IT,IT,Macerata,Teramo,University of Macerata,University of Teramo,education,education
1,https://ror.org/0001fmy77 -> https://ror.org/039bp8j42,https://ror.org/0001fmy77,https://ror.org/039bp8j42,IT,IT,Macerata,Verona,University of Macerata,University of Verona,education,education
3,https://ror.org/0001fmy77 -> https://ror.org/03ad39j10,https://ror.org/0001fmy77,https://ror.org/03ad39j10,IT,IT,Macerata,Pisa,University of Macerata,University of Pisa,education,education
1,https://ror.org/0001fmy77 -> https://ror.org/04jr1s763,https://ror.org/0001fmy77,https://ror.org/04jr1s763,IT,IT,Macerata,Florence,University of Macerata,University of Florence,education,education
1,https://ror.org/0001fmy77 -> https://ror.org/05290cv24,https://ror.org/0001fmy77,https://ror.org/05290cv24,IT,IT,Macerata,Naples,University of Macerata,University of Naples Federico II,education,education
4,https://ror.org/0001fmy77 -> https://ror.org/05vf0dg29,https://ror.org/0001fmy77,https://ror.org/05vf0dg29,IT,IT,Macerata,Rome,University of Macerata,Roma Tre University,education,education
29,https://ror.org/0005w8d69 -> https://ror.org/0005w8d69,https://ror.org/0005w8d69,https://ror.org/0005w8d69,IT,IT,Camerino,Camerino,Università di Camerino,Università di Camerino,education,education
1,https://ror.org/0005w8d69 -> https://ror.org/00x69rs40,https://ror.org/0005w8d69,https://ror.org/00x69rs40,IT,IT,Camerino,Ancona,Università di Camerino,Marche Polytechnic University,education,education
1,https://ror.org/0005w8d69 -> https://ror.org/01111rn36,https://ror.org/0005w8d69,https://ror.org/01111rn36,IT,IT,Camerino,Bologna,Università di Camerino,University of Bologna,education,education
1,https://ror.org/0005w8d69 -> https://ror.org/01j9p1r26,https://ror.org/0005w8d69,https://ror.org/01j9p1r26,IT,IT,Camerino,L'Aquila,Università di Camerino,University of L'Aquila,education,education
1,https://ror.org/0005w8d69 -> https://ror.org/02p77k626,https://ror.org/0005w8d69,https://ror.org/02p77k626,IT,IT,Camerino,Rome,Università di Camerino,University of Rome Tor Vergata,education,education
1,https://ror.org/0005w8d69 -> https://ror.org/03c44v465,https://ror.org/0005w8d69,https://ror.org/03c44v465,IT,IT,Camerino,Bari,Università di Camerino,Polytechnic University of Bari,education,education
1,https://ror.org/000bcd992 -> https://ror.org/003109y17,https://ror.org/000bcd992,https://ror.org/003109y17,IT,IT,Rome,Cagliari,Pontificio Istituto di Archeologia Cristiana,University of Cagliari,other,education
1,https://ror.org/000bcd992 -> https://ror.org/03h7r5v07,https://ror.org/000bcd992,https://ror.org/03h7r5v07,IT,IT,Rome,Milan,Pontificio Istituto di Archeologia Cristiana,Università Cattolica del Sacro Cuore,other,education
1,https://ror.org/0018xw886 -> https://ror.org/04jr1s763,https://ror.org/0018xw886,https://ror.org/04jr1s763,IT,IT,Modena,Florence,Azienda Unita' Sanitaria Locale Di Modena,University of Florence,government,education
514,https://ror.org/00240q980 -> https://ror.org/00240q980,https://ror.org/00240q980,https://ror.org/00240q980,IT,IT,Padua,Padua,University of Padua,University of Padua,education,education
2,https://ror.org/00240q980 -> https://ror.org/003109y17,https://ror.org/00240q980,https://ror.org/003109y17,IT,IT,Padua,Cagliari,University of Padua,University of Cagliari,education,education
1,https://ror.org/00240q980 -> https://ror.org/0048jxt15,https://ror.org/00240q980,https://ror.org/0048jxt15,IT,IT,Padua,Padua,University of Padua,Veneto Institute of Molecular Medicine Home,education,facility
3,https://ror.org/00240q980 -> https://ror.org/005ta0471,https://ror.org/00240q980,https://ror.org/005ta0471,IT,IT,Padua,Rome,University of Padua,Istituto Nazionale di Fisica Nucleare,education,government
2,https://ror.org/00240q980 -> https://ror.org/00fzzvj42,https://ror.org/00240q980,https://ror.org/00fzzvj42,IT,IT,Padua,Padova,University of Padua,Veneto Nanotech (Italy),education,company
1,https://ror.org/00240q980 -> https://ror.org/00qjgza05,https://ror.org/00240q980,https://ror.org/00qjgza05,IT,IT,Padua,Chieti,University of Padua,University of Chieti-Pescara,education,education
1,https://ror.org/00240q980 -> https://ror.org/00s409261,https://ror.org/00240q980,https://ror.org/00s409261,IT,IT,Padua,Varese,University of Padua,University of Insubria,education,education
6,https://ror.org/00240q980 -> https://ror.org/00s6t1f81,https://ror.org/00240q980,https://ror.org/00s6t1f81,IT,IT,Padua,Pavia,University of Padua,University of Pavia,education,education
2,https://ror.org/00240q980 -> https://ror.org/00sm8k518,https://ror.org/00240q980,https://ror.org/00sm8k518,IT,IT,Padua,Verona,University of Padua,Azienda Ospedaliera Universitaria Integrata Verona,education,healthcare
5,https://ror.org/00240q980 -> https://ror.org/00wjc7c48,https://ror.org/00240q980,https://ror.org/00wjc7c48,IT,IT,Padua,Milan,University of Padua,University of Milan,education,education
5,https://ror.org/00240q980 -> https://ror.org/00x27da85,https://ror.org/00240q980,https://ror.org/00x27da85,IT,IT,Padua,Perugia,University of Padua,University of Perugia,education,education
2,https://ror.org/00240q980 -> https://ror.org/0107c5v14,https://ror.org/00240q980,https://ror.org/0107c5v14,IT,IT,Padua,Genoa,University of Padua,University of Genoa,education,education
19,https://ror.org/00240q980 -> https://ror.org/01111rn36,https://ror.org/00240q980,https://ror.org/01111rn36,IT,IT,Padua,Bologna,University of Padua,University of Bologna,education,education
4,https://ror.org/00240q980 -> https://ror.org/012ajp527,https://ror.org/00240q980,https://ror.org/012ajp527,IT,IT,Padua,Bolzano,University of Padua,Free University of Bozen-Bolzano,education,education
2,https://ror.org/00240q980 -> https://ror.org/01j9p1r26,https://ror.org/00240q980,https://ror.org/01j9p1r26,IT,IT,Padua,L'Aquila,University of Padua,University of L'Aquila,education,education
