Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
3,https://ror.org/0005w8d69 -> https://ror.org/0005w8d69,https://ror.org/0005w8d69,https://ror.org/0005w8d69,IT,IT,Camerino,Camerino,Università di Camerino,Università di Camerino,education,education
39,https://ror.org/00240q980 -> https://ror.org/00240q980,https://ror.org/00240q980,https://ror.org/00240q980,IT,IT,Padua,Padua,University of Padua,University of Padua,education,education
10,https://ror.org/003109y17 -> https://ror.org/003109y17,https://ror.org/003109y17,https://ror.org/003109y17,IT,IT,Cagliari,Cagliari,University of Cagliari,University of Cagliari,education,education
1,https://ror.org/005ta0471 -> https://ror.org/00x27da85,https://ror.org/005ta0471,https://ror.org/00x27da85,IT,IT,Rome,Perugia,Istituto Nazionale di Fisica Nucleare,University of Perugia,government,education
1,https://ror.org/005ta0471 -> https://ror.org/0192m2k53,https://ror.org/005ta0471,https://ror.org/0192m2k53,IT,IT,Rome,Fisciano,Istituto Nazionale di Fisica Nucleare,University of Salerno,government,education
1,https://ror.org/005ta0471 -> https://ror.org/02be6w209,https://ror.org/005ta0471,https://ror.org/02be6w209,IT,IT,Rome,Rome,Istituto Nazionale di Fisica Nucleare,Sapienza University of Rome,government,education
1,https://ror.org/005ta0471 -> https://ror.org/03v8v5y65,https://ror.org/005ta0471,https://ror.org/03v8v5y65,IT,IT,Rome,Rome,Istituto Nazionale di Fisica Nucleare,Consorzio Interuniversitario Nazionale per l'Informatica,government,facility
1,https://ror.org/005ta0471 -> https://ror.org/04yzxz566,https://ror.org/005ta0471,https://ror.org/04yzxz566,IT,IT,Rome,Venice,Istituto Nazionale di Fisica Nucleare,Ca' Foscari University of Venice,government,education
17,https://ror.org/00bgk9508 -> https://ror.org/00bgk9508,https://ror.org/00bgk9508,https://ror.org/00bgk9508,IT,IT,Turin,Turin,Polytechnic University of Turin,Polytechnic University of Turin,education,education
1,https://ror.org/00bgk9508 -> https://ror.org/01nffqt88,https://ror.org/00bgk9508,https://ror.org/01nffqt88,IT,IT,Turin,Milan,Polytechnic University of Turin,Politecnico di Milano,education,education
1,https://ror.org/00bgk9508 -> https://ror.org/01ynf4891,https://ror.org/00bgk9508,https://ror.org/01ynf4891,IT,IT,Turin,Milan,Polytechnic University of Turin,University of Milano-Bicocca,education,education
1,https://ror.org/00bgk9508 -> https://ror.org/03c44v465,https://ror.org/00bgk9508,https://ror.org/03c44v465,IT,IT,Turin,Bari,Polytechnic University of Turin,Polytechnic University of Bari,education,education
1,https://ror.org/00bgk9508 -> https://ror.org/04zaypm56,https://ror.org/00bgk9508,https://ror.org/04zaypm56,IT,IT,Turin,Rome,Polytechnic University of Turin,National Research Council,education,nonprofit
1,https://ror.org/00s409261 -> https://ror.org/012ajp527,https://ror.org/00s409261,https://ror.org/012ajp527,IT,IT,Varese,Bolzano,University of Insubria,Free University of Bozen-Bolzano,education,education
1,https://ror.org/00s6t1f81 -> https://ror.org/00240q980,https://ror.org/00s6t1f81,https://ror.org/00240q980,IT,IT,Pavia,Padua,University of Pavia,University of Padua,education,education
18,https://ror.org/00s6t1f81 -> https://ror.org/00s6t1f81,https://ror.org/00s6t1f81,https://ror.org/00s6t1f81,IT,IT,Pavia,Pavia,University of Pavia,University of Pavia,education,education
7,https://ror.org/00wjc7c48 -> https://ror.org/00wjc7c48,https://ror.org/00wjc7c48,https://ror.org/00wjc7c48,IT,IT,Milan,Milan,University of Milan,University of Milan,education,education
1,https://ror.org/00wjc7c48 -> https://ror.org/012ajp527,https://ror.org/00wjc7c48,https://ror.org/012ajp527,IT,IT,Milan,Bolzano,University of Milan,Free University of Bozen-Bolzano,education,education
1,https://ror.org/00wjc7c48 -> https://ror.org/02k7wn190,https://ror.org/00wjc7c48,https://ror.org/02k7wn190,IT,IT,Milan,Parma,University of Milan,University of Parma,education,education
4,https://ror.org/00x27da85 -> https://ror.org/00x27da85,https://ror.org/00x27da85,https://ror.org/00x27da85,IT,IT,Perugia,Perugia,University of Perugia,University of Perugia,education,education
7,https://ror.org/00x69rs40 -> https://ror.org/00x69rs40,https://ror.org/00x69rs40,https://ror.org/00x69rs40,IT,IT,Ancona,Ancona,Marche Polytechnic University,Marche Polytechnic University,education,education
1,https://ror.org/0107c5v14 -> https://ror.org/00wjc7c48,https://ror.org/0107c5v14,https://ror.org/00wjc7c48,IT,IT,Genoa,Milan,University of Genoa,University of Milan,education,education
2,https://ror.org/0107c5v14 -> https://ror.org/0107c5v14,https://ror.org/0107c5v14,https://ror.org/0107c5v14,IT,IT,Genoa,Genoa,University of Genoa,University of Genoa,education,education
23,https://ror.org/01111rn36 -> https://ror.org/01111rn36,https://ror.org/01111rn36,https://ror.org/01111rn36,IT,IT,Bologna,Bologna,University of Bologna,University of Bologna,education,education
1,https://ror.org/01111rn36 -> https://ror.org/02q2d2610,https://ror.org/01111rn36,https://ror.org/02q2d2610,IT,IT,Bologna,Brescia,University of Bologna,University of Brescia,education,education
1,https://ror.org/01111rn36 -> https://ror.org/03ad39j10,https://ror.org/01111rn36,https://ror.org/03ad39j10,IT,IT,Bologna,Pisa,University of Bologna,University of Pisa,education,education
6,https://ror.org/012ajp527 -> https://ror.org/012ajp527,https://ror.org/012ajp527,https://ror.org/012ajp527,IT,IT,Bolzano,Bolzano,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,education,education
19,https://ror.org/0192m2k53 -> https://ror.org/0192m2k53,https://ror.org/0192m2k53,https://ror.org/0192m2k53,IT,IT,Fisciano,Fisciano,University of Salerno,University of Salerno,education,education
1,https://ror.org/0192m2k53 -> https://ror.org/04nxkaq16,https://ror.org/0192m2k53,https://ror.org/04nxkaq16,IT,IT,Fisciano,Cassino,University of Salerno,University of Cassino and Southern Lazio,education,education
1,https://ror.org/01j9p1r26 -> https://ror.org/0005w8d69,https://ror.org/01j9p1r26,https://ror.org/0005w8d69,IT,IT,L'Aquila,Camerino,University of L'Aquila,Università di Camerino,education,education
2,https://ror.org/01j9p1r26 -> https://ror.org/005ta0471,https://ror.org/01j9p1r26,https://ror.org/005ta0471,IT,IT,L'Aquila,Rome,University of L'Aquila,Istituto Nazionale di Fisica Nucleare,education,government
18,https://ror.org/01j9p1r26 -> https://ror.org/01j9p1r26,https://ror.org/01j9p1r26,https://ror.org/01j9p1r26,IT,IT,L'Aquila,L'Aquila,University of L'Aquila,University of L'Aquila,education,education
1,https://ror.org/01nffqt88 -> https://ror.org/005ta0471,https://ror.org/01nffqt88,https://ror.org/005ta0471,IT,IT,Milan,Rome,Politecnico di Milano,Istituto Nazionale di Fisica Nucleare,education,government
130,https://ror.org/01nffqt88 -> https://ror.org/01nffqt88,https://ror.org/01nffqt88,https://ror.org/01nffqt88,IT,IT,Milan,Milan,Politecnico di Milano,Politecnico di Milano,education,education
1,https://ror.org/01nffqt88 -> https://ror.org/01ynf4891,https://ror.org/01nffqt88,https://ror.org/01ynf4891,IT,IT,Milan,Milan,Politecnico di Milano,University of Milano-Bicocca,education,education
1,https://ror.org/01nffqt88 -> https://ror.org/02mbd5571,https://ror.org/01nffqt88,https://ror.org/02mbd5571,IT,IT,Milan,Bergamo,Politecnico di Milano,University of Bergamo,education,education
1,https://ror.org/01nffqt88 -> https://ror.org/03ad39j10,https://ror.org/01nffqt88,https://ror.org/03ad39j10,IT,IT,Milan,Pisa,Politecnico di Milano,University of Pisa,education,education
