OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.1597805662129825,https://ror.org/012shwn84,JO,Amman,Jordan Media Institute,facility
0.9465085588371399,https://ror.org/02f6hdc06,JO,Ar Ramthā,King Abdullah University Hospital,healthcare
0.6011165910647369,https://ror.org/05k89ew48,JO,Amman,University of Jordan,education
0.5825687953042632,https://ror.org/051mkwn17,JO,Amman,World Islamic Sciences and Education University,education
0.5556768798571943,https://ror.org/01jy46q10,JO,Amman,Princess Sumaya University for Technology,education
0.5376101996645957,https://ror.org/02jgpyd84,JO,Amman,German Jordanian University,education
0.5132956956973753,https://ror.org/039xekb14,JO,Amman,Amman Arab University,education
0.3363002847165969,https://ror.org/059bgad73,JO,Amman,Middle East University,education
0.2504138822794456,https://ror.org/03y8mtb59,JO,Irbid,Jordan University of Science and Technology,education
0.1596514370389351,https://ror.org/004mbaj56,JO,Irbid,Yarmouk University,education
0.00019652236359262018,https://ror.org/001drnv35,JO,Irbid,Jadara University,education
-0.11284327508618376,https://ror.org/028jh2126,JO,Mafraq,Al al-Bayt University,education
-0.18103504018427277,https://ror.org/008g9ns82,JO,Karak City,Mutah University,education
-0.193968619712921,https://ror.org/00xddhq60,JO,Amman,Al-Ahliyya Amman University,education
-0.2525070360766371,https://ror.org/01ah6nb52,JO,Amman,Applied Science Private University,education
-0.2539106155262544,https://ror.org/05mqvn149,JO,Amman,Philadelphia University,education
-0.275337351239321,https://ror.org/04a1r5z94,JO,Zarqa,Hashemite University,education
-0.29757944490804766,https://ror.org/04jzmk773,JO,Aţ Ţafīlah,Tafila Technical University,education
-0.3036380023842288,https://ror.org/039d9es10,JO,Amman,Petra University,education
-0.3222028646605561,https://ror.org/00qedmt22,JO,Salt,Al-Balqa Applied University,education
-0.3583289935198057,https://ror.org/01wf1es90,JO,Zarqa,Zarqa University,education
-0.39881594089679284,https://ror.org/0564xsr50,JO,Amman,King Hussein Cancer Center,nonprofit
-0.4125618295850317,https://ror.org/04tgeej53,JO,Mādabā,American University of Madaba,education
-0.42152150846971087,https://ror.org/04a5b0p13,JO,Amman,Al-Zaytoonah University of Jordan,education
-0.4258749520253782,https://ror.org/04d4bt482,JO,Amman,Isra University,education
-0.5658327319906292,https://ror.org/047mw5m74,JO,Jarash,Jerash University,education
-0.8044811132864975,https://ror.org/00xfxvy87,JO,Irbid,Irbid National University,education
-0.8938443274163054,https://ror.org/019dkd780,JO,Ma'an,Al-Hussein Bin Talal University,education
