Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
2,https://ror.org/001drnv35 -> https://ror.org/001drnv35,https://ror.org/001drnv35,https://ror.org/001drnv35,JO,JO,Irbid,Irbid,Jadara University,Jadara University,education,education
1,https://ror.org/001drnv35 -> https://ror.org/004mbaj56,https://ror.org/001drnv35,https://ror.org/004mbaj56,JO,JO,Irbid,Irbid,Jadara University,Yarmouk University,education,education
1,https://ror.org/001drnv35 -> https://ror.org/00qedmt22,https://ror.org/001drnv35,https://ror.org/00qedmt22,JO,JO,Irbid,Salt,Jadara University,Al-Balqa Applied University,education,education
1,https://ror.org/001drnv35 -> https://ror.org/00xfxvy87,https://ror.org/001drnv35,https://ror.org/00xfxvy87,JO,JO,Irbid,Irbid,Jadara University,Irbid National University,education,education
1,https://ror.org/001drnv35 -> https://ror.org/03y8mtb59,https://ror.org/001drnv35,https://ror.org/03y8mtb59,JO,JO,Irbid,Irbid,Jadara University,Jordan University of Science and Technology,education,education
114,https://ror.org/004mbaj56 -> https://ror.org/004mbaj56,https://ror.org/004mbaj56,https://ror.org/004mbaj56,JO,JO,Irbid,Irbid,Yarmouk University,Yarmouk University,education,education
6,https://ror.org/004mbaj56 -> https://ror.org/008g9ns82,https://ror.org/004mbaj56,https://ror.org/008g9ns82,JO,JO,Irbid,Karak City,Yarmouk University,Mutah University,education,education
4,https://ror.org/004mbaj56 -> https://ror.org/00qedmt22,https://ror.org/004mbaj56,https://ror.org/00qedmt22,JO,JO,Irbid,Salt,Yarmouk University,Al-Balqa Applied University,education,education
3,https://ror.org/004mbaj56 -> https://ror.org/00xfxvy87,https://ror.org/004mbaj56,https://ror.org/00xfxvy87,JO,JO,Irbid,Irbid,Yarmouk University,Irbid National University,education,education
2,https://ror.org/004mbaj56 -> https://ror.org/019dkd780,https://ror.org/004mbaj56,https://ror.org/019dkd780,JO,JO,Irbid,Ma'an,Yarmouk University,Al-Hussein Bin Talal University,education,education
1,https://ror.org/004mbaj56 -> https://ror.org/01jy46q10,https://ror.org/004mbaj56,https://ror.org/01jy46q10,JO,JO,Irbid,Amman,Yarmouk University,Princess Sumaya University for Technology,education,education
1,https://ror.org/004mbaj56 -> https://ror.org/01wf1es90,https://ror.org/004mbaj56,https://ror.org/01wf1es90,JO,JO,Irbid,Zarqa,Yarmouk University,Zarqa University,education,education
8,https://ror.org/004mbaj56 -> https://ror.org/028jh2126,https://ror.org/004mbaj56,https://ror.org/028jh2126,JO,JO,Irbid,Mafraq,Yarmouk University,Al al-Bayt University,education,education
3,https://ror.org/004mbaj56 -> https://ror.org/02jgpyd84,https://ror.org/004mbaj56,https://ror.org/02jgpyd84,JO,JO,Irbid,Amman,Yarmouk University,German Jordanian University,education,education
18,https://ror.org/004mbaj56 -> https://ror.org/03y8mtb59,https://ror.org/004mbaj56,https://ror.org/03y8mtb59,JO,JO,Irbid,Irbid,Yarmouk University,Jordan University of Science and Technology,education,education
1,https://ror.org/004mbaj56 -> https://ror.org/047mw5m74,https://ror.org/004mbaj56,https://ror.org/047mw5m74,JO,JO,Irbid,Jarash,Yarmouk University,Jerash University,education,education
8,https://ror.org/004mbaj56 -> https://ror.org/04a1r5z94,https://ror.org/004mbaj56,https://ror.org/04a1r5z94,JO,JO,Irbid,Zarqa,Yarmouk University,Hashemite University,education,education
1,https://ror.org/004mbaj56 -> https://ror.org/04a5b0p13,https://ror.org/004mbaj56,https://ror.org/04a5b0p13,JO,JO,Irbid,Amman,Yarmouk University,Al-Zaytoonah University of Jordan,education,education
6,https://ror.org/004mbaj56 -> https://ror.org/05k89ew48,https://ror.org/004mbaj56,https://ror.org/05k89ew48,JO,JO,Irbid,Amman,Yarmouk University,University of Jordan,education,education
27,https://ror.org/008g9ns82 -> https://ror.org/008g9ns82,https://ror.org/008g9ns82,https://ror.org/008g9ns82,JO,JO,Karak City,Karak City,Mutah University,Mutah University,education,education
2,https://ror.org/008g9ns82 -> https://ror.org/00qedmt22,https://ror.org/008g9ns82,https://ror.org/00qedmt22,JO,JO,Karak City,Salt,Mutah University,Al-Balqa Applied University,education,education
1,https://ror.org/008g9ns82 -> https://ror.org/019dkd780,https://ror.org/008g9ns82,https://ror.org/019dkd780,JO,JO,Karak City,Ma'an,Mutah University,Al-Hussein Bin Talal University,education,education
2,https://ror.org/008g9ns82 -> https://ror.org/03y8mtb59,https://ror.org/008g9ns82,https://ror.org/03y8mtb59,JO,JO,Karak City,Irbid,Mutah University,Jordan University of Science and Technology,education,education
