OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.9440263452195068,https://ror.org/047cttg96,KE,Nairobi,British Institute in Eastern Africa,other
1.8161464518048898,https://ror.org/01htjvr84,KE,Nairobi,Institute of Primate Research,facility
1.596465972780445,https://ror.org/02mgerj62,KE,Kisumu,Great Lakes University of Kisumu,education
1.5893079631135323,https://ror.org/042tph174,KE,Nairobi,"Pan African University Institute for Basic Sciences, Technology and Innovation",education
1.5430711555020429,https://ror.org/023fkcg80,KE,Nairobi,Africa International University,education
1.2202529036975187,https://ror.org/0440v7339,KE,Nairobi,Kenya Plant Health Inspectorate Services,government
1.1566421390495283,https://ror.org/02952pd71,KE,Kilifi,Pwani University,education
1.0379877751661961,https://ror.org/05jg5ty85,KE,Nyeri,Dedan Kimathi University of Technology,education
1.0321092890488899,https://ror.org/03ffvb852,KE,Bondo,Jaramogi Oginga Odinga University of Science and Technology,education
0.9615266985711216,https://ror.org/019z2v446,KE,Migori,Rongo University,education
0.9610618262319103,https://ror.org/009b5t134,KE,Nakuru,Kabarak University,education
0.9441350924548483,https://ror.org/02y9nww90,KE,Nairobi,University of Nairobi,education
0.9241178748127505,https://ror.org/047dnqw48,KE,Nairobi,Strathmore University,education
0.88262480839598,https://ror.org/05qj64q37,KE,Nairobi,United States International University Africa,education
0.8438388173657098,https://ror.org/047tgv290,KE,Nairobi,Pan Africa Christian University,education
0.8162531126074569,https://ror.org/015h5sy57,KE,Nairobi,Jomo Kenyatta University of Agriculture and Technology,education
0.7267772536064573,https://ror.org/04kq7tf63,KE,Thika,Mount Kenya University,education
0.6512307553437273,https://ror.org/05p2z3x69,KE,Nairobi,Kenyatta University,education
0.631918500063069,https://ror.org/023pskh72,KE,Kisumu,Maseno University,education
0.596011353747504,https://ror.org/04e4b7b24,KE,Kisumu,Tropical Institute Of Community Health And Development,other
0.5741797400828698,https://ror.org/01qmtv077,KE,Nairobi,Daystar University,education
0.5400888263413244,https://ror.org/033tvp994,KE,Nairobi,Kenya Methodist University,education
0.4789889127084353,https://ror.org/02tpk0p14,KE,Kakamega,Masinde Muliro University of Science and Technology,education
0.42675275414098934,https://ror.org/05t3vnt47,KE,Mombasa,Kenya Marine and Fisheries Research Institute,facility
0.40636390914937004,https://ror.org/05cqafq62,KE,Chuka,Chuka University,education
0.4050509162082488,https://ror.org/00aze9982,KE,Limuru,St. Paul's University,education
0.3921501125869958,https://ror.org/010crp378,KE,Eldoret,University of Eldoret,education
0.33850105912667816,https://ror.org/050pcd452,KE,Nairobi,KCA University,education
0.33797630971859505,https://ror.org/02jm1re07,KE,Nairobi,Catholic University of Eastern Africa,education
0.2941170709564172,https://ror.org/01kmz4383,KE,Nairobi,World Agroforestry Centre,nonprofit
0.28714795966399337,https://ror.org/04p6eac84,KE,Eldoret,Moi University,education
0.26815557873371376,https://ror.org/00wawdr98,KE,Nairobi,Kenya Agricultural and Livestock Research Organization,facility
0.23124983363671198,https://ror.org/03qegss47,KE,Nairobi,International Centre of Insect Physiology and Ecology,facility
0.19930180394985814,https://ror.org/00hzs6t60,KE,Embu,University of Embu,education
0.16480020234096382,https://ror.org/00e2rng16,KE,Eldoret,"University of Eastern Africa, Baraton",education
0.14093959130666345,https://ror.org/01jk2zc89,KE,Nakuru,Egerton University,education
0.13624501635095093,https://ror.org/01grm2d66,KE,Mombasa,Technical University of Mombasa,education
0.11563195724808566,https://ror.org/02y5m7j45,KE,Nyahururu,Laikipia University,education
0.08662602462547156,https://ror.org/053stv828,KE,Kisii,Kisii University,education
0.05854137592844274,https://ror.org/05phwew21,KE,Machakos,Scott Christian University,education
0.031968430672782884,https://ror.org/02ccxj712,KE,Nairobi,Kenya Medical Training College,education
0.013244346637463619,https://ror.org/057k4ej49,KE,Murang’a,Murang'a University of Technology,education
0.00010473849572228592,https://ror.org/002dktj83,KE,Meru,Meru University of Science and Technology,education
-0.03907765923366679,https://ror.org/01fztcv40,KE,Nairobi,Kenya School of Government,government
-0.05594606609440904,https://ror.org/028r4zr88,KE,Nairobi,Multimedia University of Kenya,education
-0.05599631330237004,https://ror.org/007q9sw85,KE,Nairobi,Institute for Law and Environmental Governance,nonprofit
-0.05599631330237004,https://ror.org/00sb8wv57,KE,Nairobi,Kenya Institute for Public Policy Research and Analysis,government
-0.05599631330237004,https://ror.org/013ery440,KE,Nairobi,Kenya Industrial Research and Development Institute,facility
-0.05599631330237004,https://ror.org/03sd9v004,KE,Kajiado,Umma University,education
-0.10084953491795308,https://ror.org/04eehsy38,KE,Nairobi,Technical University of Kenya,education
-0.11119191720817238,https://ror.org/01ccvyq03,KE,Thika,Gretsa University,education
-0.12989592420471371,https://ror.org/00geck193,KE,Kerugoya,Kirinyaga University,education
-0.1529565377229778,https://ror.org/04bm15q02,KE,Nyeri,Karatina University,education
-0.1555206303253481,https://ror.org/0111z3553,KE,Bungoma,Kibabii University,education
-0.1838762067169878,https://ror.org/04cnffe38,KE,Nairobi,Pioneer International University,education
-0.18717590798104566,https://ror.org/02w403504,KE,Kitui,South Eastern Kenya University,education
-0.22946143035883532,https://ror.org/05twfp995,KE,Nairobi,Africa Nazarene University,education
-0.2830286315924019,https://ror.org/03rk9qf06,KE,Kericho,University of Kabianga,education
-0.3489103606400077,https://ror.org/03a1hhg18,KE,Nairobi,Government of Kenya,government
-0.35363790598961403,https://ror.org/05hz2w230,KE,Nairobi,Kenya Forestry Research Institute,facility
-0.36627805197022784,https://ror.org/032ztsj35,KE,Nairobi,African Population and Health Research Center,healthcare
-0.37780381544940694,https://ror.org/05eyrmk93,KE,Machakos,Machakos University,education
-0.384331156726388,https://ror.org/00dygpn15,KE,Narok,Maasai Mara University,education
-0.444628180053065,https://ror.org/01gsxb553,KE,Kapsabet,Kaimosi Friends University College,education
-0.47018442508787595,https://ror.org/03p41j374,KE,Bomet,Bomet University College,education
-0.521174001974426,https://ror.org/029cz3039,KE,Kijabe,Kijabe Hospital,healthcare
-0.521174001974426,https://ror.org/05dj22k02,KE,Mtito Andei,Lukenya University,education
