Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
2,https://ror.org/002dktj83 -> https://ror.org/057k4ej49,https://ror.org/002dktj83,https://ror.org/057k4ej49,KE,KE,Meru,Murang’a,Meru University of Science and Technology,Murang'a University of Technology,education,education
1,https://ror.org/002dktj83 -> https://ror.org/05p2z3x69,https://ror.org/002dktj83,https://ror.org/05p2z3x69,KE,KE,Meru,Nairobi,Meru University of Science and Technology,Kenyatta University,education,education
3,https://ror.org/009b5t134 -> https://ror.org/009b5t134,https://ror.org/009b5t134,https://ror.org/009b5t134,KE,KE,Nakuru,Nakuru,Kabarak University,Kabarak University,education,education
1,https://ror.org/009b5t134 -> https://ror.org/00dygpn15,https://ror.org/009b5t134,https://ror.org/00dygpn15,KE,KE,Nakuru,Narok,Kabarak University,Maasai Mara University,education,education
2,https://ror.org/009b5t134 -> https://ror.org/00hzs6t60,https://ror.org/009b5t134,https://ror.org/00hzs6t60,KE,KE,Nakuru,Embu,Kabarak University,University of Embu,education,education
1,https://ror.org/009b5t134 -> https://ror.org/01fztcv40,https://ror.org/009b5t134,https://ror.org/01fztcv40,KE,KE,Nakuru,Nairobi,Kabarak University,Kenya School of Government,education,government
1,https://ror.org/009b5t134 -> https://ror.org/03ffvb852,https://ror.org/009b5t134,https://ror.org/03ffvb852,KE,KE,Nakuru,Bondo,Kabarak University,Jaramogi Oginga Odinga University of Science and Technology,education,education
2,https://ror.org/009b5t134 -> https://ror.org/047dnqw48,https://ror.org/009b5t134,https://ror.org/047dnqw48,KE,KE,Nakuru,Nairobi,Kabarak University,Strathmore University,education,education
1,https://ror.org/009b5t134 -> https://ror.org/047tgv290,https://ror.org/009b5t134,https://ror.org/047tgv290,KE,KE,Nakuru,Nairobi,Kabarak University,Pan Africa Christian University,education,education
2,https://ror.org/009b5t134 -> https://ror.org/05p2z3x69,https://ror.org/009b5t134,https://ror.org/05p2z3x69,KE,KE,Nakuru,Nairobi,Kabarak University,Kenyatta University,education,education
1,https://ror.org/00aze9982 -> https://ror.org/01jk2zc89,https://ror.org/00aze9982,https://ror.org/01jk2zc89,KE,KE,Limuru,Nakuru,St. Paul's University,Egerton University,education,education
1,https://ror.org/00aze9982 -> https://ror.org/02y9nww90,https://ror.org/00aze9982,https://ror.org/02y9nww90,KE,KE,Limuru,Nairobi,St. Paul's University,University of Nairobi,education,education
1,https://ror.org/00aze9982 -> https://ror.org/05p2z3x69,https://ror.org/00aze9982,https://ror.org/05p2z3x69,KE,KE,Limuru,Nairobi,St. Paul's University,Kenyatta University,education,education
2,https://ror.org/00dygpn15 -> https://ror.org/00dygpn15,https://ror.org/00dygpn15,https://ror.org/00dygpn15,KE,KE,Narok,Narok,Maasai Mara University,Maasai Mara University,education,education
2,https://ror.org/00e2rng16 -> https://ror.org/00e2rng16,https://ror.org/00e2rng16,https://ror.org/00e2rng16,KE,KE,Eldoret,Eldoret,"University of Eastern Africa, Baraton","University of Eastern Africa, Baraton",education,education
1,https://ror.org/00e2rng16 -> https://ror.org/00hzs6t60,https://ror.org/00e2rng16,https://ror.org/00hzs6t60,KE,KE,Eldoret,Embu,"University of Eastern Africa, Baraton",University of Embu,education,education
2,https://ror.org/00e2rng16 -> https://ror.org/00qpv3w06,https://ror.org/00e2rng16,https://ror.org/00qpv3w06,KE,KE,Eldoret,Nairobi,"University of Eastern Africa, Baraton",Amref Health Africa,education,nonprofit
