OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.249999999999997,https://ror.org/01md3zk31,KG,Bishkek,National Academy of Sciences of the Republic of Kyrgyzstan,facility
0.5000000000000047,https://ror.org/009m17x95,KG,Bishkek,Kyrgyz Economic University,education
0.4999999999999965,https://ror.org/00bah2v32,KG,Bishkek,Kyrgyz State Medical Academy,healthcare
0.2500000000000011,https://ror.org/020qfzf72,KG,Bishkek,Kyrgyz-Russian Slavic University named after B.N. Yeltsin,education
0.2500000000000011,https://ror.org/03kj11b67,KG,Bishkek,International Atatürk-Alatoo University,education
0.2500000000000011,https://ror.org/04m17xs91,KG,Bishkek,National Center of Cardiology and Internal Medicine,healthcare
0.2500000000000008,https://ror.org/02ar8gr68,KG,Bishkek,Kyrgyz National University,education
9.775340259476906e-14,https://ror.org/00379n634,KG,Bishkek,"Kyrgyz State University of Construction, Transport and Architecture named after N. Isanov",education
0.0,https://ror.org/03vvzk644,KG,Bishkek,American University of Central Asia,education
0.0,https://ror.org/04frf8n21,KG,Bishkek,Kyrgyz-Türkish Manas Üniversity,education
-0.4999999999999965,https://ror.org/026t9hg14,KG,Bishkek,International Higher School of Medicine,education
-0.5000000000000047,https://ror.org/04rrs4x54,KG,Bishkek,University of Central Asia,education
-0.7499999999999986,https://ror.org/01pb8rp31,KG,Karakol,Issyk-Kul State University,education
-0.7499999999999986,https://ror.org/04730q569,KG,Bishkek,International University of Kyrgyzstan,education
-0.7500000000000039,https://ror.org/0449rh157,KG,Osh,Osh State University,education
-1.0000000000000673,https://ror.org/01c9f4y89,KG,Bishkek,Kyrgyz State Technical University,education
