Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/00379n634 -> https://ror.org/00379n634,https://ror.org/00379n634,https://ror.org/00379n634,KG,KG,Bishkek,Bishkek,"Kyrgyz State University of Construction, Transport and Architecture named after N. Isanov","Kyrgyz State University of Construction, Transport and Architecture named after N. Isanov",education,education
1,https://ror.org/00379n634 -> https://ror.org/01c9f4y89,https://ror.org/00379n634,https://ror.org/01c9f4y89,KG,KG,Bishkek,Bishkek,"Kyrgyz State University of Construction, Transport and Architecture named after N. Isanov",Kyrgyz State Technical University,education,education
1,https://ror.org/009m17x95 -> https://ror.org/04rrs4x54,https://ror.org/009m17x95,https://ror.org/04rrs4x54,KG,KG,Bishkek,Bishkek,Kyrgyz Economic University,University of Central Asia,education,education
1,https://ror.org/00bah2v32 -> https://ror.org/00bah2v32,https://ror.org/00bah2v32,https://ror.org/00bah2v32,KG,KG,Bishkek,Bishkek,Kyrgyz State Medical Academy,Kyrgyz State Medical Academy,healthcare,healthcare
2,https://ror.org/00bah2v32 -> https://ror.org/026t9hg14,https://ror.org/00bah2v32,https://ror.org/026t9hg14,KG,KG,Bishkek,Bishkek,Kyrgyz State Medical Academy,International Higher School of Medicine,healthcare,education
1,https://ror.org/01md3zk31 -> https://ror.org/02ar8gr68,https://ror.org/01md3zk31,https://ror.org/02ar8gr68,KG,KG,Bishkek,Bishkek,National Academy of Sciences of the Republic of Kyrgyzstan,Kyrgyz National University,facility,education
1,https://ror.org/020qfzf72 -> https://ror.org/020qfzf72,https://ror.org/020qfzf72,https://ror.org/020qfzf72,KG,KG,Bishkek,Bishkek,Kyrgyz-Russian Slavic University named after B.N. Yeltsin,Kyrgyz-Russian Slavic University named after B.N. Yeltsin,education,education
1,https://ror.org/020qfzf72 -> https://ror.org/0449rh157,https://ror.org/020qfzf72,https://ror.org/0449rh157,KG,KG,Bishkek,Osh,Kyrgyz-Russian Slavic University named after B.N. Yeltsin,Osh State University,education,education
1,https://ror.org/02ar8gr68 -> https://ror.org/01pb8rp31,https://ror.org/02ar8gr68,https://ror.org/01pb8rp31,KG,KG,Bishkek,Karakol,Kyrgyz National University,Issyk-Kul State University,education,education
5,https://ror.org/02ar8gr68 -> https://ror.org/02ar8gr68,https://ror.org/02ar8gr68,https://ror.org/02ar8gr68,KG,KG,Bishkek,Bishkek,Kyrgyz National University,Kyrgyz National University,education,education
1,https://ror.org/02ar8gr68 -> https://ror.org/04730q569,https://ror.org/02ar8gr68,https://ror.org/04730q569,KG,KG,Bishkek,Bishkek,Kyrgyz National University,International University of Kyrgyzstan,education,education
1,https://ror.org/03kj11b67 -> https://ror.org/0449rh157,https://ror.org/03kj11b67,https://ror.org/0449rh157,KG,KG,Bishkek,Osh,International Atatürk-Alatoo University,Osh State University,education,education
1,https://ror.org/03vvzk644 -> https://ror.org/03vvzk644,https://ror.org/03vvzk644,https://ror.org/03vvzk644,KG,KG,Bishkek,Bishkek,American University of Central Asia,American University of Central Asia,education,education
3,https://ror.org/0449rh157 -> https://ror.org/0449rh157,https://ror.org/0449rh157,https://ror.org/0449rh157,KG,KG,Osh,Osh,Osh State University,Osh State University,education,education
7,https://ror.org/04frf8n21 -> https://ror.org/04frf8n21,https://ror.org/04frf8n21,https://ror.org/04frf8n21,KG,KG,Bishkek,Bishkek,Kyrgyz-Türkish Manas Üniversity,Kyrgyz-Türkish Manas Üniversity,education,education
1,https://ror.org/04m17xs91 -> https://ror.org/0449rh157,https://ror.org/04m17xs91,https://ror.org/0449rh157,KG,KG,Bishkek,Osh,National Center of Cardiology and Internal Medicine,Osh State University,healthcare,education
