Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/018k7fz65 -> https://ror.org/01e4tbd96,https://ror.org/018k7fz65,https://ror.org/01e4tbd96,KH,KH,Phnom Penh,Phnom Penh,Ministry of Health,National University of Management,government,education
1,https://ror.org/018k7fz65 -> https://ror.org/05rtvan68,https://ror.org/018k7fz65,https://ror.org/05rtvan68,KH,KH,Phnom Penh,Phnom Penh,Ministry of Health,Royal University of Phnom Penh,government,education
1,https://ror.org/018k7fz65 -> https://ror.org/05xeme822,https://ror.org/018k7fz65,https://ror.org/05xeme822,KH,KH,Phnom Penh,Phnom Penh,Ministry of Health,Paññāsāstra University of Cambodia,government,education
1,https://ror.org/01nbgfe29 -> https://ror.org/033dmae14,https://ror.org/01nbgfe29,https://ror.org/033dmae14,KH,KH,Siem Reap,Phnom Penh,Build Bright University,"Royal University of Agriculture, Cambodia",education,education
1,https://ror.org/01nbgfe29 -> https://ror.org/05rtvan68,https://ror.org/01nbgfe29,https://ror.org/05rtvan68,KH,KH,Siem Reap,Phnom Penh,Build Bright University,Royal University of Phnom Penh,education,education
1,https://ror.org/025e3rc84 -> https://ror.org/01nbgfe29,https://ror.org/025e3rc84,https://ror.org/01nbgfe29,KH,KH,Phnom Penh,Siem Reap,University of Cambodia,Build Bright University,education,education
1,https://ror.org/025e3rc84 -> https://ror.org/059gxc315,https://ror.org/025e3rc84,https://ror.org/059gxc315,KH,KH,Phnom Penh,Phnom Penh,University of Cambodia,Cambodian Mekong University,education,education
1,https://ror.org/02f76hw52 -> https://ror.org/059gxc315,https://ror.org/02f76hw52,https://ror.org/059gxc315,KH,KH,Phnom Penh,Phnom Penh,Human Resources University,Cambodian Mekong University,education,education
1,https://ror.org/02knr1992 -> https://ror.org/02knr1992,https://ror.org/02knr1992,https://ror.org/02knr1992,KH,KH,Phnom Penh,Phnom Penh,International University,International University,education,education
1,https://ror.org/02mh3at17 -> https://ror.org/02mh3at17,https://ror.org/02mh3at17,https://ror.org/02mh3at17,KH,KH,Phnom Penh,Phnom Penh,Royal University of Law and Economics,Royal University of Law and Economics,education,education
1,https://ror.org/033dmae14 -> https://ror.org/010nsc013,https://ror.org/033dmae14,https://ror.org/010nsc013,KH,KH,Phnom Penh,Svay Rieng,"Royal University of Agriculture, Cambodia",Svay Rieng University,education,education
3,https://ror.org/033dmae14 -> https://ror.org/033dmae14,https://ror.org/033dmae14,https://ror.org/033dmae14,KH,KH,Phnom Penh,Phnom Penh,"Royal University of Agriculture, Cambodia","Royal University of Agriculture, Cambodia",education,education
1,https://ror.org/03enb1k33 -> https://ror.org/03enb1k33,https://ror.org/03enb1k33,https://ror.org/03enb1k33,KH,KH,Phnom Penh,Phnom Penh,Cambodian University for Specialties,Cambodian University for Specialties,education,education
1,https://ror.org/03enb1k33 -> https://ror.org/054z67s11,https://ror.org/03enb1k33,https://ror.org/054z67s11,KH,KH,Phnom Penh,Phnom Penh,Cambodian University for Specialties,Institute of Technology of Cambodia,education,education
1,https://ror.org/03ht2dx40 -> https://ror.org/03ht2dx40,https://ror.org/03ht2dx40,https://ror.org/03ht2dx40,KH,KH,Phnom Penh,Phnom Penh,Institut Pasteur du Cambodge,Institut Pasteur du Cambodge,facility,facility
1,https://ror.org/04jpmg381 -> https://ror.org/04jpmg381,https://ror.org/04jpmg381,https://ror.org/04jpmg381,KH,KH,Phnom Penh,Phnom Penh,University of Health Science,University of Health Science,education,education
2,https://ror.org/054z67s11 -> https://ror.org/054z67s11,https://ror.org/054z67s11,https://ror.org/054z67s11,KH,KH,Phnom Penh,Phnom Penh,Institute of Technology of Cambodia,Institute of Technology of Cambodia,education,education
1,https://ror.org/05rtvan68 -> https://ror.org/01e4tbd96,https://ror.org/05rtvan68,https://ror.org/01e4tbd96,KH,KH,Phnom Penh,Phnom Penh,Royal University of Phnom Penh,National University of Management,education,education
1,https://ror.org/05rtvan68 -> https://ror.org/025e3rc84,https://ror.org/05rtvan68,https://ror.org/025e3rc84,KH,KH,Phnom Penh,Phnom Penh,Royal University of Phnom Penh,University of Cambodia,education,education
2,https://ror.org/05rtvan68 -> https://ror.org/033dmae14,https://ror.org/05rtvan68,https://ror.org/033dmae14,KH,KH,Phnom Penh,Phnom Penh,Royal University of Phnom Penh,"Royal University of Agriculture, Cambodia",education,education
11,https://ror.org/05rtvan68 -> https://ror.org/05rtvan68,https://ror.org/05rtvan68,https://ror.org/05rtvan68,KH,KH,Phnom Penh,Phnom Penh,Royal University of Phnom Penh,Royal University of Phnom Penh,education,education
2,https://ror.org/05xeme822 -> https://ror.org/0525v4q94,https://ror.org/05xeme822,https://ror.org/0525v4q94,KH,KH,Phnom Penh,Phnom Penh,Paññāsāstra University of Cambodia,Royal School of Administration,education,government
1,https://ror.org/05xeme822 -> https://ror.org/05rtvan68,https://ror.org/05xeme822,https://ror.org/05rtvan68,KH,KH,Phnom Penh,Phnom Penh,Paññāsāstra University of Cambodia,Royal University of Phnom Penh,education,education
