OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.1503638897840966,https://ror.org/03t6vm274,KR,Iksan,Wonkwang Digital University,education
1.1502157258673913,https://ror.org/02ke3k930,KR,Seoul,Presbyterian University and Theological Seminary,education
0.49442306378861184,https://ror.org/00bw4x405,KR,Seongnam-si,Academy of Korean Studies,education
0.4533101573823488,https://ror.org/045g3sx57,KR,Seongnam-si,Armed Forces Capital Hospital,healthcare
0.36866037398224843,https://ror.org/01fvnb423,KR,Jeonju,Presbyterian Medical Center,healthcare
0.2942192254093186,https://ror.org/05apxxy63,KR,Daejeon,Korea Advanced Institute of Science and Technology,education
0.17898935904437657,https://ror.org/0181xpd52,KR,Seoul,International Graduate School of English,education
0.1738575263145494,https://ror.org/04xysgw12,KR,Pohang,Pohang University of Science and Technology,education
0.15088196837716972,https://ror.org/02q017026,KR,Yangp'yŏng,Asian Center for Theological Studies and Mission,education
0.1489574725693304,https://ror.org/04h9pn542,KR,Seoul,Seoul National University,education
0.07150456668839045,https://ror.org/012zp9903,KR,Sejong,National Research Council for Economics Humanities and Social Science,facility
0.049210583463264075,https://ror.org/024kbgz78,KR,Gwangju,Gwangju Institute of Science and Technology,education
0.003521149120518273,https://ror.org/000qzf213,KR,Daejeon,Korea University of Science and Technology,education
0.0,https://ror.org/02sd77t30,KR,Seoul,Baewha Women's University,education
-0.03331736914648124,https://ror.org/05rekxz26,KR,Seoul,Hallym University of Graduate Studies,education
-0.07331750391987796,https://ror.org/01bxb0563,KR,Seoul,Kyung Hee Cyber University,education
-0.07756593912167156,https://ror.org/05rgcq967,KR,Seoul,Torch Trinity Graduate University,education
-0.08428722261038407,https://ror.org/0168zcn11,KR,Seoul,Korea National University of Arts,education
-0.1085236861086323,https://ror.org/026qx6917,KR,Seoul,Chongshin University,education
-0.13129578939267705,https://ror.org/01syrqz32,KR,Seoul,University of North Korean Studies,education
-0.1952400024172456,https://ror.org/047dqcg40,KR,Seoul,Korea University,education
-0.20741482661333102,https://ror.org/01wjejq96,KR,Seoul,Yonsei University,education
-0.25690193662903854,https://ror.org/05t1bc854,KR,Seoul,Korea National Defense University,education
-0.2762454404290286,https://ror.org/0331rkj73,KR,Daejeon,Republic of Korea Army,government
-0.28972693202479366,https://ror.org/056tn4839,KR,Seoul,Sogang University,education
-0.29664437863732407,https://ror.org/01zqcg218,KR,Seoul,Kyung Hee University,education
-0.3312762842950586,https://ror.org/02xj62754,KR,Seoul,Seoul School of Integrated Sciences and Technologies,education
-0.34318346478882317,https://ror.org/046865y68,KR,Seoul,Hanyang University,education
-0.3805570630957493,https://ror.org/02c2f8975,KR,Ulsan,University of Ulsan,education
-0.38666194144305654,https://ror.org/01an57a31,KR,Busan,Pusan National University,education
-0.38720377957910196,https://ror.org/03zjevq63,KR,Cheongju-si,Korea Air Force Academy,government
-0.3913286479804187,https://ror.org/02yv7gj50,KR,Seoul,SNP Genetics (South Korea),company
-0.4204774487112697,https://ror.org/02fywdp72,KR,Seoul,Korea National Sport University,education
-0.4268295803374343,https://ror.org/040c17130,KR,Daegu,Kyungpook National University,education
-0.42997440962891725,https://ror.org/05en5nh73,KR,Seoul,University of Seoul,education
-0.4338324075214025,https://ror.org/03t85np98,KR,Seoul,Cyber University of Korea,education
-0.4351001426866928,https://ror.org/01g4vtd10,KR,Daegu,Keimyung College University,education
-0.44357613283455294,https://ror.org/03c9fpk55,KR,Cheongju-si,Korea National University of Education,education
-0.4448378697567891,https://ror.org/04q78tk20,KR,Seoul,Sungkyunkwan University,education
-0.4500655236510547,https://ror.org/01easw929,KR,Incheon,Inha University,education
-0.4537082214941428,https://ror.org/04yka3j04,KR,Seongnam-si,CHA University,education
-0.4560230234672098,https://ror.org/00s9dpb54,KR,Seoul,Myongji University,education
-0.45869914096557207,https://ror.org/017cjz748,KR,Ulsan,Ulsan National Institute of Science and Technology,education
-0.4659269404063238,https://ror.org/0227as991,KR,Daejeon,Chungnam National University,education
-0.46608282880006807,https://ror.org/053fp5c05,KR,Seoul,Ewha Womans University,education
-0.47510646711669174,https://ror.org/05q92br09,KR,Jeonju,Jeonbuk National University,education
-0.4807871947049506,https://ror.org/056za9j29,KR,Seoul,Korea Center for Disease Control and Prevention,government
-0.5143087030654672,https://ror.org/01fpnj063,KR,Seoul,Catholic University of Korea,education
-0.5255251539403177,https://ror.org/03tzb2h73,KR,Suwon,Ajou University,education
-0.5373182562094068,https://ror.org/02jv1px47,KR,Busan,Kyungnam College of Information and Technology,education
-0.5469490495449864,https://ror.org/01r024a98,KR,Seoul,Chung-Ang University,education
-0.5497751017898177,https://ror.org/01rf04680,KR,Busan,Busan National University of Education,education
-0.5500711689084605,https://ror.org/0106d7657,KR,Seongnam-si,Korea International Cooperation Agency,government
-0.5505743501835342,https://ror.org/057q6n778,KR,Seoul,Dongguk University,education
-0.5529891301191915,https://ror.org/025h1m602,KR,Seoul,Konkuk University,education
-0.589192892697101,https://ror.org/0433kqc49,KR,Busan,Pukyong National University,education
-0.5952744141620342,https://ror.org/053nycv62,KR,Cheonan,Korea University of Technology and Education,education
-0.5967917680538269,https://ror.org/02wnxgj78,KR,Cheongju-si,Chungbuk National University,education
-0.6003691646050742,https://ror.org/027zf7h57,KR,Busan,Pusan National University Hospital,healthcare
-0.6145596051999259,https://ror.org/01h6frr69,KR,Seoul,Duksung Women's University,education
-0.62251626219099,https://ror.org/00egdv862,KR,Seoul,Hongik University,education
-0.62257265491311,https://ror.org/02e9zc863,KR,Seoul,Kwangwoon University,education
-0.629712391570866,https://ror.org/02ss0kx69,KR,Seoul,Kyung Hee University Dental Hospital,healthcare
-0.6348129025581648,https://ror.org/0494zgc81,KR,Seoul,Seoul National University Dental Hospital,healthcare
-0.6369629738300046,https://ror.org/01adsjd47,KR,Nangen,Seonam University,education
-0.6453293508256387,https://ror.org/006wqrx41,KR,Buyeo,Korea National University of Cultural Heritage,education
-0.657217540718827,https://ror.org/02cs2sd33,KR,Seoul,Korea University Medical Center,healthcare
-0.657747627433802,https://ror.org/01nwsar36,KR,Goyang-si,Dongguk University Ilsan Hospital,healthcare
-0.6675563571024438,https://ror.org/04xqwq985,KR,Kimhae,Inje University,education
-0.6819949223654304,https://ror.org/05jmm0651,KR,Goyang-si,Korea Aerospace University,education
-0.6848881585393628,https://ror.org/05yc6p159,KR,Daegu,Yeungnam University,education
-0.6856566851985684,https://ror.org/00saywf64,KR,Chinju,Gyeongsang National University,education
-0.6859564063073145,https://ror.org/05kzjxq56,KR,Gwangju,Chonnam National University,education
-0.6927990998442523,https://ror.org/04rg3qa61,KR,Seoul,Sungkonghoe University,education
-0.695092455306246,https://ror.org/03sbhge02,KR,Chuncheon,Hallym University,education
-0.6952472768143136,https://ror.org/017xnm587,KR,Seoul,Soongsil University,education
-0.696508492512353,https://ror.org/009e5cd49,KR,Asan,Sun Moon University,education
-0.7037059240175855,https://ror.org/05ehpzq05,KR,Daejeon,Korea Baptist Theological University and Seminary,education
-0.7044072505638054,https://ror.org/01v7y5b55,KR,Busan,Korea Maritime and Ocean University,education
-0.7045611159819913,https://ror.org/031bshh03,KR,Daejeon,Genome Insight (South Korea),company
-0.7045611159819913,https://ror.org/043n4tt17,KR,Seongnam-si,Korea Telecom (South Korea),company
-0.705271963976911,https://ror.org/0562x8a64,KR,Seoul,Daewoo Shipbuilding and Marine Engineering (South Korea),company
-0.7119203300425061,https://ror.org/00aft1q37,KR,Seoul,Sejong University,education
-0.7119285735746953,https://ror.org/00wygsf57,KR,Busan,Dongseo University,education
-0.714112877706908,https://ror.org/051q2m369,KR,Seoul,Hankuk University of Foreign Studies,education
-0.7156745718879477,https://ror.org/01mh5ph17,KR,Chuncheon,Kangwon National University,education
-0.7207556216083303,https://ror.org/0049erg63,KR,Seoul,Kookmin University,education
-0.723566792205184,https://ror.org/05tn05n57,KR,Seoul,Hanyang University Medical Center,healthcare
-0.7362788750907826,https://ror.org/03frjya69,KR,Daegu,Daegu Gyeongbuk Institute of Science and Technology,education
-0.7456696239179222,https://ror.org/01xts9v65,KR,Seoul,Seoul National University of Education,education
-0.7539428829363405,https://ror.org/058rymf81,KR,Sejong,National Research Council of Science and Technology,government
-0.7566287135941399,https://ror.org/03qjsrb10,KR,Seoul,Soonchunhyang University,education
-0.7566445293070195,https://ror.org/04pqpfz42,KR,Seoul,National Medical Center,government
-0.7658178488060677,https://ror.org/016ebag96,KR,Seoul,Korea National Open University,education
-0.767789323111357,https://ror.org/04gj5px28,KR,Incheon,Inha University Hospital,healthcare
-0.777784271733709,https://ror.org/0500xzf72,KR,Seoul,Sungshin Women's University,education
-0.7890253379405467,https://ror.org/05hnb4n85,KR,Jeju City,Jeju National University,education
-0.7927722761634987,https://ror.org/04w3jy968,KR,Seoul,Samsung (South Korea),company
-0.811584324898148,https://ror.org/01pzf6r50,KR,Busan,Inje University Busan Paik Hospital,healthcare
-0.8139785441987909,https://ror.org/00chfja07,KR,Seoul,Seoul National University of Science and Technology,education
-0.8223336046752387,https://ror.org/00vvvt117,KR,Seoul,Sookmyung Women's University,education
