Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/000qzf213 -> https://ror.org/005rpmt10,https://ror.org/000qzf213,https://ror.org/005rpmt10,KR,KR,Daejeon,Daejeon,Korea University of Science and Technology,Korea Institute of Oriental Medicine,education,facility
1,https://ror.org/000qzf213 -> https://ror.org/00txhkt32,https://ror.org/000qzf213,https://ror.org/00txhkt32,KR,KR,Daejeon,Pohang,Korea University of Science and Technology,Handong Global University,education,education
1,https://ror.org/000qzf213 -> https://ror.org/0159w2913,https://ror.org/000qzf213,https://ror.org/0159w2913,KR,KR,Daejeon,Daejeon,Korea University of Science and Technology,Korea Institute of Toxicology,education,facility
1,https://ror.org/000qzf213 -> https://ror.org/017cjz748,https://ror.org/000qzf213,https://ror.org/017cjz748,KR,KR,Daejeon,Ulsan,Korea University of Science and Technology,Ulsan National Institute of Science and Technology,education,education
3,https://ror.org/000qzf213 -> https://ror.org/019xm3p48,https://ror.org/000qzf213,https://ror.org/019xm3p48,KR,KR,Daejeon,Seoul,Korea University of Science and Technology,Government of the Republic of Korea,education,government
1,https://ror.org/000qzf213 -> https://ror.org/01an57a31,https://ror.org/000qzf213,https://ror.org/01an57a31,KR,KR,Daejeon,Busan,Korea University of Science and Technology,Pusan National University,education,education
3,https://ror.org/000qzf213 -> https://ror.org/01az7b475,https://ror.org/000qzf213,https://ror.org/01az7b475,KR,KR,Daejeon,Daejeon,Korea University of Science and Technology,Korea Research Institute of Standards and Science,education,facility
1,https://ror.org/000qzf213 -> https://ror.org/01easw929,https://ror.org/000qzf213,https://ror.org/01easw929,KR,KR,Daejeon,Incheon,Korea University of Science and Technology,Inha University,education,education
2,https://ror.org/000qzf213 -> https://ror.org/01gqe3t73,https://ror.org/000qzf213,https://ror.org/01gqe3t73,KR,KR,Daejeon,Wŏnju,Korea University of Science and Technology,Sangji University,education,education
1,https://ror.org/000qzf213 -> https://ror.org/01k4yrm29,https://ror.org/000qzf213,https://ror.org/01k4yrm29,KR,KR,Daejeon,Daejeon,Korea University of Science and Technology,Korea Institute of Science & Technology Information,education,facility
1,https://ror.org/000qzf213 -> https://ror.org/01mh5ph17,https://ror.org/000qzf213,https://ror.org/01mh5ph17,KR,KR,Daejeon,Chuncheon,Korea University of Science and Technology,Kangwon National University,education,education
1,https://ror.org/000qzf213 -> https://ror.org/01r024a98,https://ror.org/000qzf213,https://ror.org/01r024a98,KR,KR,Daejeon,Seoul,Korea University of Science and Technology,Chung-Ang University,education,education
1,https://ror.org/000qzf213 -> https://ror.org/01rwkhb30,https://ror.org/000qzf213,https://ror.org/01rwkhb30,KR,KR,Daejeon,Changwon,Korea University of Science and Technology,Korea Institute of Materials Science,education,education
1,https://ror.org/000qzf213 -> https://ror.org/01wjejq96,https://ror.org/000qzf213,https://ror.org/01wjejq96,KR,KR,Daejeon,Seoul,Korea University of Science and Technology,Yonsei University,education,education
1,https://ror.org/000qzf213 -> https://ror.org/01zqcg218,https://ror.org/000qzf213,https://ror.org/01zqcg218,KR,KR,Daejeon,Seoul,Korea University of Science and Technology,Kyung Hee University,education,education
2,https://ror.org/000qzf213 -> https://ror.org/0227as991,https://ror.org/000qzf213,https://ror.org/0227as991,KR,KR,Daejeon,Daejeon,Korea University of Science and Technology,Chungnam National University,education,education
