OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
2.6705348303845966e-06,https://ror.org/021e5j056,KW,Kuwait City,Kuwait University,education
0.0,https://ror.org/02gqgne03,KW,Al ‘Uqaylah,American University of the Middle East,education
0.0,https://ror.org/05nkffb74,KW,As Sālimīyah,Mubarak Al Kabeer Hospital,healthcare
-1.4552995542850555e-07,https://ror.org/00fp9k450,KW,Al Farwānīyah,Arab Open University,education
-0.9999965303639992,https://ror.org/024242h31,KW,Kuwait City,Public Authority for Applied Education and Training,education
-0.9999970233315446,https://ror.org/036njfn21,KW,Kuwait City,Ministry of Health,government
-0.9999970233315446,https://ror.org/04y2hdd14,KW,Kuwait City,Amiri Hospital,healthcare
-0.9999971822267775,https://ror.org/00w73cg32,KW,Kuwait City,American University of Kuwait,education
-0.9999978348151927,https://ror.org/04d9rzd67,KW,Kuwait City,Gulf University for Science & Technology,education
-1.9999960819346398,https://ror.org/041tgg678,KW,Kuwait City,Kuwait Institute for Scientific Research,government
