Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/00fp9k450 -> https://ror.org/04d9rzd67,https://ror.org/00fp9k450,https://ror.org/04d9rzd67,KW,KW,Al Farwānīyah,Kuwait City,Arab Open University,Gulf University for Science & Technology,education,education
2,https://ror.org/021e5j056 -> https://ror.org/00w73cg32,https://ror.org/021e5j056,https://ror.org/00w73cg32,KW,KW,Kuwait City,Kuwait City,Kuwait University,American University of Kuwait,education,education
41,https://ror.org/021e5j056 -> https://ror.org/021e5j056,https://ror.org/021e5j056,https://ror.org/021e5j056,KW,KW,Kuwait City,Kuwait City,Kuwait University,Kuwait University,education,education
1,https://ror.org/021e5j056 -> https://ror.org/024242h31,https://ror.org/021e5j056,https://ror.org/024242h31,KW,KW,Kuwait City,Kuwait City,Kuwait University,Public Authority for Applied Education and Training,education,education
1,https://ror.org/021e5j056 -> https://ror.org/036njfn21,https://ror.org/021e5j056,https://ror.org/036njfn21,KW,KW,Kuwait City,Kuwait City,Kuwait University,Ministry of Health,education,government
4,https://ror.org/021e5j056 -> https://ror.org/04d9rzd67,https://ror.org/021e5j056,https://ror.org/04d9rzd67,KW,KW,Kuwait City,Kuwait City,Kuwait University,Gulf University for Science & Technology,education,education
1,https://ror.org/021e5j056 -> https://ror.org/04y2hdd14,https://ror.org/021e5j056,https://ror.org/04y2hdd14,KW,KW,Kuwait City,Kuwait City,Kuwait University,Amiri Hospital,education,healthcare
1,https://ror.org/024242h31 -> https://ror.org/041tgg678,https://ror.org/024242h31,https://ror.org/041tgg678,KW,KW,Kuwait City,Kuwait City,Public Authority for Applied Education and Training,Kuwait Institute for Scientific Research,education,government
3,https://ror.org/02gqgne03 -> https://ror.org/02gqgne03,https://ror.org/02gqgne03,https://ror.org/02gqgne03,KW,KW,Al ‘Uqaylah,Al ‘Uqaylah,American University of the Middle East,American University of the Middle East,education,education
4,https://ror.org/04d9rzd67 -> https://ror.org/04d9rzd67,https://ror.org/04d9rzd67,https://ror.org/04d9rzd67,KW,KW,Kuwait City,Kuwait City,Gulf University for Science & Technology,Gulf University for Science & Technology,education,education
1,https://ror.org/05nkffb74 -> https://ror.org/05nkffb74,https://ror.org/05nkffb74,https://ror.org/05nkffb74,KW,KW,As Sālimīyah,As Sālimīyah,Mubarak Al Kabeer Hospital,Mubarak Al Kabeer Hospital,healthcare,healthcare
