OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
2.272330838361475,https://ror.org/02h1mqb03,KZ,Almaty,Kazakh Institute of Oncology and Radiology,facility
1.8113370441113306,https://ror.org/04nj3w743,KZ,Almaty,German Kazakh University,education
1.8113370441113306,https://ror.org/04qer5752,KZ,Almaty,Institute of Archaeology named after A.Kh.Margulan,facility
1.2722146182981204,https://ror.org/05pc6w891,KZ,Almaty,Kazakh National Medical University,education
1.011734221698735,https://ror.org/033cvvt68,KZ,Almaty,Kazakh National Agrarian Research University,education
0.9788813974626763,https://ror.org/03pscpn55,KZ,Almaty,Kazakh Academy of Transport and Communications named after M.Tynyshpaev,education
0.955752503493792,https://ror.org/05eq5hr59,KZ,Taldıqorğan,Zhetysu University named after Ilyas Zhansugurov,education
0.8808752669004689,https://ror.org/02szhdk88,KZ,Almaty,Kazakh University Ways of Communications,education
0.860150648022488,https://ror.org/02bvvhn54,KZ,Almaty,Abai Kazakh National Pedagogical University,education
0.8113256945100731,https://ror.org/03q0vrn42,KZ,Almaty,Al-Farabi Kazakh National University,education
0.811325573586053,https://ror.org/01rwphz66,KZ,Almaty,National Academy of Sciences of the Republic of Kazakhstan,facility
0.8013138855374383,https://ror.org/03kg5qh91,KZ,Semey,Semey Medical University,education
0.6513904568241806,https://ror.org/014kyp779,KZ,Taraz,M. Kh Dulati Taraz State University,education
0.5800870082087358,https://ror.org/0242cby63,KZ,Nur-Sultan,L. N. Gumilyov Eurasian National University,education
0.5173507129196164,https://ror.org/052bx8q98,KZ,Nur-Sultan,Nazarbayev University,education
0.3722652152339789,https://ror.org/01rn0fp76,KZ,Almaty,Kazakh-British Technical University,education
0.3424943226528606,https://ror.org/045mxyc94,KZ,Almaty,Turan University,education
0.32506067504589814,https://ror.org/01rvqzw67,KZ,Almaty,University of International Business,education
0.31919497295931054,https://ror.org/03gvsr558,KZ,Nur-Sultan,KAZGUU University,education
0.30475813447801037,https://ror.org/05vzasa79,KZ,Almaty,Kurmangazy Kazakh National Conservatory,education
0.27236829055115225,https://ror.org/02z23mj13,KZ,Almaty,Kazakh Eye Research Institute,healthcare
0.2626551076261573,https://ror.org/02q35ve03,KZ,Almaty,Kazakh Ablai Khan University of International Relations and World Languages,education
0.21942940828430516,https://ror.org/01mgaqp12,KZ,Aktobe,Aktobe Regional State University named after K.Zhubanov,education
0.2129430550949869,https://ror.org/025hwk980,KZ,Shymkent,South Kazakhstan Medical Academy,education
0.2090555084211509,https://ror.org/05xx3wf87,KZ,Almaty,Institute of Mathematics and Mathematical Modeling,government
0.20682452704952622,https://ror.org/038mavt60,KZ,Nur-Sultan,Astana Medical University,education
0.1598091196736501,https://ror.org/024cz2s53,KZ,Karaganda,Karaganda Medical University,education
0.14722516219431492,https://ror.org/00kc94n51,KZ,Almaty,Kazakh National Women's Teacher Training University,education
0.13240371119700964,https://ror.org/02zr5p933,KZ,Temirtau,Karaganda State Industrial University,education
0.12952517615333875,https://ror.org/00zgt9663,KZ,Semey,Alikhan Bokeikhan University,education
0.08369822041039901,https://ror.org/00rhgqg04,KZ,Almaty,Almaty Management University,education
0.07702828000554597,https://ror.org/020cpsb96,KZ,Almaty,Satbayev University,education
0.037498850568385436,https://ror.org/00vj0q898,KZ,Ust-Kamenogorsk,Sarsen Amanzholov East Kazakhstan University,education
0.011701277634963697,https://ror.org/05nmhtv58,KZ,Atyrau,Atyrau State University named of Kh.Dosmukhamedova,education
0.010191714464513158,https://ror.org/00cae8n39,KZ,Aktau,Yessenov University,education
0.0,https://ror.org/0033gxm08,KZ,Oral,Mahambet Otemiusly West Kazakhstan University,education
0.0,https://ror.org/028m4pg81,KZ,Almaty,Kazakh Scientific Research Veterinary Institute,facility
0.0,https://ror.org/04ehpm154,KZ,Aktobe,West Kazakhstan Marat Ospanov State Medical University,education
-0.05921313607078907,https://ror.org/024j7nb58,KZ,Pavlodar,Pavlodar State Pedagogical University,education
-0.06401920014550853,https://ror.org/01pk2ck74,KZ,Almaty,KIMEP University,education
-0.09209994193244102,https://ror.org/00eq8hh49,KZ,Karagandy,Karagandy State University,education
