Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/0033gxm08 -> https://ror.org/0033gxm08,https://ror.org/0033gxm08,https://ror.org/0033gxm08,KZ,KZ,Oral,Oral,Mahambet Otemiusly West Kazakhstan University,Mahambet Otemiusly West Kazakhstan University,education,education
1,https://ror.org/00cae8n39 -> https://ror.org/02s8x5a25,https://ror.org/00cae8n39,https://ror.org/02s8x5a25,KZ,KZ,Aktau,Almaty,Yessenov University,Suleyman Demirel University,education,education
18,https://ror.org/00eq8hh49 -> https://ror.org/00eq8hh49,https://ror.org/00eq8hh49,https://ror.org/00eq8hh49,KZ,KZ,Karagandy,Karagandy,Karagandy State University,Karagandy State University,education,education
1,https://ror.org/00eq8hh49 -> https://ror.org/00rhgqg04,https://ror.org/00eq8hh49,https://ror.org/00rhgqg04,KZ,KZ,Karagandy,Almaty,Karagandy State University,Almaty Management University,education,education
1,https://ror.org/00eq8hh49 -> https://ror.org/0242cby63,https://ror.org/00eq8hh49,https://ror.org/0242cby63,KZ,KZ,Karagandy,Nur-Sultan,Karagandy State University,L. N. Gumilyov Eurasian National University,education,education
1,https://ror.org/00eq8hh49 -> https://ror.org/024cz2s53,https://ror.org/00eq8hh49,https://ror.org/024cz2s53,KZ,KZ,Karagandy,Karaganda,Karagandy State University,Karaganda Medical University,education,education
1,https://ror.org/00eq8hh49 -> https://ror.org/0352wb750,https://ror.org/00eq8hh49,https://ror.org/0352wb750,KZ,KZ,Karagandy,Petropavl,Karagandy State University,Manash Kozybayev North Kazakhstan University,education,education
1,https://ror.org/00eq8hh49 -> https://ror.org/03x368n87,https://ror.org/00eq8hh49,https://ror.org/03x368n87,KZ,KZ,Karagandy,Karagandy,Karagandy State University,Karaganda State Technical University,education,education
1,https://ror.org/00eq8hh49 -> https://ror.org/054r9x893,https://ror.org/00eq8hh49,https://ror.org/054r9x893,KZ,KZ,Karagandy,Nur-Sultan,Karagandy State University,Kazakh University of Technology and Business,education,education
1,https://ror.org/00kc94n51 -> https://ror.org/02s8x5a25,https://ror.org/00kc94n51,https://ror.org/02s8x5a25,KZ,KZ,Almaty,Almaty,Kazakh National Women's Teacher Training University,Suleyman Demirel University,education,education
1,https://ror.org/00kc94n51 -> https://ror.org/0336rcx12,https://ror.org/00kc94n51,https://ror.org/0336rcx12,KZ,KZ,Almaty,Kyzylorda,Kazakh National Women's Teacher Training University,Korkyt Ata Kyzylorda State University,education,education
1,https://ror.org/00kc94n51 -> https://ror.org/03q0vrn42,https://ror.org/00kc94n51,https://ror.org/03q0vrn42,KZ,KZ,Almaty,Almaty,Kazakh National Women's Teacher Training University,Al-Farabi Kazakh National University,education,education
2,https://ror.org/00rhgqg04 -> https://ror.org/00rhgqg04,https://ror.org/00rhgqg04,https://ror.org/00rhgqg04,KZ,KZ,Almaty,Almaty,Almaty Management University,Almaty Management University,education,education
1,https://ror.org/00rhgqg04 -> https://ror.org/01rvqzw67,https://ror.org/00rhgqg04,https://ror.org/01rvqzw67,KZ,KZ,Almaty,Almaty,Almaty Management University,University of International Business,education,education
1,https://ror.org/00rhgqg04 -> https://ror.org/05pc6w891,https://ror.org/00rhgqg04,https://ror.org/05pc6w891,KZ,KZ,Almaty,Almaty,Almaty Management University,Kazakh National Medical University,education,education
4,https://ror.org/00vj0q898 -> https://ror.org/00vj0q898,https://ror.org/00vj0q898,https://ror.org/00vj0q898,KZ,KZ,Ust-Kamenogorsk,Ust-Kamenogorsk,Sarsen Amanzholov East Kazakhstan University,Sarsen Amanzholov East Kazakhstan University,education,education
2,https://ror.org/00vj0q898 -> https://ror.org/02xbhbx68,https://ror.org/00vj0q898,https://ror.org/02xbhbx68,KZ,KZ,Ust-Kamenogorsk,Ust-Kamenogorsk,Sarsen Amanzholov East Kazakhstan University,D. Serikbayev East Kazakhstan State Technical University,education,education
1,https://ror.org/00vj0q898 -> https://ror.org/03q0vrn42,https://ror.org/00vj0q898,https://ror.org/03q0vrn42,KZ,KZ,Ust-Kamenogorsk,Almaty,Sarsen Amanzholov East Kazakhstan University,Al-Farabi Kazakh National University,education,education
1,https://ror.org/00zgt9663 -> https://ror.org/052q3p191,https://ror.org/00zgt9663,https://ror.org/052q3p191,KZ,KZ,Semey,Semey,Alikhan Bokeikhan University,Shakarim State University Of Semey,education,education
4,https://ror.org/014kyp779 -> https://ror.org/014kyp779,https://ror.org/014kyp779,https://ror.org/014kyp779,KZ,KZ,Taraz,Taraz,M. Kh Dulati Taraz State University,M. Kh Dulati Taraz State University,education,education
2,https://ror.org/014kyp779 -> https://ror.org/024etxn40,https://ror.org/014kyp779,https://ror.org/024etxn40,KZ,KZ,Taraz,Nur-Sultan,M. Kh Dulati Taraz State University,S.Seifullin Kazakh Agro Technical University,education,education
13,https://ror.org/017wmdt28 -> https://ror.org/017wmdt28,https://ror.org/017wmdt28,https://ror.org/017wmdt28,KZ,KZ,Pavlodar,Pavlodar,S. Toraighyrov Pavlodar State University,S. Toraighyrov Pavlodar State University,education,education
1,https://ror.org/017wmdt28 -> https://ror.org/0242cby63,https://ror.org/017wmdt28,https://ror.org/0242cby63,KZ,KZ,Pavlodar,Nur-Sultan,S. Toraighyrov Pavlodar State University,L. N. Gumilyov Eurasian National University,education,education
1,https://ror.org/017wmdt28 -> https://ror.org/0417k2898,https://ror.org/017wmdt28,https://ror.org/0417k2898,KZ,KZ,Pavlodar,Pavlodar,S. Toraighyrov Pavlodar State University,Innovative University of Eurasia,education,education
7,https://ror.org/01gtvs751 -> https://ror.org/01gtvs751,https://ror.org/01gtvs751,https://ror.org/01gtvs751,KZ,KZ,Turkestan,Turkestan,Ahmet Yesevi University,Ahmet Yesevi University,education,education
4,https://ror.org/01mgaqp12 -> https://ror.org/01mgaqp12,https://ror.org/01mgaqp12,https://ror.org/01mgaqp12,KZ,KZ,Aktobe,Aktobe,Aktobe Regional State University named after K.Zhubanov,Aktobe Regional State University named after K.Zhubanov,education,education
1,https://ror.org/01mgaqp12 -> https://ror.org/0242cby63,https://ror.org/01mgaqp12,https://ror.org/0242cby63,KZ,KZ,Aktobe,Nur-Sultan,Aktobe Regional State University named after K.Zhubanov,L. N. Gumilyov Eurasian National University,education,education
1,https://ror.org/01mgaqp12 -> https://ror.org/02s8x5a25,https://ror.org/01mgaqp12,https://ror.org/02s8x5a25,KZ,KZ,Aktobe,Almaty,Aktobe Regional State University named after K.Zhubanov,Suleyman Demirel University,education,education
1,https://ror.org/01mgaqp12 -> https://ror.org/03q0vrn42,https://ror.org/01mgaqp12,https://ror.org/03q0vrn42,KZ,KZ,Aktobe,Almaty,Aktobe Regional State University named after K.Zhubanov,Al-Farabi Kazakh National University,education,education
