OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.0328669272020583,https://ror.org/038hwvh16,LB,Beirut,École Supérieure des Affaires,education
0.6104265543384608,https://ror.org/01csc7562,LB,Beirut,Middle East University,education
0.44647635902232047,https://ror.org/04bgbsx11,LB,Tripoli,Jinan University,education
0.3107162636403528,https://ror.org/03gc39678,LB,Baabda,Antonine University,education
0.03277228566257336,https://ror.org/044fxjq88,LB,Beirut,Saint Joseph University,education
0.0,https://ror.org/00x9ewr78,LB,Beirut,National Council for Scientific Research,government
0.0,https://ror.org/02t9nm044,LB,Beirut,Institut français du Proche-Orient,facility
0.0,https://ror.org/0322dgg87,LB,Beirut,American University of Culture and Education,education
-0.00010396136063904544,https://ror.org/00bzckd95,LB,Beirut,"Arts, Sciences and Technology University in Lebanon",education
-0.004073771454296418,https://ror.org/05g06bh89,LB,Beirut,Holy Spirit University of Kaslik,education
-0.3094250279078309,https://ror.org/04pznsd21,LB,Beirut,American University of Beirut,education
-0.3897240037328736,https://ror.org/01xvwxv41,LB,Tripoli,University of Balamand,education
-0.4925875504423969,https://ror.org/00vnpja80,LB,Beirut,Modern University for Business and Science,education
-0.5536803552049364,https://ror.org/05x6qnc69,LB,Beirut,Lebanese University,education
-0.5620718230734233,https://ror.org/03hn03h23,LB,Beirut,Université La Sagesse,education
-0.6293334474261456,https://ror.org/02jya5567,LB,Beirut,Beirut Arab University,education
-0.6894380499924349,https://ror.org/00hqkan37,LB,Beirut,Lebanese American University,education
-0.7241346513741113,https://ror.org/05x5rpn21,LB,Jbaïl,American University of Technology,education
-0.8683004614647303,https://ror.org/034agrd14,LB,Beirut,Lebanese International University,education
-0.913808339108323,https://ror.org/04spwz235,LB,Beirut,American University of Science and Technology,education
-0.9671671382937613,https://ror.org/04w1m5n60,LB,Beirut,Hôtel-Dieu de France,healthcare
-1.0039208000387287,https://ror.org/04frhb927,LB,Beirut,Global University,education
-1.0040085243295895,https://ror.org/0367ee363,LB,Jbaïl,Centre Hospitalier Universitaire Notre Dame des Secours,healthcare
-1.0346394947231743,https://ror.org/030br0314,LB,Byblos,Notre Dame University – Louaize,education
-1.066196439800934,https://ror.org/00wmm6v75,LB,Beirut,American University of Beirut Medical Center,healthcare
-1.1985048202167439,https://ror.org/03y0sm881,LB,Beirut,Haigazian University,education
-1.4222198916130264,https://ror.org/00x1fdr51,LB,Beirut,Rafik Hariri University,education
-1.5064918042923414,https://ror.org/040eqhp13,LB,Beirut,Islamic University of Lebanon,education
-1.5535481852503286,https://ror.org/03q750z50,LB,Beirut,Lebanese Canadian University,education
-1.5535481852503286,https://ror.org/03x9g7m54,LB,Beirut,Lebanese German University,education
-1.6893082806322943,https://ror.org/05yjz6y13,LB,Beirut,University Medical Center Rizk Hospital,healthcare
-1.868139766284908,https://ror.org/01fjkp854,LB,Beirut,International University of Beirut,education
