Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
3,https://ror.org/00bzckd95 -> https://ror.org/00bzckd95,https://ror.org/00bzckd95,https://ror.org/00bzckd95,LB,LB,Beirut,Beirut,"Arts, Sciences and Technology University in Lebanon","Arts, Sciences and Technology University in Lebanon",education,education
1,https://ror.org/00bzckd95 -> https://ror.org/034agrd14,https://ror.org/00bzckd95,https://ror.org/034agrd14,LB,LB,Beirut,Beirut,"Arts, Sciences and Technology University in Lebanon",Lebanese International University,education,education
1,https://ror.org/00bzckd95 -> https://ror.org/04spwz235,https://ror.org/00bzckd95,https://ror.org/04spwz235,LB,LB,Beirut,Beirut,"Arts, Sciences and Technology University in Lebanon",American University of Science and Technology,education,education
3,https://ror.org/00bzckd95 -> https://ror.org/05x6qnc69,https://ror.org/00bzckd95,https://ror.org/05x6qnc69,LB,LB,Beirut,Beirut,"Arts, Sciences and Technology University in Lebanon",Lebanese University,education,education
24,https://ror.org/00hqkan37 -> https://ror.org/00hqkan37,https://ror.org/00hqkan37,https://ror.org/00hqkan37,LB,LB,Beirut,Beirut,Lebanese American University,Lebanese American University,education,education
2,https://ror.org/00hqkan37 -> https://ror.org/02jya5567,https://ror.org/00hqkan37,https://ror.org/02jya5567,LB,LB,Beirut,Beirut,Lebanese American University,Beirut Arab University,education,education
2,https://ror.org/00hqkan37 -> https://ror.org/030br0314,https://ror.org/00hqkan37,https://ror.org/030br0314,LB,LB,Beirut,Byblos,Lebanese American University,Notre Dame University – Louaize,education,education
1,https://ror.org/00hqkan37 -> https://ror.org/03hn03h23,https://ror.org/00hqkan37,https://ror.org/03hn03h23,LB,LB,Beirut,Beirut,Lebanese American University,Université La Sagesse,education,education
1,https://ror.org/00hqkan37 -> https://ror.org/03y0sm881,https://ror.org/00hqkan37,https://ror.org/03y0sm881,LB,LB,Beirut,Beirut,Lebanese American University,Haigazian University,education,education
12,https://ror.org/00hqkan37 -> https://ror.org/04pznsd21,https://ror.org/00hqkan37,https://ror.org/04pznsd21,LB,LB,Beirut,Beirut,Lebanese American University,American University of Beirut,education,education
3,https://ror.org/00hqkan37 -> https://ror.org/04spwz235,https://ror.org/00hqkan37,https://ror.org/04spwz235,LB,LB,Beirut,Beirut,Lebanese American University,American University of Science and Technology,education,education
3,https://ror.org/00hqkan37 -> https://ror.org/05x6qnc69,https://ror.org/00hqkan37,https://ror.org/05x6qnc69,LB,LB,Beirut,Beirut,Lebanese American University,Lebanese University,education,education
1,https://ror.org/00hqkan37 -> https://ror.org/05yjz6y13,https://ror.org/00hqkan37,https://ror.org/05yjz6y13,LB,LB,Beirut,Beirut,Lebanese American University,University Medical Center Rizk Hospital,education,healthcare
2,https://ror.org/00vnpja80 -> https://ror.org/05x6qnc69,https://ror.org/00vnpja80,https://ror.org/05x6qnc69,LB,LB,Beirut,Beirut,Modern University for Business and Science,Lebanese University,education,education
2,https://ror.org/00wmm6v75 -> https://ror.org/04pznsd21,https://ror.org/00wmm6v75,https://ror.org/04pznsd21,LB,LB,Beirut,Beirut,American University of Beirut Medical Center,American University of Beirut,healthcare,education
1,https://ror.org/00wmm6v75 -> https://ror.org/05x6qnc69,https://ror.org/00wmm6v75,https://ror.org/05x6qnc69,LB,LB,Beirut,Beirut,American University of Beirut Medical Center,Lebanese University,healthcare,education
1,https://ror.org/00x1fdr51 -> https://ror.org/00x1fdr51,https://ror.org/00x1fdr51,https://ror.org/00x1fdr51,LB,LB,Beirut,Beirut,Rafik Hariri University,Rafik Hariri University,education,education
1,https://ror.org/00x9ewr78 -> https://ror.org/00x9ewr78,https://ror.org/00x9ewr78,https://ror.org/00x9ewr78,LB,LB,Beirut,Beirut,National Council for Scientific Research,National Council for Scientific Research,government,government
1,https://ror.org/01csc7562 -> https://ror.org/01xvwxv41,https://ror.org/01csc7562,https://ror.org/01xvwxv41,LB,LB,Beirut,Tripoli,Middle East University,University of Balamand,education,education
1,https://ror.org/01xvwxv41 -> https://ror.org/00hqkan37,https://ror.org/01xvwxv41,https://ror.org/00hqkan37,LB,LB,Tripoli,Beirut,University of Balamand,Lebanese American University,education,education
2,https://ror.org/01xvwxv41 -> https://ror.org/00wmm6v75,https://ror.org/01xvwxv41,https://ror.org/00wmm6v75,LB,LB,Tripoli,Beirut,University of Balamand,American University of Beirut Medical Center,education,healthcare
25,https://ror.org/01xvwxv41 -> https://ror.org/01xvwxv41,https://ror.org/01xvwxv41,https://ror.org/01xvwxv41,LB,LB,Tripoli,Tripoli,University of Balamand,University of Balamand,education,education
2,https://ror.org/01xvwxv41 -> https://ror.org/030br0314,https://ror.org/01xvwxv41,https://ror.org/030br0314,LB,LB,Tripoli,Byblos,University of Balamand,Notre Dame University – Louaize,education,education
10,https://ror.org/01xvwxv41 -> https://ror.org/04pznsd21,https://ror.org/01xvwxv41,https://ror.org/04pznsd21,LB,LB,Tripoli,Beirut,University of Balamand,American University of Beirut,education,education
1,https://ror.org/01xvwxv41 -> https://ror.org/04spwz235,https://ror.org/01xvwxv41,https://ror.org/04spwz235,LB,LB,Tripoli,Beirut,University of Balamand,American University of Science and Technology,education,education
1,https://ror.org/01xvwxv41 -> https://ror.org/05x6qnc69,https://ror.org/01xvwxv41,https://ror.org/05x6qnc69,LB,LB,Tripoli,Beirut,University of Balamand,Lebanese University,education,education
1,https://ror.org/02jya5567 -> https://ror.org/00hqkan37,https://ror.org/02jya5567,https://ror.org/00hqkan37,LB,LB,Beirut,Beirut,Beirut Arab University,Lebanese American University,education,education
1,https://ror.org/02jya5567 -> https://ror.org/00x1fdr51,https://ror.org/02jya5567,https://ror.org/00x1fdr51,LB,LB,Beirut,Beirut,Beirut Arab University,Rafik Hariri University,education,education
1,https://ror.org/02jya5567 -> https://ror.org/01xvwxv41,https://ror.org/02jya5567,https://ror.org/01xvwxv41,LB,LB,Beirut,Tripoli,Beirut Arab University,University of Balamand,education,education
43,https://ror.org/02jya5567 -> https://ror.org/02jya5567,https://ror.org/02jya5567,https://ror.org/02jya5567,LB,LB,Beirut,Beirut,Beirut Arab University,Beirut Arab University,education,education
5,https://ror.org/02jya5567 -> https://ror.org/034agrd14,https://ror.org/02jya5567,https://ror.org/034agrd14,LB,LB,Beirut,Beirut,Beirut Arab University,Lebanese International University,education,education
1,https://ror.org/02jya5567 -> https://ror.org/044fxjq88,https://ror.org/02jya5567,https://ror.org/044fxjq88,LB,LB,Beirut,Beirut,Beirut Arab University,Saint Joseph University,education,education
6,https://ror.org/02jya5567 -> https://ror.org/04pznsd21,https://ror.org/02jya5567,https://ror.org/04pznsd21,LB,LB,Beirut,Beirut,Beirut Arab University,American University of Beirut,education,education
1,https://ror.org/02jya5567 -> https://ror.org/04spwz235,https://ror.org/02jya5567,https://ror.org/04spwz235,LB,LB,Beirut,Beirut,Beirut Arab University,American University of Science and Technology,education,education
6,https://ror.org/02jya5567 -> https://ror.org/05x6qnc69,https://ror.org/02jya5567,https://ror.org/05x6qnc69,LB,LB,Beirut,Beirut,Beirut Arab University,Lebanese University,education,education
1,https://ror.org/02t9nm044 -> https://ror.org/02t9nm044,https://ror.org/02t9nm044,https://ror.org/02t9nm044,LB,LB,Beirut,Beirut,Institut français du Proche-Orient,Institut français du Proche-Orient,facility,facility
8,https://ror.org/030br0314 -> https://ror.org/030br0314,https://ror.org/030br0314,https://ror.org/030br0314,LB,LB,Byblos,Byblos,Notre Dame University – Louaize,Notre Dame University – Louaize,education,education
1,https://ror.org/030br0314 -> https://ror.org/05g06bh89,https://ror.org/030br0314,https://ror.org/05g06bh89,LB,LB,Byblos,Beirut,Notre Dame University – Louaize,Holy Spirit University of Kaslik,education,education
4,https://ror.org/030br0314 -> https://ror.org/05x6qnc69,https://ror.org/030br0314,https://ror.org/05x6qnc69,LB,LB,Byblos,Beirut,Notre Dame University – Louaize,Lebanese University,education,education
1,https://ror.org/0322dgg87 -> https://ror.org/0322dgg87,https://ror.org/0322dgg87,https://ror.org/0322dgg87,LB,LB,Beirut,Beirut,American University of Culture and Education,American University of Culture and Education,education,education
1,https://ror.org/034agrd14 -> https://ror.org/00hqkan37,https://ror.org/034agrd14,https://ror.org/00hqkan37,LB,LB,Beirut,Beirut,Lebanese International University,Lebanese American University,education,education
1,https://ror.org/034agrd14 -> https://ror.org/01fjkp854,https://ror.org/034agrd14,https://ror.org/01fjkp854,LB,LB,Beirut,Beirut,Lebanese International University,International University of Beirut,education,education
1,https://ror.org/034agrd14 -> https://ror.org/02jya5567,https://ror.org/034agrd14,https://ror.org/02jya5567,LB,LB,Beirut,Beirut,Lebanese International University,Beirut Arab University,education,education
