Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
3,https://ror.org/007vzmy24 -> https://ror.org/007vzmy24,https://ror.org/007vzmy24,https://ror.org/007vzmy24,LK,LK,Ampara,Ampara,South Eastern University of Sri Lanka,South Eastern University of Sri Lanka,education,education
1,https://ror.org/007vzmy24 -> https://ror.org/02a37a132,https://ror.org/007vzmy24,https://ror.org/02a37a132,LK,LK,Ampara,Colombo,South Eastern University of Sri Lanka,International College of Business and Technology,education,education
4,https://ror.org/00fhk4582 -> https://ror.org/007vzmy24,https://ror.org/00fhk4582,https://ror.org/007vzmy24,LK,LK,Colombo,Ampara,Sri Lanka Institute of Information Technology,South Eastern University of Sri Lanka,education,education
20,https://ror.org/00fhk4582 -> https://ror.org/00fhk4582,https://ror.org/00fhk4582,https://ror.org/00fhk4582,LK,LK,Colombo,Colombo,Sri Lanka Institute of Information Technology,Sri Lanka Institute of Information Technology,education,education
1,https://ror.org/00fhk4582 -> https://ror.org/02r91my29,https://ror.org/00fhk4582,https://ror.org/02r91my29,LK,LK,Colombo,Kelaniya,Sri Lanka Institute of Information Technology,University of Kelaniya,education,education
1,https://ror.org/00fhk4582 -> https://ror.org/02rm76t37,https://ror.org/00fhk4582,https://ror.org/02rm76t37,LK,LK,Colombo,Colombo,Sri Lanka Institute of Information Technology,University of Sri Jayewardenepura,education,education
1,https://ror.org/00fhk4582 -> https://ror.org/033jvzr14,https://ror.org/00fhk4582,https://ror.org/033jvzr14,LK,LK,Colombo,Galle,Sri Lanka Institute of Information Technology,University of Ruhuna,education,education
1,https://ror.org/00fhk4582 -> https://ror.org/043yykt67,https://ror.org/00fhk4582,https://ror.org/043yykt67,LK,LK,Colombo,Kuliyapitiya,Sri Lanka Institute of Information Technology,Wayamba University of Sri Lanka,education,education
1,https://ror.org/00fhk4582 -> https://ror.org/045vwzt11,https://ror.org/00fhk4582,https://ror.org/045vwzt11,LK,LK,Colombo,Ratnapura,Sri Lanka Institute of Information Technology,Sabaragamuwa University of Sri Lanka,education,education
1,https://ror.org/00fhk4582 -> https://ror.org/0491f5305,https://ror.org/00fhk4582,https://ror.org/0491f5305,LK,LK,Colombo,Moratuwa,Sri Lanka Institute of Information Technology,University of Moratuwa,education,education
2,https://ror.org/00fhk4582 -> https://ror.org/04n37he08,https://ror.org/00fhk4582,https://ror.org/04n37he08,LK,LK,Colombo,Colombo,Sri Lanka Institute of Information Technology,General Sir John Kotelawala Defence University,education,education
1,https://ror.org/011rrqf91 -> https://ror.org/011rrqf91,https://ror.org/011rrqf91,https://ror.org/011rrqf91,LK,LK,Colombo,Colombo,Open University of Sri Lanka,Open University of Sri Lanka,education,education
3,https://ror.org/011rrqf91 -> https://ror.org/01jrs3715,https://ror.org/011rrqf91,https://ror.org/01jrs3715,LK,LK,Colombo,Batticaloa,Open University of Sri Lanka,"Eastern University, Sri Lanka",education,education
1,https://ror.org/011rrqf91 -> https://ror.org/025h79t26,https://ror.org/011rrqf91,https://ror.org/025h79t26,LK,LK,Colombo,Kandy,Open University of Sri Lanka,University of Peradeniya,education,education
1,https://ror.org/011rrqf91 -> https://ror.org/02d4te065,https://ror.org/011rrqf91,https://ror.org/02d4te065,LK,LK,Colombo,Padukka,Open University of Sri Lanka,Sri Lanka Technological Campus,education,education
4,https://ror.org/011rrqf91 -> https://ror.org/02phn5242,https://ror.org/011rrqf91,https://ror.org/02phn5242,LK,LK,Colombo,Colombo,Open University of Sri Lanka,University of Colombo,education,education
1,https://ror.org/011rrqf91 -> https://ror.org/02r91my29,https://ror.org/011rrqf91,https://ror.org/02r91my29,LK,LK,Colombo,Kelaniya,Open University of Sri Lanka,University of Kelaniya,education,education
1,https://ror.org/011rrqf91 -> https://ror.org/02rm76t37,https://ror.org/011rrqf91,https://ror.org/02rm76t37,LK,LK,Colombo,Colombo,Open University of Sri Lanka,University of Sri Jayewardenepura,education,education
1,https://ror.org/011rrqf91 -> https://ror.org/033jvzr14,https://ror.org/011rrqf91,https://ror.org/033jvzr14,LK,LK,Colombo,Galle,Open University of Sri Lanka,University of Ruhuna,education,education
1,https://ror.org/011rrqf91 -> https://ror.org/045vwzt11,https://ror.org/011rrqf91,https://ror.org/045vwzt11,LK,LK,Colombo,Ratnapura,Open University of Sri Lanka,Sabaragamuwa University of Sri Lanka,education,education
3,https://ror.org/011rrqf91 -> https://ror.org/0491f5305,https://ror.org/011rrqf91,https://ror.org/0491f5305,LK,LK,Colombo,Moratuwa,Open University of Sri Lanka,University of Moratuwa,education,education
1,https://ror.org/011rrqf91 -> https://ror.org/04dd86x86,https://ror.org/011rrqf91,https://ror.org/04dd86x86,LK,LK,Colombo,Anuradhapura,Open University of Sri Lanka,Rajarata University of Sri Lanka,education,education
