OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.1378003989625747,https://ror.org/020y5qm10,LT,Vilnius,Ministry of Health of the Republic of Lithuania,government
0.8268681462479301,https://ror.org/00z2thw25,LT,Vilnius,Ekspla (Lithuania),company
0.5779408859183158,https://ror.org/05p8tp630,LT,Vilnius,International Business School at Vilnius University,education
0.5708554399304114,https://ror.org/007t3j908,LT,Kaunas,Aleksandras Stulginskis University,education
0.33608410822090734,https://ror.org/01me6gb93,LT,Kaunas,Kaunas University of Technology,education
0.29908773183779674,https://ror.org/05r42kg44,LT,Vilnius,Vilnius Academy of Arts,education
0.1759467675936214,https://ror.org/05rky1t53,LT,Kaunas,ISM University of Management and Economics,education
0.13759086931553266,https://ror.org/03nadee84,LT,Vilnius,Vilnius University,education
0.05228854587861127,https://ror.org/025yaka09,LT,Vilnius,Lithuanian Social Research Centre,other
0.04296051843018392,https://ror.org/04y7eh037,LT,Kaunas,Vytautas Magnus University,education
3.0916277294371574e-05,https://ror.org/0052k0e03,LT,Vilnius,Mykolas Romeris University,education
-0.003931172896903673,https://ror.org/04b62yp82,LT,Vilnius,Lithuanian University of Educational Sciences,education
-0.09162542397972383,https://ror.org/033rfce62,LT,Šiauliai,Šiauliai University,education
-0.1731448635108528,https://ror.org/02x3e4q36,LT,Vilnius,Vilnius Gediminas Technical University,education
-0.30205026192202705,https://ror.org/0069bkg23,LT,Kaunas,Lithuanian University of Health Sciences,education
-0.3201247380545862,https://ror.org/0350e0c50,LT,Kaunas,Lithuanian Energy Institute,nonprofit
-0.3303733741887556,https://ror.org/00hxk7s55,LT,Kaunas,Lithuanian Sports University,education
-0.333986966682025,https://ror.org/02qr8jq33,LT,Vilnius,Lithuanian Academy of Music and Theatre,education
-0.4760276945828713,https://ror.org/0480smc83,LT,Kaunas,Lithuanian Research Centre for Agriculture and Forestry,facility
-0.5550730878071433,https://ror.org/010310r32,LT,Vilnius,Center for Physical Sciences and Technology,facility
-0.6022005241763656,https://ror.org/02e16g411,LT,Vilnius,Lithuanian Centre for Social Sciences,government
-0.6329828941379013,https://ror.org/052hz8t89,LT,Vilnius,Lithuanian Institute of History,education
-0.6636951208745825,https://ror.org/05q4md098,LT,Utena,Utena University of Applied Sciences,education
-0.6638926282087488,https://ror.org/01wc38255,LT,Vilnius,Applied Research Institute for Prospective Technologies,nonprofit
-0.6874985111664469,https://ror.org/035gfy236,LT,Vilnius,Lithuanian Academy of Sciences,other
-0.7616066040364059,https://ror.org/050khj261,LT,Marijampolė,Marijampole College,education
-0.7620170152921799,https://ror.org/027sdcz20,LT,Klaipėda,Klaipėda University,education
-0.7627341944490906,https://ror.org/050gfgn67,LT,Vilnius,Institute of Lithuanian Literature and Folklore,facility
-0.7706977349216759,https://ror.org/00zqn6a72,LT,Vilnius,State Research Institute Centre for Innovative Medicine,facility
-0.7730202999159378,https://ror.org/0468tgh79,LT,Vilnius,Nature Research Centre,government
-0.7743286627742663,https://ror.org/0590pq693,LT,Vilnius,Vilnius University Hospital Santariskiu Klinikos,healthcare
