Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
61,https://ror.org/0052k0e03 -> https://ror.org/0052k0e03,https://ror.org/0052k0e03,https://ror.org/0052k0e03,LT,LT,Vilnius,Vilnius,Mykolas Romeris University,Mykolas Romeris University,education,education
1,https://ror.org/0052k0e03 -> https://ror.org/007t3j908,https://ror.org/0052k0e03,https://ror.org/007t3j908,LT,LT,Vilnius,Kaunas,Mykolas Romeris University,Aleksandras Stulginskis University,education,education
1,https://ror.org/0052k0e03 -> https://ror.org/00hxk7s55,https://ror.org/0052k0e03,https://ror.org/00hxk7s55,LT,LT,Vilnius,Kaunas,Mykolas Romeris University,Lithuanian Sports University,education,education
1,https://ror.org/0052k0e03 -> https://ror.org/01me6gb93,https://ror.org/0052k0e03,https://ror.org/01me6gb93,LT,LT,Vilnius,Kaunas,Mykolas Romeris University,Kaunas University of Technology,education,education
1,https://ror.org/0052k0e03 -> https://ror.org/027sdcz20,https://ror.org/0052k0e03,https://ror.org/027sdcz20,LT,LT,Vilnius,Klaipėda,Mykolas Romeris University,Klaipėda University,education,education
2,https://ror.org/0052k0e03 -> https://ror.org/02e16g411,https://ror.org/0052k0e03,https://ror.org/02e16g411,LT,LT,Vilnius,Vilnius,Mykolas Romeris University,Lithuanian Centre for Social Sciences,education,government
8,https://ror.org/0052k0e03 -> https://ror.org/02x3e4q36,https://ror.org/0052k0e03,https://ror.org/02x3e4q36,LT,LT,Vilnius,Vilnius,Mykolas Romeris University,Vilnius Gediminas Technical University,education,education
1,https://ror.org/0052k0e03 -> https://ror.org/033rfce62,https://ror.org/0052k0e03,https://ror.org/033rfce62,LT,LT,Vilnius,Šiauliai,Mykolas Romeris University,Šiauliai University,education,education
1,https://ror.org/0052k0e03 -> https://ror.org/035mr7v54,https://ror.org/0052k0e03,https://ror.org/035mr7v54,LT,LT,Vilnius,Vilnius,Mykolas Romeris University,Lithuanian Institute of Agrarian Economics,education,facility
1,https://ror.org/0052k0e03 -> https://ror.org/03hmgxr98,https://ror.org/0052k0e03,https://ror.org/03hmgxr98,LT,LT,Vilnius,Klaipėda,Mykolas Romeris University,Lithuanian Maritime Academy,education,education
13,https://ror.org/0052k0e03 -> https://ror.org/03nadee84,https://ror.org/0052k0e03,https://ror.org/03nadee84,LT,LT,Vilnius,Vilnius,Mykolas Romeris University,Vilnius University,education,education
7,https://ror.org/0052k0e03 -> https://ror.org/048m2aa35,https://ror.org/0052k0e03,https://ror.org/048m2aa35,LT,LT,Vilnius,Vilnius,Mykolas Romeris University,General Jonas Žemaitis Military Academy of Lithuania,education,government
1,https://ror.org/0052k0e03 -> https://ror.org/04b62yp82,https://ror.org/0052k0e03,https://ror.org/04b62yp82,LT,LT,Vilnius,Vilnius,Mykolas Romeris University,Lithuanian University of Educational Sciences,education,education
1,https://ror.org/0052k0e03 -> https://ror.org/04k414517,https://ror.org/0052k0e03,https://ror.org/04k414517,LT,LT,Vilnius,Vilnius,Mykolas Romeris University,Ministry of Justice of the Republic of Lithuania,education,government
13,https://ror.org/0052k0e03 -> https://ror.org/04y7eh037,https://ror.org/0052k0e03,https://ror.org/04y7eh037,LT,LT,Vilnius,Kaunas,Mykolas Romeris University,Vytautas Magnus University,education,education
2,https://ror.org/0052k0e03 -> https://ror.org/056ad8q42,https://ror.org/0052k0e03,https://ror.org/056ad8q42,LT,LT,Vilnius,Vilnius,Mykolas Romeris University,Kazimieras Simonavičius University,education,education
1,https://ror.org/0052k0e03 -> https://ror.org/05yamzm60,https://ror.org/0052k0e03,https://ror.org/05yamzm60,LT,LT,Vilnius,Klaipėda,Mykolas Romeris University,Lithuania Business University of Applied Science,education,education
