Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
5,https://ror.org/012m8gv78 -> https://ror.org/012m8gv78,https://ror.org/012m8gv78,https://ror.org/012m8gv78,LU,LU,Strassen,Strassen,Luxembourg Institute of Health,Luxembourg Institute of Health,nonprofit,nonprofit
1,https://ror.org/012m8gv78 -> https://ror.org/01t178j62,https://ror.org/012m8gv78,https://ror.org/01t178j62,LU,LU,Strassen,Belvaux,Luxembourg Institute of Health,Luxembourg Institute of Science and Technology,nonprofit,education
10,https://ror.org/01t178j62 -> https://ror.org/01t178j62,https://ror.org/01t178j62,https://ror.org/01t178j62,LU,LU,Belvaux,Belvaux,Luxembourg Institute of Science and Technology,Luxembourg Institute of Science and Technology,education,education
3,https://ror.org/01t178j62 -> https://ror.org/036x5ad56,https://ror.org/01t178j62,https://ror.org/036x5ad56,LU,LU,Belvaux,Luxembourg,Luxembourg Institute of Science and Technology,University of Luxembourg,education,education
1,https://ror.org/036x5ad56 -> https://ror.org/00q8qjx07,https://ror.org/036x5ad56,https://ror.org/00q8qjx07,LU,LU,Luxembourg,Luxembourg,University of Luxembourg,IEE (Luxembourg),education,company
5,https://ror.org/036x5ad56 -> https://ror.org/012m8gv78,https://ror.org/036x5ad56,https://ror.org/012m8gv78,LU,LU,Luxembourg,Strassen,University of Luxembourg,Luxembourg Institute of Health,education,nonprofit
4,https://ror.org/036x5ad56 -> https://ror.org/01t178j62,https://ror.org/036x5ad56,https://ror.org/01t178j62,LU,LU,Luxembourg,Belvaux,University of Luxembourg,Luxembourg Institute of Science and Technology,education,education
1,https://ror.org/036x5ad56 -> https://ror.org/032s56e02,https://ror.org/036x5ad56,https://ror.org/032s56e02,LU,LU,Luxembourg,Mamer,University of Luxembourg,Ceratizit (Luxembourg),education,company
151,https://ror.org/036x5ad56 -> https://ror.org/036x5ad56,https://ror.org/036x5ad56,https://ror.org/036x5ad56,LU,LU,Luxembourg,Luxembourg,University of Luxembourg,University of Luxembourg,education,education
1,https://ror.org/036x5ad56 -> https://ror.org/03xq7w797,https://ror.org/036x5ad56,https://ror.org/03xq7w797,LU,LU,Luxembourg,Luxembourg,University of Luxembourg,Centre Hospitalier de Luxembourg,education,healthcare
8,https://ror.org/036x5ad56 -> https://ror.org/040jf9322,https://ror.org/036x5ad56,https://ror.org/040jf9322,LU,LU,Luxembourg,Esch-sur-Alzette,University of Luxembourg,Luxembourg Institute of Socio-Economic Research,education,facility
3,https://ror.org/036x5ad56 -> https://ror.org/04y798z66,https://ror.org/036x5ad56,https://ror.org/04y798z66,LU,LU,Luxembourg,Dudelange,University of Luxembourg,Laboratoire National de Santé,education,facility
4,https://ror.org/040jf9322 -> https://ror.org/040jf9322,https://ror.org/040jf9322,https://ror.org/040jf9322,LU,LU,Esch-sur-Alzette,Esch-sur-Alzette,Luxembourg Institute of Socio-Economic Research,Luxembourg Institute of Socio-Economic Research,facility,facility
