OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.0639893857937213,https://ror.org/014zenb08,LV,Riga,Jāzeps Vītols Latvian Academy of Music,education
0.9717650379823997,https://ror.org/015j3ky41,LV,Riga,Art Academy of Latvia,education
0.8109007356216901,https://ror.org/03f077y84,LV,Jelgava,Latvia University of Life Sciences and Technologies,education
0.7692230284327497,https://ror.org/01mrkb883,LV,Daugavpils,Daugavpils University,education
0.7306886732082142,https://ror.org/05g3mes96,LV,Riga,University of Latvia,education
0.6612007928854083,https://ror.org/00twb6c09,LV,Riga,Riga Technical University,education
0.45401466173483424,https://ror.org/03nadks56,LV,Riga,Riga Stradiņš University,education
0.4115062302391566,https://ror.org/03f18y477,LV,Riga,Latvian Academy of Culture,education
0.3998906805047748,https://ror.org/01hhj0x41,LV,Riga,Turība University,education
0.3267708773729522,https://ror.org/02vxngq63,LV,Riga,Latvian Academy of Sciences,government
0.27961866303249056,https://ror.org/0510ppv76,LV,Rēzekne,Rēzeknes Augstskola,education
0.21329189952892932,https://ror.org/04xvv6376,LV,Riga,BA School of Business and Finance,education
0.051051507566190736,https://ror.org/01628w679,LV,Riga,Transport and Telecommunication Institute,education
0.02461473092805375,https://ror.org/00ss42h10,LV,Riga,Riga East University Hospital,healthcare
-0.0001925557821074411,https://ror.org/00h1aq868,LV,Riga,Pauls Stradiņš Clinical University Hospital,healthcare
-0.06894024873524,https://ror.org/00pc6v375,LV,Riga,"RISEBA University of Business, Arts and Technology",education
-0.16362156220054766,https://ror.org/03sc6wx59,LV,Ventspils,Ventspils University of Applied Sciences,education
-0.16914654711647664,https://ror.org/02r52cf76,LV,Riga,Baltic International Academy,education
-0.18913141044374887,https://ror.org/03kx37d46,LV,Salaspils,"Latvian State Forest Research Institute ""Silava""",education
-0.24927057196278357,https://ror.org/03jp1kx71,LV,Valmiera,Vidzeme University of Applied Sciences,education
-0.2500943842600446,https://ror.org/02tr1pz26,LV,Riga,Alberta College,education
-0.25521914605140716,https://ror.org/04d6the49,LV,Rēzekne,Rezekne Academy of Technologies,education
-0.26735867910527283,https://ror.org/01gzemj61,LV,Liepāja,University of Liepāja,education
-0.26932093118105876,https://ror.org/01gckhp53,LV,Riga,Latvian Biomedical Research and Study Centre,facility
-0.26934401724127144,https://ror.org/0041k0688,LV,Riga,"Institute of Food Safety, Animal Health and Environment “BIOR”",facility
-0.26934401724127144,https://ror.org/02m6g7c72,LV,Riga,Latvian Institute of Aquatic Ecology,facility
-0.26934401724127144,https://ror.org/05awt9555,LV,Riga,Riga Teacher Training and Educational Management Academy,education
-0.2693601307396009,https://ror.org/02h9hn661,LV,Riga,Latvian Academy of Sport Education,education
-0.2693601307396009,https://ror.org/01qxgsr72,LV,Riga,National Defence Academy of Latvia,education
-0.2693601307396009,https://ror.org/03mazta23,LV,Riga,Ministry of Culture of the Republic of Latvia,government
-0.2693601307396009,https://ror.org/056wwjf73,LV,Riga,Baltic Studies Centre,nonprofit
-0.26940824627243004,https://ror.org/03mhzg809,LV,Riga,ISMA University,education
-0.26940824627243004,https://ror.org/04n0xnb78,LV,Riga,"Latvian Environment, Geology and Meteorology Centre (Latvia)",company
-0.26940824627243004,https://ror.org/055t1w920,LV,Riga,State Education Development Agency,government
-0.2925068315854297,https://ror.org/0055m7z56,LV,Priekuļi,Institute for Environmental Solutions,nonprofit
-0.317427688232372,https://ror.org/027jm4436,LV,Riga,Institute of Physical Energetics,facility
-0.33890252030903056,https://ror.org/00qaje814,LV,Riga,Stockholm School of Economics in Riga,education
-0.33890252030903056,https://ror.org/02hcxaq60,LV,Riga,Ministry of Education and Science,government
-0.3471796509294566,https://ror.org/05tyb9s14,LV,Riga,EKA University of Applied Sciences,education
