Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
2,https://ror.org/00h1aq868 -> https://ror.org/00h1aq868,https://ror.org/00h1aq868,https://ror.org/00h1aq868,LV,LV,Riga,Riga,Pauls Stradiņš Clinical University Hospital,Pauls Stradiņš Clinical University Hospital,healthcare,healthcare
3,https://ror.org/00h1aq868 -> https://ror.org/03nadks56,https://ror.org/00h1aq868,https://ror.org/03nadks56,LV,LV,Riga,Riga,Pauls Stradiņš Clinical University Hospital,Riga Stradiņš University,healthcare,education
1,https://ror.org/00pc6v375 -> https://ror.org/00pc6v375,https://ror.org/00pc6v375,https://ror.org/00pc6v375,LV,LV,Riga,Riga,"RISEBA University of Business, Arts and Technology","RISEBA University of Business, Arts and Technology",education,education
1,https://ror.org/00pc6v375 -> https://ror.org/01gzemj61,https://ror.org/00pc6v375,https://ror.org/01gzemj61,LV,LV,Riga,Liepāja,"RISEBA University of Business, Arts and Technology",University of Liepāja,education,education
1,https://ror.org/00ss42h10 -> https://ror.org/00ss42h10,https://ror.org/00ss42h10,https://ror.org/00ss42h10,LV,LV,Riga,Riga,Riga East University Hospital,Riga East University Hospital,healthcare,healthcare
2,https://ror.org/00ss42h10 -> https://ror.org/03nadks56,https://ror.org/00ss42h10,https://ror.org/03nadks56,LV,LV,Riga,Riga,Riga East University Hospital,Riga Stradiņš University,healthcare,education
1,https://ror.org/00ss42h10 -> https://ror.org/05g3mes96,https://ror.org/00ss42h10,https://ror.org/05g3mes96,LV,LV,Riga,Riga,Riga East University Hospital,University of Latvia,healthcare,education
1,https://ror.org/00twb6c09 -> https://ror.org/0055m7z56,https://ror.org/00twb6c09,https://ror.org/0055m7z56,LV,LV,Riga,Priekuļi,Riga Technical University,Institute for Environmental Solutions,education,nonprofit
1,https://ror.org/00twb6c09 -> https://ror.org/00qaje814,https://ror.org/00twb6c09,https://ror.org/00qaje814,LV,LV,Riga,Riga,Riga Technical University,Stockholm School of Economics in Riga,education,education
438,https://ror.org/00twb6c09 -> https://ror.org/00twb6c09,https://ror.org/00twb6c09,https://ror.org/00twb6c09,LV,LV,Riga,Riga,Riga Technical University,Riga Technical University,education,education
1,https://ror.org/00twb6c09 -> https://ror.org/01628w679,https://ror.org/00twb6c09,https://ror.org/01628w679,LV,LV,Riga,Riga,Riga Technical University,Transport and Telecommunication Institute,education,education
1,https://ror.org/00twb6c09 -> https://ror.org/01hhj0x41,https://ror.org/00twb6c09,https://ror.org/01hhj0x41,LV,LV,Riga,Riga,Riga Technical University,Turība University,education,education
6,https://ror.org/00twb6c09 -> https://ror.org/027jm4436,https://ror.org/00twb6c09,https://ror.org/027jm4436,LV,LV,Riga,Riga,Riga Technical University,Institute of Physical Energetics,education,facility
1,https://ror.org/00twb6c09 -> https://ror.org/02hcxaq60,https://ror.org/00twb6c09,https://ror.org/02hcxaq60,LV,LV,Riga,Riga,Riga Technical University,Ministry of Education and Science,education,government
12,https://ror.org/00twb6c09 -> https://ror.org/02vxngq63,https://ror.org/00twb6c09,https://ror.org/02vxngq63,LV,LV,Riga,Riga,Riga Technical University,Latvian Academy of Sciences,education,government
2,https://ror.org/00twb6c09 -> https://ror.org/03f077y84,https://ror.org/00twb6c09,https://ror.org/03f077y84,LV,LV,Riga,Jelgava,Riga Technical University,Latvia University of Life Sciences and Technologies,education,education
1,https://ror.org/00twb6c09 -> https://ror.org/03nadks56,https://ror.org/00twb6c09,https://ror.org/03nadks56,LV,LV,Riga,Riga,Riga Technical University,Riga Stradiņš University,education,education
1,https://ror.org/00twb6c09 -> https://ror.org/03sc6wx59,https://ror.org/00twb6c09,https://ror.org/03sc6wx59,LV,LV,Riga,Ventspils,Riga Technical University,Ventspils University of Applied Sciences,education,education
1,https://ror.org/00twb6c09 -> https://ror.org/04d6the49,https://ror.org/00twb6c09,https://ror.org/04d6the49,LV,LV,Riga,Rēzekne,Riga Technical University,Rezekne Academy of Technologies,education,education
1,https://ror.org/00twb6c09 -> https://ror.org/04xvv6376,https://ror.org/00twb6c09,https://ror.org/04xvv6376,LV,LV,Riga,Riga,Riga Technical University,BA School of Business and Finance,education,education
21,https://ror.org/00twb6c09 -> https://ror.org/05g3mes96,https://ror.org/00twb6c09,https://ror.org/05g3mes96,LV,LV,Riga,Riga,Riga Technical University,University of Latvia,education,education
1,https://ror.org/00twb6c09 -> https://ror.org/05tyb9s14,https://ror.org/00twb6c09,https://ror.org/05tyb9s14,LV,LV,Riga,Riga,Riga Technical University,EKA University of Applied Sciences,education,education
1,https://ror.org/014zenb08 -> https://ror.org/014zenb08,https://ror.org/014zenb08,https://ror.org/014zenb08,LV,LV,Riga,Riga,Jāzeps Vītols Latvian Academy of Music,Jāzeps Vītols Latvian Academy of Music,education,education
2,https://ror.org/014zenb08 -> https://ror.org/05g3mes96,https://ror.org/014zenb08,https://ror.org/05g3mes96,LV,LV,Riga,Riga,Jāzeps Vītols Latvian Academy of Music,University of Latvia,education,education
1,https://ror.org/015j3ky41 -> https://ror.org/015j3ky41,https://ror.org/015j3ky41,https://ror.org/015j3ky41,LV,LV,Riga,Riga,Art Academy of Latvia,Art Academy of Latvia,education,education
2,https://ror.org/015j3ky41 -> https://ror.org/05g3mes96,https://ror.org/015j3ky41,https://ror.org/05g3mes96,LV,LV,Riga,Riga,Art Academy of Latvia,University of Latvia,education,education
1,https://ror.org/01628w679 -> https://ror.org/00twb6c09,https://ror.org/01628w679,https://ror.org/00twb6c09,LV,LV,Riga,Riga,Transport and Telecommunication Institute,Riga Technical University,education,education
9,https://ror.org/01628w679 -> https://ror.org/01628w679,https://ror.org/01628w679,https://ror.org/01628w679,LV,LV,Riga,Riga,Transport and Telecommunication Institute,Transport and Telecommunication Institute,education,education
2,https://ror.org/01gckhp53 -> https://ror.org/01gckhp53,https://ror.org/01gckhp53,https://ror.org/01gckhp53,LV,LV,Riga,Riga,Latvian Biomedical Research and Study Centre,Latvian Biomedical Research and Study Centre,facility,facility
5,https://ror.org/01gzemj61 -> https://ror.org/01gzemj61,https://ror.org/01gzemj61,https://ror.org/01gzemj61,LV,LV,Liepāja,Liepāja,University of Liepāja,University of Liepāja,education,education
1,https://ror.org/01gzemj61 -> https://ror.org/05g3mes96,https://ror.org/01gzemj61,https://ror.org/05g3mes96,LV,LV,Liepāja,Riga,University of Liepāja,University of Latvia,education,education
1,https://ror.org/01hhj0x41 -> https://ror.org/00twb6c09,https://ror.org/01hhj0x41,https://ror.org/00twb6c09,LV,LV,Riga,Riga,Turība University,Riga Technical University,education,education
1,https://ror.org/01hhj0x41 -> https://ror.org/01hhj0x41,https://ror.org/01hhj0x41,https://ror.org/01hhj0x41,LV,LV,Riga,Riga,Turība University,Turība University,education,education
1,https://ror.org/01hhj0x41 -> https://ror.org/02r52cf76,https://ror.org/01hhj0x41,https://ror.org/02r52cf76,LV,LV,Riga,Riga,Turība University,Baltic International Academy,education,education
1,https://ror.org/01hhj0x41 -> https://ror.org/03nadks56,https://ror.org/01hhj0x41,https://ror.org/03nadks56,LV,LV,Riga,Riga,Turība University,Riga Stradiņš University,education,education
2,https://ror.org/01mrkb883 -> https://ror.org/00twb6c09,https://ror.org/01mrkb883,https://ror.org/00twb6c09,LV,LV,Daugavpils,Riga,Daugavpils University,Riga Technical University,education,education
16,https://ror.org/01mrkb883 -> https://ror.org/01mrkb883,https://ror.org/01mrkb883,https://ror.org/01mrkb883,LV,LV,Daugavpils,Daugavpils,Daugavpils University,Daugavpils University,education,education
3,https://ror.org/01mrkb883 -> https://ror.org/02r52cf76,https://ror.org/01mrkb883,https://ror.org/02r52cf76,LV,LV,Daugavpils,Riga,Daugavpils University,Baltic International Academy,education,education
1,https://ror.org/01mrkb883 -> https://ror.org/02tr1pz26,https://ror.org/01mrkb883,https://ror.org/02tr1pz26,LV,LV,Daugavpils,Riga,Daugavpils University,Alberta College,education,education
3,https://ror.org/01mrkb883 -> https://ror.org/03f077y84,https://ror.org/01mrkb883,https://ror.org/03f077y84,LV,LV,Daugavpils,Jelgava,Daugavpils University,Latvia University of Life Sciences and Technologies,education,education
4,https://ror.org/01mrkb883 -> https://ror.org/04d6the49,https://ror.org/01mrkb883,https://ror.org/04d6the49,LV,LV,Daugavpils,Rēzekne,Daugavpils University,Rezekne Academy of Technologies,education,education
2,https://ror.org/01mrkb883 -> https://ror.org/0510ppv76,https://ror.org/01mrkb883,https://ror.org/0510ppv76,LV,LV,Daugavpils,Rēzekne,Daugavpils University,Rēzeknes Augstskola,education,education
1,https://ror.org/01mrkb883 -> https://ror.org/05g3mes96,https://ror.org/01mrkb883,https://ror.org/05g3mes96,LV,LV,Daugavpils,Riga,Daugavpils University,University of Latvia,education,education
3,https://ror.org/02h9hn661 -> https://ror.org/02h9hn661,https://ror.org/02h9hn661,https://ror.org/02h9hn661,LV,LV,Riga,Riga,Latvian Academy of Sport Education,Latvian Academy of Sport Education,education,education
1,https://ror.org/02r52cf76 -> https://ror.org/01628w679,https://ror.org/02r52cf76,https://ror.org/01628w679,LV,LV,Riga,Riga,Baltic International Academy,Transport and Telecommunication Institute,education,education
1,https://ror.org/02r52cf76 -> https://ror.org/02r52cf76,https://ror.org/02r52cf76,https://ror.org/02r52cf76,LV,LV,Riga,Riga,Baltic International Academy,Baltic International Academy,education,education
3,https://ror.org/02vxngq63 -> https://ror.org/00twb6c09,https://ror.org/02vxngq63,https://ror.org/00twb6c09,LV,LV,Riga,Riga,Latvian Academy of Sciences,Riga Technical University,government,education
1,https://ror.org/02vxngq63 -> https://ror.org/02r52cf76,https://ror.org/02vxngq63,https://ror.org/02r52cf76,LV,LV,Riga,Riga,Latvian Academy of Sciences,Baltic International Academy,government,education
3,https://ror.org/02vxngq63 -> https://ror.org/02vxngq63,https://ror.org/02vxngq63,https://ror.org/02vxngq63,LV,LV,Riga,Riga,Latvian Academy of Sciences,Latvian Academy of Sciences,government,government
2,https://ror.org/02vxngq63 -> https://ror.org/03nadks56,https://ror.org/02vxngq63,https://ror.org/03nadks56,LV,LV,Riga,Riga,Latvian Academy of Sciences,Riga Stradiņš University,government,education
1,https://ror.org/02vxngq63 -> https://ror.org/03sc6wx59,https://ror.org/02vxngq63,https://ror.org/03sc6wx59,LV,LV,Riga,Ventspils,Latvian Academy of Sciences,Ventspils University of Applied Sciences,government,education
3,https://ror.org/02vxngq63 -> https://ror.org/05g3mes96,https://ror.org/02vxngq63,https://ror.org/05g3mes96,LV,LV,Riga,Riga,Latvian Academy of Sciences,University of Latvia,government,education
1,https://ror.org/03f077y84 -> https://ror.org/027jm4436,https://ror.org/03f077y84,https://ror.org/027jm4436,LV,LV,Jelgava,Riga,Latvia University of Life Sciences and Technologies,Institute of Physical Energetics,education,facility
1,https://ror.org/03f077y84 -> https://ror.org/02vxngq63,https://ror.org/03f077y84,https://ror.org/02vxngq63,LV,LV,Jelgava,Riga,Latvia University of Life Sciences and Technologies,Latvian Academy of Sciences,education,government
51,https://ror.org/03f077y84 -> https://ror.org/03f077y84,https://ror.org/03f077y84,https://ror.org/03f077y84,LV,LV,Jelgava,Jelgava,Latvia University of Life Sciences and Technologies,Latvia University of Life Sciences and Technologies,education,education
2,https://ror.org/03f077y84 -> https://ror.org/03jp1kx71,https://ror.org/03f077y84,https://ror.org/03jp1kx71,LV,LV,Jelgava,Valmiera,Latvia University of Life Sciences and Technologies,Vidzeme University of Applied Sciences,education,education
