Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
8,https://ror.org/00taa2s29 -> https://ror.org/00taa2s29,https://ror.org/00taa2s29,https://ror.org/00taa2s29,LY,LY,Tripoli,Tripoli,University of Tripoli,University of Tripoli,education,education
3,https://ror.org/00taa2s29 -> https://ror.org/01wykm490,https://ror.org/00taa2s29,https://ror.org/01wykm490,LY,LY,Tripoli,Al Bayḑā’,University of Tripoli,Omar Al-Mukhtar University,education,education
1,https://ror.org/00taa2s29 -> https://ror.org/03fh7t044,https://ror.org/00taa2s29,https://ror.org/03fh7t044,LY,LY,Tripoli,Benghazi,University of Tripoli,University of Benghazi,education,education
3,https://ror.org/014fcf271 -> https://ror.org/014fcf271,https://ror.org/014fcf271,https://ror.org/014fcf271,LY,LY,Misratah,Misratah,Misurata University,Misurata University,education,education
1,https://ror.org/014fcf271 -> https://ror.org/02ytxkh27,https://ror.org/014fcf271,https://ror.org/02ytxkh27,LY,LY,Misratah,Sirte,Misurata University,Sirte University,education,education
1,https://ror.org/014fcf271 -> https://ror.org/04m1ha467,https://ror.org/014fcf271,https://ror.org/04m1ha467,LY,LY,Misratah,Sabhā,Misurata University,Sebha University,education,education
5,https://ror.org/01wykm490 -> https://ror.org/01wykm490,https://ror.org/01wykm490,https://ror.org/01wykm490,LY,LY,Al Bayḑā’,Al Bayḑā’,Omar Al-Mukhtar University,Omar Al-Mukhtar University,education,education
1,https://ror.org/03fh7t044 -> https://ror.org/01wykm490,https://ror.org/03fh7t044,https://ror.org/01wykm490,LY,LY,Benghazi,Al Bayḑā’,University of Benghazi,Omar Al-Mukhtar University,education,education
15,https://ror.org/03fh7t044 -> https://ror.org/03fh7t044,https://ror.org/03fh7t044,https://ror.org/03fh7t044,LY,LY,Benghazi,Benghazi,University of Benghazi,University of Benghazi,education,education
2,https://ror.org/04m1ha467 -> https://ror.org/04m1ha467,https://ror.org/04m1ha467,https://ror.org/04m1ha467,LY,LY,Sabhā,Sabhā,Sebha University,Sebha University,education,education
1,https://ror.org/056mwwj30 -> https://ror.org/056mwwj30,https://ror.org/056mwwj30,https://ror.org/056mwwj30,LY,LY,Al Khums,Al Khums,University Elmergib,University Elmergib,education,education
2,https://ror.org/05s3qq987 -> https://ror.org/00taa2s29,https://ror.org/05s3qq987,https://ror.org/00taa2s29,LY,LY,Tripoli,Tripoli,Libyan Academy,University of Tripoli,education,education
1,https://ror.org/05s3qq987 -> https://ror.org/014fcf271,https://ror.org/05s3qq987,https://ror.org/014fcf271,LY,LY,Tripoli,Misratah,Libyan Academy,Misurata University,education,education
1,https://ror.org/05s3qq987 -> https://ror.org/01gr30f96,https://ror.org/05s3qq987,https://ror.org/01gr30f96,LY,LY,Tripoli,Zliten,Libyan Academy,Alasmarya Islamic University,education,education
1,https://ror.org/05s3qq987 -> https://ror.org/056mwwj30,https://ror.org/05s3qq987,https://ror.org/056mwwj30,LY,LY,Tripoli,Al Khums,Libyan Academy,University Elmergib,education,education
