OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.21361235305706,https://ror.org/01t9czq80,MA,Sale,International University of Rabat,education
0.6384349837509417,https://ror.org/01ejxf797,MA,Oujda-Angad,Mohamed I University,education
0.603600324845005,https://ror.org/03c4shz64,MA,Tétouan,Abdelmalek Essaâdi University,education
0.4092249622677736,https://ror.org/02wj89n04,MA,Kenitra,Université Ibn-Tofail,education
0.3670769699055986,https://ror.org/03erkev52,MA,Ifrane,Al Akhawayn University,education
0.2730147219659515,https://ror.org/00md3qm14,MA,Rabat,Ecole Mohammadia d'Ingénieurs,education
0.2135965599661613,https://ror.org/00r8w8f84,MA,Rabat,Mohammed V University,education
0.14334641111582982,https://ror.org/04efg9a07,MA,Fes,Sidi Mohamed Ben Abdellah University,education
5.396337741720107e-06,https://ror.org/001q4kn48,MA,Casablanca,University of Hassan II Casablanca,education
0.0,https://ror.org/00675rp98,MA,Rabat,Centre National pour la Recherche Scientifique et Technique (CNRST),government
0.0,https://ror.org/01w1jmq84,MA,Marrakesh,École Normale Supérieure - Marrakech,education
0.0,https://ror.org/02631q704,MA,Casablanca,École Supérieure des Industries du Textile et de l'Habillement,education
0.0,https://ror.org/03ckf5b20,MA,Rabat,Scientific Institute of Rabat,education
0.0,https://ror.org/05fdmhs75,MA,Rabat,Institut National des Sciences de l'Archéologie et du Patrimoine,education
0.0,https://ror.org/05y503v71,MA,Rabat,Institut National de la Recherche Agronomique,facility
-0.14409447207763879,https://ror.org/04xf6nm78,MA,Marrakesh,Cadi Ayyad University,education
-0.3963845141071738,https://ror.org/00qyat195,MA,Rabat,"National Centre for Nuclear Energy, Science and Technology",facility
-0.39639160761036885,https://ror.org/04pry7b16,MA,Tétouan,École Normale Supérieure de Tétouan,education
-0.42052034279158906,https://ror.org/03cdvht47,MA,Settat,Université Hassan 1er,education
-0.4713806023250257,https://ror.org/02m8tb249,MA,Beni Mellal,Université Sultan Moulay Slimane,education
-0.5023914708579124,https://ror.org/04cnscd67,MA,Meknes,Université Moulay Ismail de Meknes,education
-0.5942301761276871,https://ror.org/058gnfy87,MA,Mohammedia,Université Hassan II Mohammedia,education
-0.6523512671120332,https://ror.org/006sgpv47,MA,Agadir,Université Ibn Zohr,education
-0.6623840918294629,https://ror.org/00n7n3773,MA,Rabat,National School of Architecture,education
-0.7269709335448884,https://ror.org/05mktfw05,MA,Rabat,National Telecommunications Regulatory Agency,government
-0.7863874709438102,https://ror.org/045zk7t12,MA,Casablanca,International Academy Mohammed VI of Civil Aviation,education
-0.7863874709438102,https://ror.org/04yb4j419,MA,Casablanca,Institut Pasteur du Maroc,facility
-0.7863874709438102,https://ror.org/059qgcz87,MA,Rabat,Université Internationale Abulcasis des Sciences de la Santé,education
-0.7953735451161951,https://ror.org/00nvwb533,MA,Casablanca,Université Internationale de Casablanca,education
-0.8548484582280336,https://ror.org/03xc55g68,MA,Marrakesh,Université Mohammed VI Polytechnique,education
-0.8566386884256574,https://ror.org/00w9knq58,MA,Rabat,"Ministry of National Education, Vocational Training, Higher Education and Scientific Research",government
-0.9287919802137673,https://ror.org/02hk14q21,MA,Rabat,"Ministère de l'Éducation Nationale, de la Formation Professionnelle, de l'Enseignement Supérieur et de la Recherche Scientifique",government
-0.9999803750090822,https://ror.org/01tezat55,MA,Casablanca,Université Mohammed VI des Sciences de la Santé,education
-0.9999803750090822,https://ror.org/01ye8vh67,MA,Casablanca,Hassania School of Public Works,education
-1.003190850061367,https://ror.org/036kgyt43,MA,El Jadida,Chouaib Doukkali University,education
-1.144077979795836,https://ror.org/03zhpcf80,MA,Casablanca,Institut National de Recherche Halieutique,other
-1.144077979795836,https://ror.org/05c2yb215,MA,Marrakesh,École des Hautes Études Économiques et Commerciales,education
-1.3982146108226923,https://ror.org/05f8qcz72,MA,Rabat,Institut Agronomique et Vétérinaire Hassan II,education
-1.427414794770349,https://ror.org/04g1c5a53,MA,Casablanca,Ecole Centrale Casablanca,education
-1.580498614068156,https://ror.org/02gjqpv16,MA,Rabat,"Moroccan Foundation for Advanced Science, Innovation and Research",nonprofit
