Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
24,https://ror.org/001q4kn48 -> https://ror.org/001q4kn48,https://ror.org/001q4kn48,https://ror.org/001q4kn48,MA,MA,Casablanca,Casablanca,University of Hassan II Casablanca,University of Hassan II Casablanca,education,education
4,https://ror.org/001q4kn48 -> https://ror.org/006sgpv47,https://ror.org/001q4kn48,https://ror.org/006sgpv47,MA,MA,Casablanca,Agadir,University of Hassan II Casablanca,Université Ibn Zohr,education,education
1,https://ror.org/001q4kn48 -> https://ror.org/00n7n3773,https://ror.org/001q4kn48,https://ror.org/00n7n3773,MA,MA,Casablanca,Rabat,University of Hassan II Casablanca,National School of Architecture,education,education
1,https://ror.org/001q4kn48 -> https://ror.org/00nvwb533,https://ror.org/001q4kn48,https://ror.org/00nvwb533,MA,MA,Casablanca,Casablanca,University of Hassan II Casablanca,Université Internationale de Casablanca,education,education
1,https://ror.org/001q4kn48 -> https://ror.org/00r8w8f84,https://ror.org/001q4kn48,https://ror.org/00r8w8f84,MA,MA,Casablanca,Rabat,University of Hassan II Casablanca,Mohammed V University,education,education
1,https://ror.org/001q4kn48 -> https://ror.org/01tezat55,https://ror.org/001q4kn48,https://ror.org/01tezat55,MA,MA,Casablanca,Casablanca,University of Hassan II Casablanca,Université Mohammed VI des Sciences de la Santé,education,education
1,https://ror.org/001q4kn48 -> https://ror.org/01ye8vh67,https://ror.org/001q4kn48,https://ror.org/01ye8vh67,MA,MA,Casablanca,Casablanca,University of Hassan II Casablanca,Hassania School of Public Works,education,education
2,https://ror.org/001q4kn48 -> https://ror.org/02hk14q21,https://ror.org/001q4kn48,https://ror.org/02hk14q21,MA,MA,Casablanca,Rabat,University of Hassan II Casablanca,"Ministère de l'Éducation Nationale, de la Formation Professionnelle, de l'Enseignement Supérieur et de la Recherche Scientifique",education,government
5,https://ror.org/001q4kn48 -> https://ror.org/02m8tb249,https://ror.org/001q4kn48,https://ror.org/02m8tb249,MA,MA,Casablanca,Beni Mellal,University of Hassan II Casablanca,Université Sultan Moulay Slimane,education,education
1,https://ror.org/001q4kn48 -> https://ror.org/03c4shz64,https://ror.org/001q4kn48,https://ror.org/03c4shz64,MA,MA,Casablanca,Tétouan,University of Hassan II Casablanca,Abdelmalek Essaâdi University,education,education
1,https://ror.org/001q4kn48 -> https://ror.org/03cdvht47,https://ror.org/001q4kn48,https://ror.org/03cdvht47,MA,MA,Casablanca,Settat,University of Hassan II Casablanca,Université Hassan 1er,education,education
3,https://ror.org/001q4kn48 -> https://ror.org/03xc55g68,https://ror.org/001q4kn48,https://ror.org/03xc55g68,MA,MA,Casablanca,Marrakesh,University of Hassan II Casablanca,Université Mohammed VI Polytechnique,education,education
