OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
2.4491462708144414,https://ror.org/036kvxa54,MD,Chisinau,Ştefan cel Mare Police Academy,government
2.125085650313856,https://ror.org/04d26v797,MD,Chisinau,Academy of Economic Studies of Moldova,education
2.122865003521353,https://ror.org/01w01n720,MD,Chisinau,Academy of Sciences of Moldova,government
2.0000002906730834,https://ror.org/03q8q9685,MD,Chisinau,Academy of Public Administration,education
1.765245991402343,https://ror.org/01g7fa878,MD,Chisinau,State Agrarian University of Moldova,education
1.6666671089913325,https://ror.org/0475kvb92,MD,Chisinau,Moldova State University,education
1.1228650285860193,https://ror.org/04wd4rg36,MD,Chisinau,Universitatea de Stat din Tiraspol,education
1.0221983819673894,https://ror.org/02b82hk77,MD,Chisinau,Technical University of Moldova,education
1.000000277795003,https://ror.org/03xww6m08,MD,Chisinau,Nicolae Testemițanu State University of Medicine and Pharmacy,education
0.9999999943627949,https://ror.org/02frnkp15,MD,Chisinau,Institute of International Relations of Moldova,education
0.8953212235711617,https://ror.org/024zspx22,MD,Comrat,Comrat State University,education
0.6666671213286791,https://ror.org/000p7dd29,MD,Chisinau,Trade Co-operative University of Moldova,education
0.3333337030199603,https://ror.org/054jx1t36,MD,Chisinau,Free International University of Moldova,education
0.0221983928497385,https://ror.org/05aqyve98,MD,Chisinau,Ion Creangă Pedagogical State University,education
-1.1873054854512805e-08,https://ror.org/016ahab87,MD,Bălţi,Alecu Russo State University of Bălți,education
