Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
2,https://ror.org/016ahab87 -> https://ror.org/016ahab87,https://ror.org/016ahab87,https://ror.org/016ahab87,MD,MD,Bălţi,Bălţi,Alecu Russo State University of Bălți,Alecu Russo State University of Bălți,education,education
2,https://ror.org/01g7fa878 -> https://ror.org/01g7fa878,https://ror.org/01g7fa878,https://ror.org/01g7fa878,MD,MD,Chisinau,Chisinau,State Agrarian University of Moldova,State Agrarian University of Moldova,education,education
5,https://ror.org/01g7fa878 -> https://ror.org/02b82hk77,https://ror.org/01g7fa878,https://ror.org/02b82hk77,MD,MD,Chisinau,Chisinau,State Agrarian University of Moldova,Technical University of Moldova,education,education
2,https://ror.org/01w01n720 -> https://ror.org/01g7fa878,https://ror.org/01w01n720,https://ror.org/01g7fa878,MD,MD,Chisinau,Chisinau,Academy of Sciences of Moldova,State Agrarian University of Moldova,government,education
13,https://ror.org/01w01n720 -> https://ror.org/01w01n720,https://ror.org/01w01n720,https://ror.org/01w01n720,MD,MD,Chisinau,Chisinau,Academy of Sciences of Moldova,Academy of Sciences of Moldova,government,government
1,https://ror.org/01w01n720 -> https://ror.org/024zspx22,https://ror.org/01w01n720,https://ror.org/024zspx22,MD,MD,Chisinau,Comrat,Academy of Sciences of Moldova,Comrat State University,government,education
6,https://ror.org/01w01n720 -> https://ror.org/02b82hk77,https://ror.org/01w01n720,https://ror.org/02b82hk77,MD,MD,Chisinau,Chisinau,Academy of Sciences of Moldova,Technical University of Moldova,government,education
1,https://ror.org/01w01n720 -> https://ror.org/036kvxa54,https://ror.org/01w01n720,https://ror.org/036kvxa54,MD,MD,Chisinau,Chisinau,Academy of Sciences of Moldova,Ştefan cel Mare Police Academy,government,government
6,https://ror.org/01w01n720 -> https://ror.org/0475kvb92,https://ror.org/01w01n720,https://ror.org/0475kvb92,MD,MD,Chisinau,Chisinau,Academy of Sciences of Moldova,Moldova State University,government,education
1,https://ror.org/01w01n720 -> https://ror.org/04wd4rg36,https://ror.org/01w01n720,https://ror.org/04wd4rg36,MD,MD,Chisinau,Chisinau,Academy of Sciences of Moldova,Universitatea de Stat din Tiraspol,government,education
25,https://ror.org/02b82hk77 -> https://ror.org/02b82hk77,https://ror.org/02b82hk77,https://ror.org/02b82hk77,MD,MD,Chisinau,Chisinau,Technical University of Moldova,Technical University of Moldova,education,education
1,https://ror.org/02b82hk77 -> https://ror.org/0475kvb92,https://ror.org/02b82hk77,https://ror.org/0475kvb92,MD,MD,Chisinau,Chisinau,Technical University of Moldova,Moldova State University,education,education
2,https://ror.org/02b82hk77 -> https://ror.org/05aqyve98,https://ror.org/02b82hk77,https://ror.org/05aqyve98,MD,MD,Chisinau,Chisinau,Technical University of Moldova,Ion Creangă Pedagogical State University,education,education
1,https://ror.org/02frnkp15 -> https://ror.org/016ahab87,https://ror.org/02frnkp15,https://ror.org/016ahab87,MD,MD,Chisinau,Bălţi,Institute of International Relations of Moldova,Alecu Russo State University of Bălți,education,education
1,https://ror.org/036kvxa54 -> https://ror.org/01w01n720,https://ror.org/036kvxa54,https://ror.org/01w01n720,MD,MD,Chisinau,Chisinau,Ştefan cel Mare Police Academy,Academy of Sciences of Moldova,government,government
3,https://ror.org/036kvxa54 -> https://ror.org/0475kvb92,https://ror.org/036kvxa54,https://ror.org/0475kvb92,MD,MD,Chisinau,Chisinau,Ştefan cel Mare Police Academy,Moldova State University,government,education
1,https://ror.org/03q8q9685 -> https://ror.org/03xww6m08,https://ror.org/03q8q9685,https://ror.org/03xww6m08,MD,MD,Chisinau,Chisinau,Academy of Public Administration,Nicolae Testemițanu State University of Medicine and Pharmacy,education,education
1,https://ror.org/03xww6m08 -> https://ror.org/016ahab87,https://ror.org/03xww6m08,https://ror.org/016ahab87,MD,MD,Chisinau,Bălţi,Nicolae Testemițanu State University of Medicine and Pharmacy,Alecu Russo State University of Bălți,education,education
45,https://ror.org/03xww6m08 -> https://ror.org/03xww6m08,https://ror.org/03xww6m08,https://ror.org/03xww6m08,MD,MD,Chisinau,Chisinau,Nicolae Testemițanu State University of Medicine and Pharmacy,Nicolae Testemițanu State University of Medicine and Pharmacy,education,education
1,https://ror.org/03xww6m08 -> https://ror.org/054jx1t36,https://ror.org/03xww6m08,https://ror.org/054jx1t36,MD,MD,Chisinau,Chisinau,Nicolae Testemițanu State University of Medicine and Pharmacy,Free International University of Moldova,education,education
2,https://ror.org/0475kvb92 -> https://ror.org/000p7dd29,https://ror.org/0475kvb92,https://ror.org/000p7dd29,MD,MD,Chisinau,Chisinau,Moldova State University,Trade Co-operative University of Moldova,education,education
3,https://ror.org/0475kvb92 -> https://ror.org/01w01n720,https://ror.org/0475kvb92,https://ror.org/01w01n720,MD,MD,Chisinau,Chisinau,Moldova State University,Academy of Sciences of Moldova,education,government
2,https://ror.org/0475kvb92 -> https://ror.org/024zspx22,https://ror.org/0475kvb92,https://ror.org/024zspx22,MD,MD,Chisinau,Comrat,Moldova State University,Comrat State University,education,education
3,https://ror.org/0475kvb92 -> https://ror.org/02b82hk77,https://ror.org/0475kvb92,https://ror.org/02b82hk77,MD,MD,Chisinau,Chisinau,Moldova State University,Technical University of Moldova,education,education
1,https://ror.org/0475kvb92 -> https://ror.org/03xww6m08,https://ror.org/0475kvb92,https://ror.org/03xww6m08,MD,MD,Chisinau,Chisinau,Moldova State University,Nicolae Testemițanu State University of Medicine and Pharmacy,education,education
45,https://ror.org/0475kvb92 -> https://ror.org/0475kvb92,https://ror.org/0475kvb92,https://ror.org/0475kvb92,MD,MD,Chisinau,Chisinau,Moldova State University,Moldova State University,education,education
2,https://ror.org/0475kvb92 -> https://ror.org/04d26v797,https://ror.org/0475kvb92,https://ror.org/04d26v797,MD,MD,Chisinau,Chisinau,Moldova State University,Academy of Economic Studies of Moldova,education,education
