Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/00ghx1590 -> https://ror.org/00ghx1590,https://ror.org/00ghx1590,https://ror.org/00ghx1590,MK,MK,Skopje,Skopje,International Balkan University,International Balkan University,education,education
1,https://ror.org/00m04y575 -> https://ror.org/00ghx1590,https://ror.org/00m04y575,https://ror.org/00ghx1590,MK,MK,Tetovo,Skopje,South East European University,International Balkan University,education,education
14,https://ror.org/00m04y575 -> https://ror.org/00m04y575,https://ror.org/00m04y575,https://ror.org/00m04y575,MK,MK,Tetovo,Tetovo,South East European University,South East European University,education,education
2,https://ror.org/00m04y575 -> https://ror.org/01e4kx996,https://ror.org/00m04y575,https://ror.org/01e4kx996,MK,MK,Tetovo,Tetovo,South East European University,State University of Tetova,education,education
1,https://ror.org/00m04y575 -> https://ror.org/02wk2vx54,https://ror.org/00m04y575,https://ror.org/02wk2vx54,MK,MK,Tetovo,Skopje,South East European University,Saints Cyril and Methodius University of Skopje,education,education
1,https://ror.org/00q7dn693 -> https://ror.org/00m04y575,https://ror.org/00q7dn693,https://ror.org/00m04y575,MK,MK,Skopje,Tetovo,American University of Europe,South East European University,education,education
2,https://ror.org/00q7dn693 -> https://ror.org/02wk2vx54,https://ror.org/00q7dn693,https://ror.org/02wk2vx54,MK,MK,Skopje,Skopje,American University of Europe,Saints Cyril and Methodius University of Skopje,education,education
1,https://ror.org/00wp3ct36 -> https://ror.org/00wp3ct36,https://ror.org/00wp3ct36,https://ror.org/00wp3ct36,MK,MK,Skopje,Skopje,Euro Balkan University,Euro Balkan University,education,education
4,https://ror.org/01e4kx996 -> https://ror.org/01e4kx996,https://ror.org/01e4kx996,https://ror.org/01e4kx996,MK,MK,Tetovo,Tetovo,State University of Tetova,State University of Tetova,education,education
2,https://ror.org/02wk2vx54 -> https://ror.org/003jsdw96,https://ror.org/02wk2vx54,https://ror.org/003jsdw96,MK,MK,Skopje,Skopje,Saints Cyril and Methodius University of Skopje,Macedonian Academy of Sciences and Arts,education,education
1,https://ror.org/02wk2vx54 -> https://ror.org/00ghx1590,https://ror.org/02wk2vx54,https://ror.org/00ghx1590,MK,MK,Skopje,Skopje,Saints Cyril and Methodius University of Skopje,International Balkan University,education,education
1,https://ror.org/02wk2vx54 -> https://ror.org/0264mz016,https://ror.org/02wk2vx54,https://ror.org/0264mz016,MK,MK,Skopje,Ohrid,Saints Cyril and Methodius University of Skopje,University of Information Science and Technology St. Paul The Apostle,education,education
92,https://ror.org/02wk2vx54 -> https://ror.org/02wk2vx54,https://ror.org/02wk2vx54,https://ror.org/02wk2vx54,MK,MK,Skopje,Skopje,Saints Cyril and Methodius University of Skopje,Saints Cyril and Methodius University of Skopje,education,education
1,https://ror.org/02wk2vx54 -> https://ror.org/04gpw1v92,https://ror.org/02wk2vx54,https://ror.org/04gpw1v92,MK,MK,Skopje,Skopje,Saints Cyril and Methodius University of Skopje,European University,education,education
4,https://ror.org/02wk2vx54 -> https://ror.org/058q1cn43,https://ror.org/02wk2vx54,https://ror.org/058q1cn43,MK,MK,Skopje,Shtip,Saints Cyril and Methodius University of Skopje,Goce Delcev University,education,education
1,https://ror.org/02wk2vx54 -> https://ror.org/05hknds03,https://ror.org/02wk2vx54,https://ror.org/05hknds03,MK,MK,Skopje,Skopje,Saints Cyril and Methodius University of Skopje,University American College Skopje,education,education
1,https://ror.org/04161ta68 -> https://ror.org/0264mz016,https://ror.org/04161ta68,https://ror.org/0264mz016,MK,MK,Bitola,Ohrid,University St. Clement of Ohrid,University of Information Science and Technology St. Paul The Apostle,education,education
1,https://ror.org/04gpw1v92 -> https://ror.org/04gpw1v92,https://ror.org/04gpw1v92,https://ror.org/04gpw1v92,MK,MK,Skopje,Skopje,European University,European University,education,education
1,https://ror.org/04xfnd416 -> https://ror.org/02wk2vx54,https://ror.org/04xfnd416,https://ror.org/02wk2vx54,MK,MK,Gostivar,Skopje,International Vision University,Saints Cyril and Methodius University of Skopje,education,education
3,https://ror.org/04xfnd416 -> https://ror.org/04xfnd416,https://ror.org/04xfnd416,https://ror.org/04xfnd416,MK,MK,Gostivar,Gostivar,International Vision University,International Vision University,education,education
1,https://ror.org/058q1cn43 -> https://ror.org/058q1cn43,https://ror.org/058q1cn43,https://ror.org/058q1cn43,MK,MK,Shtip,Shtip,Goce Delcev University,Goce Delcev University,education,education
1,https://ror.org/05hknds03 -> https://ror.org/00m04y575,https://ror.org/05hknds03,https://ror.org/00m04y575,MK,MK,Skopje,Tetovo,University American College Skopje,South East European University,education,education
1,https://ror.org/05hknds03 -> https://ror.org/02wk2vx54,https://ror.org/05hknds03,https://ror.org/02wk2vx54,MK,MK,Skopje,Skopje,University American College Skopje,Saints Cyril and Methodius University of Skopje,education,education
6,https://ror.org/05hknds03 -> https://ror.org/05hknds03,https://ror.org/05hknds03,https://ror.org/05hknds03,MK,MK,Skopje,Skopje,University American College Skopje,University American College Skopje,education,education
