OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
2.9298364355137663,https://ror.org/013dqcj88,MM,Yangon,University of Medical Technology Yangon,education
1.929834656333963,https://ror.org/034k66c68,MM,Yangon,Yangon University Of Distance Education,education
1.1333334224412566,https://ror.org/01gwmqw64,MM,Mandalay,Mandalay Technological University,education
0.9298319659627319,https://ror.org/0133h5567,MM,Yangon,Yangon University of Economics,education
0.9297989465757964,https://ror.org/03s49rs22,MM,Yangon,University of Public Health Yangon,education
0.7999999531839392,https://ror.org/008pxsf13,MM,Yangon,Yangon Technological University,education
0.5965045904217127,https://ror.org/038724806,MM,Yangon,University of Yangon,education
0.49999997114645345,https://ror.org/02hdk9s78,MM,Yangon,University of Nursing Yangon,education
0.13333348755647326,https://ror.org/03cgbtn12,MM,Pyay,Pyay Technological University,education
0.13333335386212442,https://ror.org/04mr67481,MM,Kyaukse,Technological University Kyaukse,education
0.0,https://ror.org/008jssb69,MM,Mandalay,University of Computer Studies Mandalay,education
0.0,https://ror.org/01rckwh32,MM,Mawlamyine,Mawlamyine University,education
0.0,https://ror.org/02ybcvv09,MM,Lashio,Technological University Lashio,education
0.0,https://ror.org/05g910a37,MM,Yangon,Yangon University of Education,education
-0.07016677155044436,https://ror.org/03vcw8q46,MM,Yangon,Myanmar Maritime University,education
-0.07018988276770725,https://ror.org/04y61qm95,MM,Yangon,University Of Medicine 1 Yangon,education
-0.07020209604573065,https://ror.org/05028dx30,MM,Yangon,University of Medicine 2 Yangon,education
-0.07020293363473615,https://ror.org/0457fn135,MM,Magway,University of Community Health Magway,education
-0.07020303790025995,https://ror.org/03gz88214,MM,Mandalay,University of Medicine Mandalay,education
-0.07020480513751781,https://ror.org/01xvefs70,MM,Nay Pyi Taw,Ministry of Health and Sports,government
-0.1999997257060226,https://ror.org/03pwq8a06,MM,Yangon,Yangon University of Foreign Languages,education
-0.2000001008122514,https://ror.org/00dcg0248,MM,Mandalay,Yadanabon University,education
-0.2000001008122514,https://ror.org/02f36qr48,MM,Yangon,University of Pharmacy Yangon,education
-0.2000001008122514,https://ror.org/046tej914,MM,Yangon,Technological University Hmawbi,education
-0.2000001008122514,https://ror.org/04y8pvp97,MM,Pyinmana,University of Veterinary Science,education
-0.40349025601365035,https://ror.org/019ad8130,MM,Yangon,University of Computer Studies Yangon,education
-0.40349061282126797,https://ror.org/03ksn2k92,MM,Yangon,University of Dental Medicine,education
-0.40349336889885856,https://ror.org/00xhtpg39,MM,Taungoo,Taungoo University,education
-0.40349437441670477,https://ror.org/05rn78z96,MM,Yangon,Dagon University,education
-0.49999997114645345,https://ror.org/05gdz9864,MM,Mandalay,University of Nursing Mandalay,education
-1.0701992966430645,https://ror.org/05bsrqh80,MM,Magway,University of Medicine Magway,education
-1.2000000880887545,https://ror.org/025q7w350,MM,Pyinmana,Yezin Agricultural University,education
-1.4034874124820504,https://ror.org/03bxja712,MM,Yangon,University Of Information Technology,education
-1.4034893803690038,https://ror.org/01184z192,MM,Mandalay,University of Dental Medicine at Mandalay,education
-1.4034923661269734,https://ror.org/01bfcjz55,MM,Yangon,West Yangon Technological University,education
