Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
2,https://ror.org/008jssb69 -> https://ror.org/008jssb69,https://ror.org/008jssb69,https://ror.org/008jssb69,MM,MM,Mandalay,Mandalay,University of Computer Studies Mandalay,University of Computer Studies Mandalay,education,education
4,https://ror.org/008pxsf13 -> https://ror.org/008pxsf13,https://ror.org/008pxsf13,https://ror.org/008pxsf13,MM,MM,Yangon,Yangon,Yangon Technological University,Yangon Technological University,education,education
1,https://ror.org/008pxsf13 -> https://ror.org/00dcg0248,https://ror.org/008pxsf13,https://ror.org/00dcg0248,MM,MM,Yangon,Mandalay,Yangon Technological University,Yadanabon University,education,education
1,https://ror.org/008pxsf13 -> https://ror.org/01gwmqw64,https://ror.org/008pxsf13,https://ror.org/01gwmqw64,MM,MM,Yangon,Mandalay,Yangon Technological University,Mandalay Technological University,education,education
1,https://ror.org/008pxsf13 -> https://ror.org/02f36qr48,https://ror.org/008pxsf13,https://ror.org/02f36qr48,MM,MM,Yangon,Yangon,Yangon Technological University,University of Pharmacy Yangon,education,education
1,https://ror.org/008pxsf13 -> https://ror.org/03pwq8a06,https://ror.org/008pxsf13,https://ror.org/03pwq8a06,MM,MM,Yangon,Yangon,Yangon Technological University,Yangon University of Foreign Languages,education,education
1,https://ror.org/008pxsf13 -> https://ror.org/046tej914,https://ror.org/008pxsf13,https://ror.org/046tej914,MM,MM,Yangon,Yangon,Yangon Technological University,Technological University Hmawbi,education,education
1,https://ror.org/008pxsf13 -> https://ror.org/04y8pvp97,https://ror.org/008pxsf13,https://ror.org/04y8pvp97,MM,MM,Yangon,Pyinmana,Yangon Technological University,University of Veterinary Science,education,education
2,https://ror.org/00dcg0248 -> https://ror.org/00dcg0248,https://ror.org/00dcg0248,https://ror.org/00dcg0248,MM,MM,Mandalay,Mandalay,Yadanabon University,Yadanabon University,education,education
1,https://ror.org/01184z192 -> https://ror.org/01184z192,https://ror.org/01184z192,https://ror.org/01184z192,MM,MM,Mandalay,Mandalay,University of Dental Medicine at Mandalay,University of Dental Medicine at Mandalay,education,education
5,https://ror.org/0133h5567 -> https://ror.org/0133h5567,https://ror.org/0133h5567,https://ror.org/0133h5567,MM,MM,Yangon,Yangon,Yangon University of Economics,Yangon University of Economics,education,education
2,https://ror.org/0133h5567 -> https://ror.org/038724806,https://ror.org/0133h5567,https://ror.org/038724806,MM,MM,Yangon,Yangon,Yangon University of Economics,University of Yangon,education,education
1,https://ror.org/0133h5567 -> https://ror.org/03vcw8q46,https://ror.org/0133h5567,https://ror.org/03vcw8q46,MM,MM,Yangon,Yangon,Yangon University of Economics,Myanmar Maritime University,education,education
1,https://ror.org/0133h5567 -> https://ror.org/04y61qm95,https://ror.org/0133h5567,https://ror.org/04y61qm95,MM,MM,Yangon,Yangon,Yangon University of Economics,University Of Medicine 1 Yangon,education,education
1,https://ror.org/013dqcj88 -> https://ror.org/013dqcj88,https://ror.org/013dqcj88,https://ror.org/013dqcj88,MM,MM,Yangon,Yangon,University of Medical Technology Yangon,University of Medical Technology Yangon,education,education
1,https://ror.org/013dqcj88 -> https://ror.org/034k66c68,https://ror.org/013dqcj88,https://ror.org/034k66c68,MM,MM,Yangon,Yangon,University of Medical Technology Yangon,Yangon University Of Distance Education,education,education
3,https://ror.org/019ad8130 -> https://ror.org/019ad8130,https://ror.org/019ad8130,https://ror.org/019ad8130,MM,MM,Yangon,Yangon,University of Computer Studies Yangon,University of Computer Studies Yangon,education,education
1,https://ror.org/019ad8130 -> https://ror.org/03bxja712,https://ror.org/019ad8130,https://ror.org/03bxja712,MM,MM,Yangon,Yangon,University of Computer Studies Yangon,University Of Information Technology,education,education
2,https://ror.org/01gwmqw64 -> https://ror.org/008pxsf13,https://ror.org/01gwmqw64,https://ror.org/008pxsf13,MM,MM,Mandalay,Yangon,Mandalay Technological University,Yangon Technological University,education,education
7,https://ror.org/01gwmqw64 -> https://ror.org/01gwmqw64,https://ror.org/01gwmqw64,https://ror.org/01gwmqw64,MM,MM,Mandalay,Mandalay,Mandalay Technological University,Mandalay Technological University,education,education
1,https://ror.org/01gwmqw64 -> https://ror.org/03cgbtn12,https://ror.org/01gwmqw64,https://ror.org/03cgbtn12,MM,MM,Mandalay,Pyay,Mandalay Technological University,Pyay Technological University,education,education
2,https://ror.org/01gwmqw64 -> https://ror.org/04mr67481,https://ror.org/01gwmqw64,https://ror.org/04mr67481,MM,MM,Mandalay,Kyaukse,Mandalay Technological University,Technological University Kyaukse,education,education
2,https://ror.org/01rckwh32 -> https://ror.org/01rckwh32,https://ror.org/01rckwh32,https://ror.org/01rckwh32,MM,MM,Mawlamyine,Mawlamyine,Mawlamyine University,Mawlamyine University,education,education
