Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
6,https://ror.org/008ej3804 -> https://ror.org/008ej3804,https://ror.org/008ej3804,https://ror.org/008ej3804,MW,MW,Mzuzu,Mzuzu,Mzuzu University,Mzuzu University,education,education
1,https://ror.org/008ej3804 -> https://ror.org/02fqsc924,https://ror.org/008ej3804,https://ror.org/02fqsc924,MW,MW,Mzuzu,Livingstonia,Mzuzu University,University of Livingstonia,education,education
2,https://ror.org/008ej3804 -> https://ror.org/04vtx5s55,https://ror.org/008ej3804,https://ror.org/04vtx5s55,MW,MW,Mzuzu,Zomba,Mzuzu University,University of Malawi,education,education
4,https://ror.org/0188qm081 -> https://ror.org/0188qm081,https://ror.org/0188qm081,https://ror.org/0188qm081,MW,MW,Lilongwe,Lilongwe,Lilongwe University of Agriculture and Natural Resources,Lilongwe University of Agriculture and Natural Resources,education,education
1,https://ror.org/0188qm081 -> https://ror.org/02b90d314,https://ror.org/0188qm081,https://ror.org/02b90d314,MW,MW,Lilongwe,Lilongwe,Lilongwe University of Agriculture and Natural Resources,Malawi Government,education,government
4,https://ror.org/0188qm081 -> https://ror.org/04vtx5s55,https://ror.org/0188qm081,https://ror.org/04vtx5s55,MW,MW,Lilongwe,Zomba,Lilongwe University of Agriculture and Natural Resources,University of Malawi,education,education
1,https://ror.org/027vmhf17 -> https://ror.org/04vtx5s55,https://ror.org/027vmhf17,https://ror.org/04vtx5s55,MW,MW,Blantyre,Zomba,Malawi University of Science and Technology,University of Malawi,education,education
1,https://ror.org/03tebt685 -> https://ror.org/04vtx5s55,https://ror.org/03tebt685,https://ror.org/04vtx5s55,MW,MW,Blantyre,Zomba,Malawi-Liverpool-Wellcome Trust Clinical Research Programme,University of Malawi,facility,education
3,https://ror.org/04vtx5s55 -> https://ror.org/008ej3804,https://ror.org/04vtx5s55,https://ror.org/008ej3804,MW,MW,Zomba,Mzuzu,University of Malawi,Mzuzu University,education,education
23,https://ror.org/04vtx5s55 -> https://ror.org/04vtx5s55,https://ror.org/04vtx5s55,https://ror.org/04vtx5s55,MW,MW,Zomba,Zomba,University of Malawi,University of Malawi,education,education
1,https://ror.org/04vtx5s55 -> https://ror.org/05vatjr87,https://ror.org/04vtx5s55,https://ror.org/05vatjr87,MW,MW,Zomba,Blantyre,University of Malawi,Malawi University of Business and Applied Sciences,education,education
1,https://ror.org/05vatjr87 -> https://ror.org/04vtx5s55,https://ror.org/05vatjr87,https://ror.org/04vtx5s55,MW,MW,Blantyre,Zomba,Malawi University of Business and Applied Sciences,University of Malawi,education,education
2,https://ror.org/05vatjr87 -> https://ror.org/05vatjr87,https://ror.org/05vatjr87,https://ror.org/05vatjr87,MW,MW,Blantyre,Blantyre,Malawi University of Business and Applied Sciences,Malawi University of Business and Applied Sciences,education,education
