Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
9,https://ror.org/000917t60 -> https://ror.org/000917t60,https://ror.org/000917t60,https://ror.org/000917t60,MX,MX,San Luis Potosí,San Luis Potosí,Autonomous University of San Luis Potosí,Autonomous University of San Luis Potosí,education,education
1,https://ror.org/000917t60 -> https://ror.org/00v8fdc16,https://ror.org/000917t60,https://ror.org/00v8fdc16,MX,MX,San Luis Potosí,Santiago de Querétaro,Autonomous University of San Luis Potosí,Autonomous University of Queretaro,education,education
3,https://ror.org/000917t60 -> https://ror.org/01m296r74,https://ror.org/000917t60,https://ror.org/01m296r74,MX,MX,San Luis Potosí,Zacatecas City,Autonomous University of San Luis Potosí,Autonomous University of Zacatecas,education,education
1,https://ror.org/000917t60 -> https://ror.org/02dfpb916,https://ror.org/000917t60,https://ror.org/02dfpb916,MX,MX,San Luis Potosí,Mexico City,Autonomous University of San Luis Potosí,Mexican Institute of Petroleum,education,government
2,https://ror.org/000917t60 -> https://ror.org/03ec8vy26,https://ror.org/000917t60,https://ror.org/03ec8vy26,MX,MX,San Luis Potosí,Aguascalientes,Autonomous University of San Luis Potosí,Autonomous University of Aguascalientes,education,education
1,https://ror.org/000917t60 -> https://ror.org/03sbzv212,https://ror.org/000917t60,https://ror.org/03sbzv212,MX,MX,San Luis Potosí,San Luis Potosí City,Autonomous University of San Luis Potosí,Institute for Scientific and Technological Research,education,other
1,https://ror.org/000917t60 -> https://ror.org/043xj7k26,https://ror.org/000917t60,https://ror.org/043xj7k26,MX,MX,San Luis Potosí,Guadalajara,Autonomous University of San Luis Potosí,University of Guadalajara,education,education
2,https://ror.org/000vj2f52 -> https://ror.org/000vj2f52,https://ror.org/000vj2f52,https://ror.org/000vj2f52,MX,MX,Mazatlan,Mazatlan,University of Montemorelos,University of Montemorelos,education,education
1,https://ror.org/000vj2f52 -> https://ror.org/011gp7f64,https://ror.org/000vj2f52,https://ror.org/011gp7f64,MX,MX,Mazatlan,San Pedro Garza Garcia,University of Montemorelos,Hospital Zambrano Hellion,education,healthcare
1,https://ror.org/000vj2f52 -> https://ror.org/05xwcq167,https://ror.org/000vj2f52,https://ror.org/05xwcq167,MX,MX,Mazatlan,Mexicali,University of Montemorelos,Universidad Autónoma de Baja California,education,education
1,https://ror.org/0053y3939 -> https://ror.org/05h9c3z20,https://ror.org/0053y3939,https://ror.org/05h9c3z20,MX,MX,San Agustín Tlaxiaca,Mexico City,Universidad del Futbol y Ciencias del Deporte,Universidad del Valle de México,education,education
51,https://ror.org/0079gpv38 -> https://ror.org/0079gpv38,https://ror.org/0079gpv38,https://ror.org/0079gpv38,MX,MX,Toluca,Toluca,Universidad Autónoma del Estado de México,Universidad Autónoma del Estado de México,education,education
1,https://ror.org/0079gpv38 -> https://ror.org/00c32gy34,https://ror.org/0079gpv38,https://ror.org/00c32gy34,MX,MX,Toluca,Hermosillo,Universidad Autónoma del Estado de México,Universidad de Sonora,education,education
4,https://ror.org/0079gpv38 -> https://ror.org/00k7h5c65,https://ror.org/0079gpv38,https://ror.org/00k7h5c65,MX,MX,Toluca,Ocoyoacac,Universidad Autónoma del Estado de México,Instituto Nacional de Investigaciones Nucleares,education,facility
2,https://ror.org/0079gpv38 -> https://ror.org/00vf1vw09,https://ror.org/0079gpv38,https://ror.org/00vf1vw09,MX,MX,Toluca,León de los Aldama,Universidad Autónoma del Estado de México,Universidad de La Salle Bajío,education,education
1,https://ror.org/0079gpv38 -> https://ror.org/00z0kq074,https://ror.org/0079gpv38,https://ror.org/00z0kq074,MX,MX,Toluca,Morelia,Universidad Autónoma del Estado de México,Universidad Michoacana de San Nicolás de Hidalgo,education,education
1,https://ror.org/0079gpv38 -> https://ror.org/01fh86n78,https://ror.org/0079gpv38,https://ror.org/01fh86n78,MX,MX,Toluca,San Nicolás de los Garza,Universidad Autónoma del Estado de México,Universidad Autónoma de Nuevo León,education,education
2,https://ror.org/0079gpv38 -> https://ror.org/01tmp8f25,https://ror.org/0079gpv38,https://ror.org/01tmp8f25,MX,MX,Toluca,Mexico City,Universidad Autónoma del Estado de México,Universidad Nacional Autónoma de México,education,education
2,https://ror.org/0079gpv38 -> https://ror.org/01zwq9p88,https://ror.org/0079gpv38,https://ror.org/01zwq9p88,MX,MX,Toluca,Ixtlahuaca,Universidad Autónoma del Estado de México,Universidad de Ixtlahuaca CUI,education,education
1,https://ror.org/0079gpv38 -> https://ror.org/02arnxw97,https://ror.org/0079gpv38,https://ror.org/02arnxw97,MX,MX,Toluca,Garza García,Universidad Autónoma del Estado de México,University of Monterrey,education,education
1,https://ror.org/0079gpv38 -> https://ror.org/02f3t1d20,https://ror.org/0079gpv38,https://ror.org/02f3t1d20,MX,MX,Toluca,Metepec,Universidad Autónoma del Estado de México,Instituto Universitario Franco Inglés de México,education,education
1,https://ror.org/0079gpv38 -> https://ror.org/02fgyh323,https://ror.org/0079gpv38,https://ror.org/02fgyh323,MX,MX,Toluca,Toluca,Universidad Autónoma del Estado de México,Universidad del Valle de Toluca,education,education
2,https://ror.org/0079gpv38 -> https://ror.org/02kta5139,https://ror.org/0079gpv38,https://ror.org/02kta5139,MX,MX,Toluca,Mexico City,Universidad Autónoma del Estado de México,Universidad Autónoma Metropolitana,education,education
1,https://ror.org/0079gpv38 -> https://ror.org/031f8kt38,https://ror.org/0079gpv38,https://ror.org/031f8kt38,MX,MX,Toluca,Pachuca de Soto,Universidad Autónoma del Estado de México,Universidad Autónoma del Estado de Hidalgo,education,education
1,https://ror.org/0079gpv38 -> https://ror.org/03ayjn504,https://ror.org/0079gpv38,https://ror.org/03ayjn504,MX,MX,Toluca,Monterrey,Universidad Autónoma del Estado de México,Tecnológico de Monterrey,education,education
1,https://ror.org/0079gpv38 -> https://ror.org/03efxn362,https://ror.org/0079gpv38,https://ror.org/03efxn362,MX,MX,Toluca,Xalapa de Enríquez,Universidad Autónoma del Estado de México,Universidad Veracruzana,education,education
2,https://ror.org/0079gpv38 -> https://ror.org/03p2z7827,https://ror.org/0079gpv38,https://ror.org/03p2z7827,MX,MX,Toluca,Puebla City,Universidad Autónoma del Estado de México,Benemérita Universidad Autónoma de Puebla,education,education
1,https://ror.org/0079gpv38 -> https://ror.org/03rzb4f20,https://ror.org/0079gpv38,https://ror.org/03rzb4f20,MX,MX,Toluca,Cuernavaca,Universidad Autónoma del Estado de México,Universidad Autónoma del Estado de Morelos,education,education
1,https://ror.org/0079gpv38 -> https://ror.org/03yvabt26,https://ror.org/0079gpv38,https://ror.org/03yvabt26,MX,MX,Toluca,Xalapa,Universidad Autónoma del Estado de México,Instituto de Ecología,education,facility
1,https://ror.org/0079gpv38 -> https://ror.org/040p70661,https://ror.org/0079gpv38,https://ror.org/040p70661,MX,MX,Toluca,San Cristóbal de las Casas,Universidad Autónoma del Estado de México,Universidad Intercultural de Chiapas,education,education
1,https://ror.org/0079gpv38 -> https://ror.org/058cjye32,https://ror.org/0079gpv38,https://ror.org/058cjye32,MX,MX,Toluca,Guanajuato,Universidad Autónoma del Estado de México,Universidad de Guanajuato,education,education
6,https://ror.org/0079gpv38 -> https://ror.org/059ex5q34,https://ror.org/0079gpv38,https://ror.org/059ex5q34,MX,MX,Toluca,Mexico City,Universidad Autónoma del Estado de México,"Consejo Nacional de Humanidades, Ciencias y Tecnologías",education,government
1,https://ror.org/0079gpv38 -> https://ror.org/05c99rg80,https://ror.org/0079gpv38,https://ror.org/05c99rg80,MX,MX,Toluca,Mexico City,Universidad Autónoma del Estado de México,Universidad La Salle,education,education
1,https://ror.org/0079gpv38 -> https://ror.org/05fj8cf83,https://ror.org/0079gpv38,https://ror.org/05fj8cf83,MX,MX,Toluca,Juárez,Universidad Autónoma del Estado de México,Universidad Autónoma de Ciudad Juárez,education,education
1,https://ror.org/0079gpv38 -> https://ror.org/05h9c3z20,https://ror.org/0079gpv38,https://ror.org/05h9c3z20,MX,MX,Toluca,Mexico City,Universidad Autónoma del Estado de México,Universidad del Valle de México,education,education
1,https://ror.org/0079gpv38 -> https://ror.org/05k0wa595,https://ror.org/0079gpv38,https://ror.org/05k0wa595,MX,MX,Toluca,Toluca,Universidad Autónoma del Estado de México,Consejo Mexiquense de Ciencia y Tecnología,education,government
1,https://ror.org/0079gpv38 -> https://ror.org/05s142056,https://ror.org/0079gpv38,https://ror.org/05s142056,MX,MX,Toluca,Toluca,Universidad Autónoma del Estado de México,Instituto Tecnológico de Toluca,education,education
3,https://ror.org/0082wq496 -> https://ror.org/0079gpv38,https://ror.org/0082wq496,https://ror.org/0079gpv38,MX,MX,Mexico City,Toluca,Secretaria de Salud,Universidad Autónoma del Estado de México,government,education
17,https://ror.org/0082wq496 -> https://ror.org/0082wq496,https://ror.org/0082wq496,https://ror.org/0082wq496,MX,MX,Mexico City,Mexico City,Secretaria de Salud,Secretaria de Salud,government,government
