OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
2.05524271807065,https://ror.org/03n0nnh89,MY,Kuala Lumpur,Hospital Kuala Lumpur,healthcare
1.6152609463537384,https://ror.org/03rj87919,MY,Kangar,Politeknik Tuanku Syed Sirajuddin,education
1.2382802301849751,https://ror.org/02914ef02,MY,Kuala Lumpur,International Centre for Education in Islamic Finance,education
1.2360495632900717,https://ror.org/02e91jd64,MY,Seri Kembangan,Universiti Putra Malaysia,education
1.1892259607996256,https://ror.org/00bw8d226,MY,Bangi,National University of Malaysia,education
1.1811523673284419,https://ror.org/04frcff47,MY,Petaling Jaya,Malaysia University of Science and Technology,education
1.1143969671126606,https://ror.org/02v7nqx28,MY,Alor Star,Sultan Abdul Halim Mu'adzam Shah International Islamic University,education
1.0637100748119057,https://ror.org/00rzspn62,MY,Kuala Lumpur,University of Malaya,education
1.056412496316688,https://ror.org/00jxnw682,MY,Seremban,Hospital Tuanku Ja’afar,healthcare
1.0518643812231383,https://ror.org/02rgb2k63,MY,George Town,Universiti Sains Malaysia,education
1.05101998701849,https://ror.org/026w31v75,MY,Johor Bahru,University of Technology Malaysia,education
1.0294121367485747,https://ror.org/0090j2029,MY,Kota Bharu,Hospital Universiti Sains Malaysia,healthcare
1.0075974063848987,https://ror.org/02ktf7592,MY,Kuala Selangor,City University College of Science and Technology,education
0.8648620146702719,https://ror.org/005bjd415,MY,Kuala Lumpur,Sultan Idris Education University,education
0.8506425489276309,https://ror.org/01ss10648,MY,Jitra,Northern University of Malaysia,education
0.8255660979170453,https://ror.org/04f1eek20,MY,Kuala Selangor,Cyberjaya University College of Medical Sciences,education
0.8058077704797577,https://ror.org/01c5wha71,MY,Batu Pahat,Tun Hussein Onn University of Malaysia,education
0.7617473959824299,https://ror.org/00wfd0g93,MY,Kota Kinabalu,Perdana University,education
0.7505130292026675,https://ror.org/00t53pv34,MY,Kuala Lumpur,National Defence University of Malaysia,education
0.7489674979159684,https://ror.org/048g2sh07,MY,Ipoh,Universiti Teknologi Petronas,education
0.7479167598488667,https://ror.org/01m91v580,MY,Petaling Jaya,Universiti Tun Abdul Razak,education
0.7360129938465927,https://ror.org/037yy5v69,MY,Kuala Lumpur,Open University Malaysia,education
0.6509846449877771,https://ror.org/05b307002,MY,Kuching,Universiti Malaysia Sarawak,education
0.6467688108032092,https://ror.org/01590nj79,MY,Kuala Lumpur,University Kebangsaan Malaysia Medical Centre,healthcare
0.6422355626947044,https://ror.org/04zrbnc33,MY,Malacca,Multimedia University,education
0.6300631838873876,https://ror.org/03s9hs139,MY,Kuala Lumpur,International Islamic University Malaysia,education
0.615644994368639,https://ror.org/030847t23,MY,Shah Alam,Universiti Teknologi MARA System,education
0.603533369870015,https://ror.org/031my5009,MY,Kuala Lumpur,Asia e University,education
0.5847675215486751,https://ror.org/00xmkb790,MY,Kangar,Universiti Malaysia Perlis,education
0.5622972995948043,https://ror.org/040v70252,MY,Kota Kinabalu,Universiti of Malaysia Sabah,education
0.5184976358932808,https://ror.org/01704wp68,MY,Pekan,Universiti Malaysia Pahang,education
0.4999944637837138,https://ror.org/02xvrbk22,MY,Sungai Petani,Sultan Abdul Halim Hospital,healthcare
0.45284764964245405,https://ror.org/00bnk2e50,MY,Kuala Terengganu,Sultan Zainal Abidin University,education
0.4237116243491912,https://ror.org/04jjxmt88,MY,Kuala Lumpur,Tenaga Nasional Berhad (Malaysia),company
