Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/0059w0420 -> https://ror.org/0059w0420,https://ror.org/0059w0420,https://ror.org/0059w0420,MY,MY,Putrajaya,Putrajaya,Heriot-Watt University Malaysia,Heriot-Watt University Malaysia,education,education
2,https://ror.org/0059w0420 -> https://ror.org/048g2sh07,https://ror.org/0059w0420,https://ror.org/048g2sh07,MY,MY,Putrajaya,Ipoh,Heriot-Watt University Malaysia,Universiti Teknologi Petronas,education,education
6,https://ror.org/005bjd415 -> https://ror.org/005bjd415,https://ror.org/005bjd415,https://ror.org/005bjd415,MY,MY,Kuala Lumpur,Kuala Lumpur,Sultan Idris Education University,Sultan Idris Education University,education,education
2,https://ror.org/005bjd415 -> https://ror.org/00bw8d226,https://ror.org/005bjd415,https://ror.org/00bw8d226,MY,MY,Kuala Lumpur,Bangi,Sultan Idris Education University,National University of Malaysia,education,education
1,https://ror.org/005bjd415 -> https://ror.org/01ss10648,https://ror.org/005bjd415,https://ror.org/01ss10648,MY,MY,Kuala Lumpur,Jitra,Sultan Idris Education University,Northern University of Malaysia,education,education
1,https://ror.org/005bjd415 -> https://ror.org/02e91jd64,https://ror.org/005bjd415,https://ror.org/02e91jd64,MY,MY,Kuala Lumpur,Seri Kembangan,Sultan Idris Education University,Universiti Putra Malaysia,education,education
1,https://ror.org/005bjd415 -> https://ror.org/02rgb2k63,https://ror.org/005bjd415,https://ror.org/02rgb2k63,MY,MY,Kuala Lumpur,George Town,Sultan Idris Education University,Universiti Sains Malaysia,education,education
1,https://ror.org/005bjd415 -> https://ror.org/03c52a632,https://ror.org/005bjd415,https://ror.org/03c52a632,MY,MY,Kuala Lumpur,Kuala Lumpur,Sultan Idris Education University,Asia Pacific University of Technology & Innovation,education,education
3,https://ror.org/005bjd415 -> https://ror.org/03j4n8s31,https://ror.org/005bjd415,https://ror.org/03j4n8s31,MY,MY,Kuala Lumpur,Shah Alam,Sultan Idris Education University,University of Selangor,education,education
2,https://ror.org/005bjd415 -> https://ror.org/040v70252,https://ror.org/005bjd415,https://ror.org/040v70252,MY,MY,Kuala Lumpur,Kota Kinabalu,Sultan Idris Education University,Universiti of Malaysia Sabah,education,education
1,https://ror.org/005bjd415 -> https://ror.org/04jjxmt88,https://ror.org/005bjd415,https://ror.org/04jjxmt88,MY,MY,Kuala Lumpur,Kuala Lumpur,Sultan Idris Education University,Tenaga Nasional Berhad (Malaysia),education,company
1,https://ror.org/005bjd415 -> https://ror.org/05pc4mf95,https://ror.org/005bjd415,https://ror.org/05pc4mf95,MY,MY,Kuala Lumpur,Kuala Lumpur,Sultan Idris Education University,Kuala Lumpur Metropolitan University College,education,education
2,https://ror.org/0090j2029 -> https://ror.org/0090j2029,https://ror.org/0090j2029,https://ror.org/0090j2029,MY,MY,Kota Bharu,Kota Bharu,Hospital Universiti Sains Malaysia,Hospital Universiti Sains Malaysia,healthcare,healthcare
1,https://ror.org/0090j2029 -> https://ror.org/00bw8d226,https://ror.org/0090j2029,https://ror.org/00bw8d226,MY,MY,Kota Bharu,Bangi,Hospital Universiti Sains Malaysia,National University of Malaysia,healthcare,education
1,https://ror.org/0090j2029 -> https://ror.org/02rgb2k63,https://ror.org/0090j2029,https://ror.org/02rgb2k63,MY,MY,Kota Bharu,George Town,Hospital Universiti Sains Malaysia,Universiti Sains Malaysia,healthcare,education
1,https://ror.org/0090j2029 -> https://ror.org/030847t23,https://ror.org/0090j2029,https://ror.org/030847t23,MY,MY,Kota Bharu,Shah Alam,Hospital Universiti Sains Malaysia,Universiti Teknologi MARA System,healthcare,education
2,https://ror.org/0090j2029 -> https://ror.org/050pq4m56,https://ror.org/0090j2029,https://ror.org/050pq4m56,MY,MY,Kota Bharu,Kampar,Hospital Universiti Sains Malaysia,Universiti Tunku Abdul Rahman,healthcare,education
