Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
4,https://ror.org/000548d77 -> https://ror.org/000548d77,https://ror.org/000548d77,https://ror.org/000548d77,NG,NG,Jalingo,Jalingo,Taraba State University,Taraba State University,education,education
2,https://ror.org/000548d77 -> https://ror.org/016na8197,https://ror.org/000548d77,https://ror.org/016na8197,NG,NG,Jalingo,Maiduguri,Taraba State University,University of Maiduguri,education,education
1,https://ror.org/000548d77 -> https://ror.org/019apvn83,https://ror.org/000548d77,https://ror.org/019apvn83,NG,NG,Jalingo,Zaria,Taraba State University,Ahmadu Bello University,education,education
1,https://ror.org/000548d77 -> https://ror.org/050850526,https://ror.org/000548d77,https://ror.org/050850526,NG,NG,Jalingo,Umuahia,Taraba State University,Michael Okpara University of Agriculture,education,education
2,https://ror.org/0008d4756 -> https://ror.org/0008d4756,https://ror.org/0008d4756,https://ror.org/0008d4756,NG,NG,Ilorin,Ilorin,Al-Hikmah University,Al-Hikmah University,education,education
1,https://ror.org/0008d4756 -> https://ror.org/006cvtz77,https://ror.org/0008d4756,https://ror.org/006cvtz77,NG,NG,Ilorin,Birnin Kebbi,Al-Hikmah University,Kebbi State University of Science and Technology,education,education
1,https://ror.org/000epg022 -> https://ror.org/000epg022,https://ror.org/000epg022,https://ror.org/000epg022,NG,NG,Ile-Ife,Ile-Ife,Regional Centre for Training in Aerospace Surveys,Regional Centre for Training in Aerospace Surveys,education,education
1,https://ror.org/000epg022 -> https://ror.org/006pw7k84,https://ror.org/000epg022,https://ror.org/006pw7k84,NG,NG,Ile-Ife,Ekpoma,Regional Centre for Training in Aerospace Surveys,Ambrose Alli University,education,education
1,https://ror.org/000epg022 -> https://ror.org/009kx9832,https://ror.org/000epg022,https://ror.org/009kx9832,NG,NG,Ile-Ife,Jos,Regional Centre for Training in Aerospace Surveys,University of Jos,education,education
1,https://ror.org/000epg022 -> https://ror.org/00dvsyx28,https://ror.org/000epg022,https://ror.org/00dvsyx28,NG,NG,Ile-Ife,Dekina,Regional Centre for Training in Aerospace Surveys,Kogi State University,education,education
1,https://ror.org/000epg022 -> https://ror.org/0257ekp23,https://ror.org/000epg022,https://ror.org/0257ekp23,NG,NG,Ile-Ife,Owerri,Regional Centre for Training in Aerospace Surveys,Imo State University,education,education
