OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
2.2493601187981387,https://ror.org/00ag93x16,NL,Deventer,Goudappel Coffeng,other
2.2221423408849543,https://ror.org/01htwz965,NL,Apeldoorn,Politieacademie,government
2.1643621428093733,https://ror.org/04j4mc084,NL,Arnhem,Cito (Netherlands),company
2.1643621428093733,https://ror.org/05ck1h211,NL,Middelburg,Roosevelt Institute for American Studies,facility
2.1202546736531183,https://ror.org/04c0z9s56,NL,Delft,GGZ Delfland,healthcare
2.051271818917179,https://ror.org/01m0gv380,NL,Amersfoort,GGz centraal,other
1.9659160935929805,https://ror.org/054xxtt73,NL,Rotterdam,Tinbergen Institute,education
1.8279487292586656,https://ror.org/044jw3g30,NL,Ede,Karakter,healthcare
1.8004112164022006,https://ror.org/00fyemf28,NL,Delft,Materials innovation institute,facility
1.8004112164022006,https://ror.org/039vq9023,NL,Eindhoven,Design Academy Eindhoven,education
1.7178057937183429,https://ror.org/05f0rzm15,NL,Maastricht,Transnational University Limburg,education
1.6826527090333978,https://ror.org/0283nw634,NL,Leeuwarden,Medisch Centrum Leeuwarden,healthcare
1.460244182847671,https://ror.org/04hmqap24,NL,Rotterdam,Netherlands Institute for Innovative Ocular Surgery,facility
1.3959982121476178,https://ror.org/03q7ay915,NL,Tilburg,TIAS School for Business and Society,education
1.2816417339092394,https://ror.org/04b8v1s79,NL,Tilburg,Tilburg University,education
1.2492074477905297,https://ror.org/020v32r42,NL,Amersfoort,Royal HaskoningDHV (Netherlands),company
1.231981661909258,https://ror.org/027bh9e22,NL,Leiden,Leiden University,education
1.2226904843721227,https://ror.org/00e8ykd54,NL,Dordrecht,Albert Schweitzer Ziekenhuis,healthcare
1.221982740946261,https://ror.org/04dkp9463,NL,Amsterdam,University of Amsterdam,education
1.2142098617750705,https://ror.org/016xsfp80,NL,Nijmegen,Radboud University Nijmegen,education
1.2138901768796224,https://ror.org/05fcmfe52,NL,Leeuwarden,Fryske Akademy,facility
1.2102627519468554,https://ror.org/016w23120,NL,Kampen,Protestant Theological University,education
1.205632494699038,https://ror.org/012p63287,NL,Groningen,University of Groningen,education
1.1756936531164512,https://ror.org/033958n71,NL,The Hague,Netherlands School of Public Administration,education
1.1672345302684686,https://ror.org/03s2fjy85,NL,Apeldoorn,Theological University of Apeldoorn,education
1.1659221999664637,https://ror.org/00bmv4102,NL,Amsterdam,Emma Kinderziekenhuis,healthcare
1.1642021774214995,https://ror.org/04pp8hn57,NL,Utrecht,Utrecht University,education
1.1370132632505303,https://ror.org/057w15z03,NL,Rotterdam,Erasmus University Rotterdam,education
1.1200949556603872,https://ror.org/008xxew50,NL,Amsterdam,Vrije Universiteit Amsterdam,education
1.051111969568732,https://ror.org/02jz4aj89,NL,Maastricht,Maastricht University,education
1.0508889720415244,https://ror.org/04xe7ws48,NL,Amsterdam,Advanced Research Center for Nanolithography (Netherlands),company
1.0074203934548496,https://ror.org/02e2c7k09,NL,Delft,Delft University of Technology,education
0.9665870030047113,https://ror.org/04qw24q55,NL,Wageningen,Wageningen University & Research,education
0.9660630462986303,https://ror.org/00p5j4e25,NL,Zoetermeer,Panteia,facility
0.9405052097530539,https://ror.org/042m3ve83,NL,Amsterdam,GGZ inGeest,nonprofit
0.9306575806052053,https://ror.org/006hf6230,NL,Enschede,University of Twente,education
0.8861129428309981,https://ror.org/01f61vq51,NL,Utrecht,Foundation For Fundamental Research On Matter,nonprofit
0.8720366572832962,https://ror.org/02x435584,NL,Kampen,Theological University,education
0.8312737241048683,https://ror.org/04w5ec154,NL,Utrecht,University of Humanistic Studies,education
0.8277884203435237,https://ror.org/05wg1m734,NL,Nijmegen,Radboud University Medical Center,healthcare
0.8217851795050127,https://ror.org/01mh6b283,NL,Utrecht,Netherlands Heart Institute,facility
0.8002508632702755,https://ror.org/02c2kyt77,NL,Eindhoven,Eindhoven University of Technology,education
0.798423116833579,https://ror.org/04chwzs27,NL,Amersfoort,SOMT University of Physiotherapy,other
0.7672384316343639,https://ror.org/04jsz6e67,NL,The Hague,Dutch Research Council,government
0.7082299697274448,https://ror.org/043c0p156,NL,Amsterdam,Royal Netherlands Academy of Arts and Sciences,government
0.7005267894986599,https://ror.org/04x5wnb75,NL,Amsterdam,Academic Center for Dentistry Amsterdam,education
0.68249251199591,https://ror.org/03cv38k47,NL,Groningen,University Medical Center Groningen,healthcare
0.6738809140833971,https://ror.org/00txvrc11,NL,Leiden,Leyden Academy on Vitality and Ageing,facility
0.6544630299686909,https://ror.org/008appn90,NL,Maastricht,University College Maastricht,education
0.6381762999311721,https://ror.org/05grdyy37,NL,Amsterdam,Amsterdam University Medical Centers,healthcare
0.6318314466074151,https://ror.org/0575yy874,NL,Utrecht,University Medical Center Utrecht,healthcare
0.6313057504574033,https://ror.org/02d9ce178,NL,Maastricht,Maastricht University Medical Centre,healthcare
0.6193677484069205,https://ror.org/03xqtf034,NL,Amsterdam,The Netherlands Cancer Institute,healthcare
0.6131886194368814,https://ror.org/05az93f25,NL,Arnhem,ArtEZ Institute of the Arts,education
0.5539678690657819,https://ror.org/018dfmf50,NL,Heerlen,Open University in the Netherlands,education
0.5462564493193418,https://ror.org/01fm2fv39,NL,Amsterdam,Sanquin,nonprofit
0.5023862272933056,https://ror.org/018906e22,NL,Rotterdam,Erasmus MC,healthcare
0.5000005354637718,https://ror.org/023p2b446,NL,Arnhem,Dutch Art Institute,education
0.4709554340973614,https://ror.org/04kf5kc54,NL,The Hague,Netherlands Interdisciplinary Demographic Institute,facility
0.4600851523906168,https://ror.org/05xvt9f17,NL,Leiden,Leiden University Medical Center,healthcare
0.3844724632825579,https://ror.org/059wkzj26,NL,Maastricht,Maastro Clinic,healthcare
0.34166209380410745,https://ror.org/006xsx833,NL,Utrecht,Geneeskundige en Gezondheidsdienst,healthcare
0.28997777795457924,https://ror.org/020hsr785,NL,Amsterdam,Nederlands Instituut voor Wetenschappelijke Informatiediensten,facility
0.2583071063266116,https://ror.org/018528593,NL,Breukelen,Nyenrode Business University,education
0.24889964734970138,https://ror.org/04zmc0e16,NL,Zwolle,Windesheim University of Applied Sciences,education
0.24873331659020637,https://ror.org/01deh9c76,NL,Delft,Deltares,facility
0.2321415725405957,https://ror.org/01mwwwn80,NL,The Hague,Royal Conservatory of The Hague,education
0.2321415725405957,https://ror.org/015xhag49,NL,Leiden,Archol (Netherlands),company
