Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
2,https://ror.org/005t9n460 -> https://ror.org/005t9n460,https://ror.org/005t9n460,https://ror.org/005t9n460,NL,NL,Enschede,Enschede,Saxion University of Applied Sciences,Saxion University of Applied Sciences,education,education
11,https://ror.org/006hf6230 -> https://ror.org/005t9n460,https://ror.org/006hf6230,https://ror.org/005t9n460,NL,NL,Enschede,Enschede,University of Twente,Saxion University of Applied Sciences,education,education
368,https://ror.org/006hf6230 -> https://ror.org/006hf6230,https://ror.org/006hf6230,https://ror.org/006hf6230,NL,NL,Enschede,Enschede,University of Twente,University of Twente,education,education
11,https://ror.org/006hf6230 -> https://ror.org/008xxew50,https://ror.org/006hf6230,https://ror.org/008xxew50,NL,NL,Enschede,Amsterdam,University of Twente,Vrije Universiteit Amsterdam,education,education
1,https://ror.org/006hf6230 -> https://ror.org/009vhk114,https://ror.org/006hf6230,https://ror.org/009vhk114,NL,NL,Enschede,Utrecht,University of Twente,SURF,education,other
1,https://ror.org/006hf6230 -> https://ror.org/00b5m4j81,https://ror.org/006hf6230,https://ror.org/00b5m4j81,NL,NL,Enschede,The Hague,University of Twente,Shell (Netherlands),education,company
1,https://ror.org/006hf6230 -> https://ror.org/00v50wt26,https://ror.org/006hf6230,https://ror.org/00v50wt26,NL,NL,Enschede,Utrecht,University of Twente,Single Cell Discoveries (Netherlands),education,company
2,https://ror.org/006hf6230 -> https://ror.org/00xqtxw43,https://ror.org/006hf6230,https://ror.org/00xqtxw43,NL,NL,Enschede,Groningen,University of Twente,Hanze University of Applied Sciences,education,education
2,https://ror.org/006hf6230 -> https://ror.org/00y2z2s03,https://ror.org/006hf6230,https://ror.org/00y2z2s03,NL,NL,Enschede,Amsterdam,University of Twente,Amsterdam University of Applied Sciences,education,education
16,https://ror.org/006hf6230 -> https://ror.org/012p63287,https://ror.org/006hf6230,https://ror.org/012p63287,NL,NL,Enschede,Groningen,University of Twente,University of Groningen,education,education
1,https://ror.org/006hf6230 -> https://ror.org/015d5s513,https://ror.org/006hf6230,https://ror.org/015d5s513,NL,NL,Enschede,Breda,University of Twente,Avans University of Applied Sciences,education,education
1,https://ror.org/006hf6230 -> https://ror.org/0165m9527,https://ror.org/006hf6230,https://ror.org/0165m9527,NL,NL,Enschede,Zoetermeer,University of Twente,ORTEC (Netherlands),education,company
4,https://ror.org/006hf6230 -> https://ror.org/016xsfp80,https://ror.org/006hf6230,https://ror.org/016xsfp80,NL,NL,Enschede,Nijmegen,University of Twente,Radboud University Nijmegen,education,education
3,https://ror.org/006hf6230 -> https://ror.org/01deh9c76,https://ror.org/006hf6230,https://ror.org/01deh9c76,NL,NL,Enschede,Delft,University of Twente,Deltares,education,facility
3,https://ror.org/006hf6230 -> https://ror.org/01dmjt679,https://ror.org/006hf6230,https://ror.org/01dmjt679,NL,NL,Enschede,Enschede,University of Twente,Roessingh Research and Development,education,nonprofit
1,https://ror.org/006hf6230 -> https://ror.org/01vxknj13,https://ror.org/006hf6230,https://ror.org/01vxknj13,NL,NL,Enschede,Veldhoven,University of Twente,ASML (Netherlands),education,company
1,https://ror.org/006hf6230 -> https://ror.org/020z55s31,https://ror.org/006hf6230,https://ror.org/020z55s31,NL,NL,Enschede,Apeldoorn,University of Twente,Wittenborg University,education,education
1,https://ror.org/006hf6230 -> https://ror.org/021zvq422,https://ror.org/006hf6230,https://ror.org/021zvq422,NL,NL,Enschede,The Hague,University of Twente,The Hague University of Applied Sciences,education,education
9,https://ror.org/006hf6230 -> https://ror.org/027bh9e22,https://ror.org/006hf6230,https://ror.org/027bh9e22,NL,NL,Enschede,Leiden,University of Twente,Leiden University,education,education
2,https://ror.org/006hf6230 -> https://ror.org/028z9kw20,https://ror.org/006hf6230,https://ror.org/028z9kw20,NL,NL,Enschede,Utrecht,University of Twente,University of Applied Sciences Utrecht,education,education
23,https://ror.org/006hf6230 -> https://ror.org/02c2kyt77,https://ror.org/006hf6230,https://ror.org/02c2kyt77,NL,NL,Enschede,Eindhoven,University of Twente,Eindhoven University of Technology,education,education
17,https://ror.org/006hf6230 -> https://ror.org/02e2c7k09,https://ror.org/006hf6230,https://ror.org/02e2c7k09,NL,NL,Enschede,Delft,University of Twente,Delft University of Technology,education,education
2,https://ror.org/006hf6230 -> https://ror.org/02hy2mb20,https://ror.org/006hf6230,https://ror.org/02hy2mb20,NL,NL,Enschede,Deventer,University of Twente,De Gezondheidsdienst voor Dieren,education,company
11,https://ror.org/006hf6230 -> https://ror.org/02jz4aj89,https://ror.org/006hf6230,https://ror.org/02jz4aj89,NL,NL,Enschede,Maastricht,University of Twente,Maastricht University,education,education
1,https://ror.org/006hf6230 -> https://ror.org/02kjpb485,https://ror.org/006hf6230,https://ror.org/02kjpb485,NL,NL,Enschede,Venlo,University of Twente,VieCuri Medisch Centrum,education,healthcare
1,https://ror.org/006hf6230 -> https://ror.org/02m6k0m40,https://ror.org/006hf6230,https://ror.org/02m6k0m40,NL,NL,Enschede,Heerlen,University of Twente,Zuyd University of Applied Sciences,education,education
1,https://ror.org/006hf6230 -> https://ror.org/02rpz4k59,https://ror.org/006hf6230,https://ror.org/02rpz4k59,NL,NL,Enschede,Leiden,University of Twente,Swets (Netherlands),education,company
1,https://ror.org/006hf6230 -> https://ror.org/030deh410,https://ror.org/006hf6230,https://ror.org/030deh410,NL,NL,Enschede,Delft,University of Twente,IHE Delft Institute for Water Education,education,education
2,https://ror.org/006hf6230 -> https://ror.org/033xvax87,https://ror.org/006hf6230,https://ror.org/033xvax87,NL,NL,Enschede,Enschede,University of Twente,Medisch Spectrum Twente,education,healthcare
1,https://ror.org/006hf6230 -> https://ror.org/03cv38k47,https://ror.org/006hf6230,https://ror.org/03cv38k47,NL,NL,Enschede,Groningen,University of Twente,University Medical Center Groningen,education,healthcare
2,https://ror.org/006hf6230 -> https://ror.org/03veq6934,https://ror.org/006hf6230,https://ror.org/03veq6934,NL,NL,Enschede,Lelystad,University of Twente,Pepscan (Netherlands),education,company
2,https://ror.org/006hf6230 -> https://ror.org/03xqtf034,https://ror.org/006hf6230,https://ror.org/03xqtf034,NL,NL,Enschede,Amsterdam,University of Twente,The Netherlands Cancer Institute,education,healthcare
1,https://ror.org/006hf6230 -> https://ror.org/046a2wj10,https://ror.org/006hf6230,https://ror.org/046a2wj10,NL,NL,Enschede,Zwolle,University of Twente,Isala,education,healthcare
1,https://ror.org/006hf6230 -> https://ror.org/0481e1q24,https://ror.org/006hf6230,https://ror.org/0481e1q24,NL,NL,Enschede,Rotterdam,University of Twente,Rotterdam University of Applied Sciences,education,education
1,https://ror.org/006hf6230 -> https://ror.org/04abpa862,https://ror.org/006hf6230,https://ror.org/04abpa862,NL,NL,Enschede,Eindhoven,University of Twente,Holst Centre (Netherlands),education,company
1,https://ror.org/006hf6230 -> https://ror.org/04b8v1s79,https://ror.org/006hf6230,https://ror.org/04b8v1s79,NL,NL,Enschede,Tilburg,University of Twente,Tilburg University,education,education
5,https://ror.org/006hf6230 -> https://ror.org/04dkp9463,https://ror.org/006hf6230,https://ror.org/04dkp9463,NL,NL,Enschede,Amsterdam,University of Twente,University of Amsterdam,education,education
1,https://ror.org/006hf6230 -> https://ror.org/04f1mvy95,https://ror.org/006hf6230,https://ror.org/04f1mvy95,NL,NL,Enschede,Nieuwegein,University of Twente,KWR Water Research Institute,education,other
1,https://ror.org/006hf6230 -> https://ror.org/04grrp271,https://ror.org/006hf6230,https://ror.org/04grrp271,NL,NL,Enschede,Almelo,University of Twente,Ziekenhuis Groep Twente,education,healthcare
2,https://ror.org/006hf6230 -> https://ror.org/04jsz6e67,https://ror.org/006hf6230,https://ror.org/04jsz6e67,NL,NL,Enschede,The Hague,University of Twente,Dutch Research Council,education,government
6,https://ror.org/006hf6230 -> https://ror.org/04pp8hn57,https://ror.org/006hf6230,https://ror.org/04pp8hn57,NL,NL,Enschede,Utrecht,University of Twente,Utrecht University,education,education
2,https://ror.org/006hf6230 -> https://ror.org/04qw24q55,https://ror.org/006hf6230,https://ror.org/04qw24q55,NL,NL,Enschede,Wageningen,University of Twente,Wageningen University & Research,education,education
1,https://ror.org/006hf6230 -> https://ror.org/04s2z4291,https://ror.org/006hf6230,https://ror.org/04s2z4291,NL,NL,Enschede,The Hague,University of Twente,Netherlands Forensic Institute,education,facility
1,https://ror.org/006hf6230 -> https://ror.org/04syg0e16,https://ror.org/006hf6230,https://ror.org/04syg0e16,NL,NL,Enschede,The Hague,University of Twente,Netherlands Institute for Multiparty Democracy,education,nonprofit
