OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.0015379138136824226,https://ror.org/000qjd183,NO,Bergen,Falck Nutec (Norway),company
0.0,https://ror.org/03bqt8z64,NO,Oslo,National Institute of Technology,company
0.0,https://ror.org/03vx93323,NO,Oslo,Norsk Hydro (Norway),company
-0.03273004730023706,https://ror.org/029nzwk08,NO,Levanger,Levanger Hospital,healthcare
-0.5041298045309475,https://ror.org/00g8k7g33,NO,Oslo,Norwegian Academy of Science and Letters,education
-0.595194136310549,https://ror.org/00kxjcd28,NO,Molde,Molde University College,education
-0.6590109371135017,https://ror.org/03t3p6f87,NO,Bergen,Haraldsplass Diakonale Sykehus,healthcare
-0.8769562984297824,https://ror.org/045016w83,NO,Oslo,Norwegian School of Sport Sciences,education
-0.9413039351636554,https://ror.org/04fzjj956,NO,Trondheim,NTNU Technology Transfer (Norway),company
-0.9639125443382685,https://ror.org/04v53s997,NO,Bergen,Norwegian School of Economics,education
-0.9699095276526192,https://ror.org/01xtthb56,NO,Oslo,University of Oslo,education
-0.9824932612006159,https://ror.org/034x1af55,NO,Bodø,University of Nordland,education
-0.9947053012823931,https://ror.org/03zga2b32,NO,Bergen,University of Bergen,education
-1.006630457753958,https://ror.org/04a7x2s11,NO,Oslo,Oslo School of Architecture and Design,education
-1.0327667179471858,https://ror.org/05xg72x27,NO,Trondheim,Norwegian University of Science and Technology,education
-1.174714459828496,https://ror.org/04a1mvv97,NO,Ås,Norwegian University of Life Sciences,education
-1.2318236795573532,https://ror.org/03ez40v33,NO,Oslo,BI Norwegian Business School,education
-1.3106925326998906,https://ror.org/02jvh3a15,NO,Oslo,Diakonhjemmet Hospital,healthcare
-1.3127036003618187,https://ror.org/00wge5k78,NO,Tromsø,UiT The Arctic University of Norway,education
-1.4430864859597858,https://ror.org/052dy9793,NO,Oslo,Norwegian Academy of Music,education
-1.5883304778244818,https://ror.org/03x297z98,NO,Kristiansand,University of Agder,education
-1.612834453587192,https://ror.org/02qte9q33,NO,Stavanger,University of Stavanger,education
-1.6305695666984634,https://ror.org/03np4e098,NO,Bergen,Haukeland University Hospital,healthcare
-1.6407488660184204,https://ror.org/05t76y454,NO,Holmestrand,Statped,other
-1.6739197693540555,https://ror.org/0068xq694,NO,Arendal,Hospital of Southern Norway,healthcare
