Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
5,https://ror.org/000qjd183 -> https://ror.org/03zga2b32,https://ror.org/000qjd183,https://ror.org/03zga2b32,NO,NO,Bergen,Bergen,Falck Nutec (Norway),University of Bergen,company,education
1,https://ror.org/0068xq694 -> https://ror.org/01xtthb56,https://ror.org/0068xq694,https://ror.org/01xtthb56,NO,NO,Arendal,Oslo,Hospital of Southern Norway,University of Oslo,healthcare,education
1,https://ror.org/0068xq694 -> https://ror.org/03wgsrq67,https://ror.org/0068xq694,https://ror.org/03wgsrq67,NO,NO,Arendal,Drammen,Hospital of Southern Norway,Vestre Viken Hospital Trust,healthcare,healthcare
1,https://ror.org/0068xq694 -> https://ror.org/03x297z98,https://ror.org/0068xq694,https://ror.org/03x297z98,NO,NO,Arendal,Kristiansand,Hospital of Southern Norway,University of Agder,healthcare,education
1,https://ror.org/0068xq694 -> https://ror.org/03zga2b32,https://ror.org/0068xq694,https://ror.org/03zga2b32,NO,NO,Arendal,Bergen,Hospital of Southern Norway,University of Bergen,healthcare,education
1,https://ror.org/00g8k7g33 -> https://ror.org/02gagpf75,https://ror.org/00g8k7g33,https://ror.org/02gagpf75,NO,NO,Oslo,Bergen,Norwegian Academy of Science and Letters,NORCE Norwegian Research Centre,education,facility
2,https://ror.org/00g8k7g33 -> https://ror.org/03zga2b32,https://ror.org/00g8k7g33,https://ror.org/03zga2b32,NO,NO,Oslo,Bergen,Norwegian Academy of Science and Letters,University of Bergen,education,education
1,https://ror.org/00g8k7g33 -> https://ror.org/05a4cm665,https://ror.org/00g8k7g33,https://ror.org/05a4cm665,NO,NO,Oslo,Oslo,Norwegian Academy of Science and Letters,Government of Norway,education,government
14,https://ror.org/00j9c2840 -> https://ror.org/00j9c2840,https://ror.org/00j9c2840,https://ror.org/00j9c2840,NO,NO,Oslo,Oslo,Oslo University Hospital,Oslo University Hospital,healthcare,healthcare
3,https://ror.org/00j9c2840 -> https://ror.org/015rzvz05,https://ror.org/00j9c2840,https://ror.org/015rzvz05,NO,NO,Oslo,Oslo,Oslo University Hospital,Lovisenberg Diakonale Høgskole,healthcare,education
1,https://ror.org/00j9c2840 -> https://ror.org/0191b3351,https://ror.org/00j9c2840,https://ror.org/0191b3351,NO,NO,Oslo,Oslo,Oslo University Hospital,VID Specialized University,healthcare,education
2,https://ror.org/00j9c2840 -> https://ror.org/01f677e56,https://ror.org/00j9c2840,https://ror.org/01f677e56,NO,NO,Oslo,Trondheim,Oslo University Hospital,SINTEF,healthcare,facility
9,https://ror.org/00j9c2840 -> https://ror.org/01xtthb56,https://ror.org/00j9c2840,https://ror.org/01xtthb56,NO,NO,Oslo,Oslo,Oslo University Hospital,University of Oslo,healthcare,education
