OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
2.5716215146884274,https://ror.org/02k6hv566,NP,Kathmandu,Shahid Gangalal National Heart Centre,healthcare
1.582850660078639,https://ror.org/05m5pc269,NP,Kathmandu,Nepal Medical College Teaching Hospital,education
1.5716334132865084,https://ror.org/03pskkc12,NP,Kathmandu,National Academy of Medical Sciences,education
1.4337934874090683,https://ror.org/01f4y0525,NP,Bharatpur,College of Medical Sciences,healthcare
1.1445004985681397,https://ror.org/04c1vp749,NP,Patan,Nepal Open University,education
1.1445004985681397,https://ror.org/05gjrwv72,NP,Kathmandu,Government of Nepal,government
1.0996672960297624,https://ror.org/02mphcg88,NP,Pātan,Patan Academy of Health Sciences,education
0.8559760215077157,https://ror.org/02dayf324,NP,Pokhara,Pokhara University,education
0.5716588418086541,https://ror.org/05et9pf90,NP,Dharān,B.P. Koirala Institute of Health Sciences,education
0.49999999609288864,https://ror.org/00qctrq52,NP,Pokhara,Manipal College of Medical Sciences,education
0.43380250473636783,https://ror.org/036xnae80,NP,Kathmandu,Kathmandu University,education
0.23344063767920298,https://ror.org/0353fsq42,NP,Biratnagar,Purbanchal University,education
0.1923685076484914,https://ror.org/050z7zv36,NP,Siddharthanagar,Universal College of Medical Sciences,education
0.14450857771487235,https://ror.org/02rg1r889,NP,Kathmandu,Tribhuvan University,education
0.07724470423393254,https://ror.org/01abdqw97,NP,Kathmandu,Dhulikhel Hospital,healthcare
0.03339625393923905,https://ror.org/01f60xs15,NP,Bharatpur,Agriculture and Forestry University,education
5.593159243491744e-06,https://ror.org/009fgen45,NP,Bharatpur,Chitwan Medical College,other
0.0,https://ror.org/02me73n88,NP,Kathmandu,Tribhuvan University Teaching Hospital,healthcare
-0.42836568352959964,https://ror.org/04zz3m093,NP,Pātan,KIST Medical College,education
-0.49999999609288864,https://ror.org/017xv2t04,NP,Pālpā,Lumbini Medical College,education
-0.5662065104120112,https://ror.org/01qemgb02,NP,Pokhara,Manipal Teaching Hospital,healthcare
-0.8554994992529404,https://ror.org/00tcmr651,NP,Kathmandu,Kathmandu Medical College Teaching Hospital,other
-0.8554994992529404,https://ror.org/024brep87,NP,Kathmandu,International Centre for Integrated Mountain Development,government
-0.8554994992529404,https://ror.org/041fs4c33,NP,Mahendranagar,Far-western University,education
