Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/009fgen45 -> https://ror.org/05et9pf90,https://ror.org/009fgen45,https://ror.org/05et9pf90,NP,NP,Bharatpur,Dharān,Chitwan Medical College,B.P. Koirala Institute of Health Sciences,other,education
1,https://ror.org/00qctrq52 -> https://ror.org/017xv2t04,https://ror.org/00qctrq52,https://ror.org/017xv2t04,NP,NP,Pokhara,Pālpā,Manipal College of Medical Sciences,Lumbini Medical College,education,education
1,https://ror.org/00tcmr651 -> https://ror.org/00tcmr651,https://ror.org/00tcmr651,https://ror.org/00tcmr651,NP,NP,Kathmandu,Kathmandu,Kathmandu Medical College Teaching Hospital,Kathmandu Medical College Teaching Hospital,other,other
2,https://ror.org/01f4y0525 -> https://ror.org/01f4y0525,https://ror.org/01f4y0525,https://ror.org/01f4y0525,NP,NP,Bharatpur,Bharatpur,College of Medical Sciences,College of Medical Sciences,healthcare,healthcare
1,https://ror.org/01f4y0525 -> https://ror.org/036xnae80,https://ror.org/01f4y0525,https://ror.org/036xnae80,NP,NP,Bharatpur,Kathmandu,College of Medical Sciences,Kathmandu University,healthcare,education
3,https://ror.org/01f60xs15 -> https://ror.org/01f60xs15,https://ror.org/01f60xs15,https://ror.org/01f60xs15,NP,NP,Bharatpur,Bharatpur,Agriculture and Forestry University,Agriculture and Forestry University,education,education
4,https://ror.org/01f60xs15 -> https://ror.org/02rg1r889,https://ror.org/01f60xs15,https://ror.org/02rg1r889,NP,NP,Bharatpur,Kathmandu,Agriculture and Forestry University,Tribhuvan University,education,education
1,https://ror.org/024brep87 -> https://ror.org/024brep87,https://ror.org/024brep87,https://ror.org/024brep87,NP,NP,Kathmandu,Kathmandu,International Centre for Integrated Mountain Development,International Centre for Integrated Mountain Development,government,government
2,https://ror.org/02dayf324 -> https://ror.org/009fgen45,https://ror.org/02dayf324,https://ror.org/009fgen45,NP,NP,Pokhara,Bharatpur,Pokhara University,Chitwan Medical College,education,other
9,https://ror.org/02dayf324 -> https://ror.org/02dayf324,https://ror.org/02dayf324,https://ror.org/02dayf324,NP,NP,Pokhara,Pokhara,Pokhara University,Pokhara University,education,education
9,https://ror.org/02dayf324 -> https://ror.org/02rg1r889,https://ror.org/02dayf324,https://ror.org/02rg1r889,NP,NP,Pokhara,Kathmandu,Pokhara University,Tribhuvan University,education,education
1,https://ror.org/02dayf324 -> https://ror.org/0353fsq42,https://ror.org/02dayf324,https://ror.org/0353fsq42,NP,NP,Pokhara,Biratnagar,Pokhara University,Purbanchal University,education,education
2,https://ror.org/02dayf324 -> https://ror.org/036xnae80,https://ror.org/02dayf324,https://ror.org/036xnae80,NP,NP,Pokhara,Kathmandu,Pokhara University,Kathmandu University,education,education
