OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.095299741932619,https://ror.org/053336823,NZ,Palmerston North,Riddet Institute,facility
0.19119134843791888,https://ror.org/052czxv31,NZ,Palmerston North,Massey University,education
0.10694263935505559,https://ror.org/03b94tp07,NZ,Auckland,University of Auckland,education
0.09517251569214975,https://ror.org/01jmxt844,NZ,Dunedin,University of Otago,education
-2.1763640483305743e-05,https://ror.org/0040r6f76,NZ,Wellington,Victoria University of Wellington,education
-0.0028237335597115507,https://ror.org/013fsnh78,NZ,Hamilton,University of Waikato,education
-0.045318230607209686,https://ror.org/03y7q9t39,NZ,Christchurch,University of Canterbury,education
-0.05494054750120152,https://ror.org/04ps1r162,NZ,Lincoln,Lincoln University,education
-0.2203415658633414,https://ror.org/04pkdxp64,NZ,Auckland,Laidlaw College,education
-0.2585795619000765,https://ror.org/01zvqw119,NZ,Auckland,Auckland University of Technology,education
-0.37217468952891203,https://ror.org/007a35n65,NZ,Whakatane,Te Whare Wānanga o Awanuiārangi,education
-0.6011038863305072,https://ror.org/02487ts63,NZ,Wellington,Malaghan Institute of Medical Research,healthcare
-0.638379078177341,https://ror.org/03cybp342,NZ,Auckland,Media Design School,education
-0.8086880896733878,https://ror.org/00w793a39,NZ,Hamilton,Livestock Improvement Corporation,other
-0.8086880896733878,https://ror.org/0113yba25,NZ,Auckland,Waitemata District Health Board,healthcare
-0.8086880896733878,https://ror.org/01hqnxa62,NZ,Otaki,Te Wānanga o Raukawa,other
-0.8086880896733878,https://ror.org/04v2xzv40,NZ,Porirua,Building Research Association of New Zealand,other
-0.8086880896733878,https://ror.org/05y0c7g28,NZ,Wellington,Reserve Bank of New Zealand,government
-0.8368719019145261,https://ror.org/03t4znc65,NZ,Hamilton,DairyNZ,nonprofit
-0.8626762099640829,https://ror.org/00tsqex91,NZ,Hamilton,Te Pūkenga,education
-0.8913774639712106,https://ror.org/03mh7j916,NZ,Wellington,Department of Conservation,government
-0.8929062161616492,https://ror.org/00wtgbr91,NZ,Auckland,Te Pūnaha Matatini,facility
-0.8929062161616492,https://ror.org/03e6tc838,NZ,Te Puke,Kiwifruit Breeding Centre,nonprofit
-0.8930061276277677,https://ror.org/027bkk623,NZ,Auckland,St John New Zealand,nonprofit
-0.896947779489689,https://ror.org/032d3jq51,NZ,Hamilton,Waikato District Health Board,healthcare
-0.8988941646887905,https://ror.org/04sh9kd82,NZ,Auckland,Starship Children's Health,healthcare
-0.9043692759737137,https://ror.org/02d6ntk65,NZ,Auckland,Whitecliffe College of Arts and Design,education
-0.9043692759737137,https://ror.org/047asq971,NZ,Wellington,Medical Research Institute of New Zealand,facility
-0.9048642229566657,https://ror.org/00zbf3d93,NZ,Auckland,Health Research Council of New Zealand,government
-0.9048642229566657,https://ror.org/016728c22,NZ,Dunedin,Proteus (New Zealand),company
-0.9048642229566657,https://ror.org/01cz1wg22,NZ,Auckland,AFT Pharmaceuticals (New Zealand),company
-0.9048642229566657,https://ror.org/02ttd0n41,NZ,Wellington,Wellington City Council,government
-0.9048642229566657,https://ror.org/036jeby88,NZ,Rotorua,Waiariki Institute of Technology,education
-0.9057669575291432,https://ror.org/03xedy893,NZ,Auckland,Auckland Council,government
-0.9114830113038227,https://ror.org/00t28mr39,NZ,Wellington,Crown Research Institutes,government
-0.9154637023923965,https://ror.org/01qjmkr85,NZ,Auckland,Fonterra (New Zealand),company
-0.9204027264022532,https://ror.org/04pw11t29,NZ,Palmerston North,New Zealand Leather & Shoe Research Association Inc.,nonprofit
-0.9334396276685671,https://ror.org/02n25sf77,NZ,Wellington,Callaghan Innovation,government
-0.9425465115426024,https://ror.org/055y4y749,NZ,Wellington,Ministry for Primary Industries,government
-0.9437775586029903,https://ror.org/02gkb4040,NZ,Auckland,Auckland District Health Board,healthcare
-0.9532811813034923,https://ror.org/03sffqe64,NZ,Nelson,Cawthron Institute,nonprofit
-0.9732545091095282,https://ror.org/02jtq1b51,NZ,Wellington,"Ministry of Business, Innovation and Employment",government
-0.9750306441381785,https://ror.org/01141nq92,NZ,Christchurch,New Zealand Brain Research Institute,facility
-0.9768264684388415,https://ror.org/011bwkg92,NZ,Lower Hutt,Industrial Research Limited,government
-0.9798421111445946,https://ror.org/05tqtd486,NZ,Ashburton,Canterbury District Health Board,healthcare
-0.9833556172407869,https://ror.org/03zdy0d17,NZ,Wellington,Motu Economic and Public Policy Research,nonprofit
-0.9998378640407912,https://ror.org/000neg726,NZ,Wellington,Gillies McIndoe Research Institute,facility
-0.9998378640407912,https://ror.org/0190e1q31,NZ,Christchurch,Antarctica New Zealand,facility
-0.9998378640407912,https://ror.org/04v3jxv31,NZ,Wellington,Government of New Zealand,government
-1.0451289362999627,https://ror.org/03cfha585,NZ,Wellington,Opus International Consultants (New Zealand),company
-1.0451289362999627,https://ror.org/04g0m7w09,NZ,Wellington,Transpower (New Zealand),company
-1.0547202471669457,https://ror.org/022xccz03,NZ,Christchurch,Foundation for Arable Research,facility
-1.0757704726299475,https://ror.org/02cq7de70,NZ,Auckland,Counties Manukau District Health Board,healthcare
-1.1306561277261027,https://ror.org/00bwm5s42,NZ,Hamilton,Waikato Regional Council,government
-1.1701164909857866,https://ror.org/0090kax79,NZ,Auckland,Auckland Institute of Studies,education
-1.2583649080137123,https://ror.org/00h9jch39,NZ,Auckland,Carey Baptist College,education
-1.2585348176321263,https://ror.org/056y35868,NZ,Auckland,New Zealand College of Chiropractic,education
